mp_id,calamity_type,calamity_name,consent_date,consent_amount
MP_0F5235E9,National Calamity,Flood 2025 in Punjab,07-Dec-25,725.0
MP_6675EADB,National Calamity,Flood 2025 in Punjab,03-Nov-25,325.0
MP_424F3708,National Calamity,Flood 2025 in Punjab,10-Oct-25,1025.0
MP_28022624,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,26-Mar-25,2625.0
MP_9811D463,National Calamity,Meppadi landslides 2024,02-Mar-25,225.0
MP_9811D463,State Calamity,Vilangad Landslides 2024,01-Mar-25,125.0
MP_686DAC86,National Calamity,Meppadi landslides 2024,17-Feb-25,1725.0
MP_A6D8641A,National Calamity,Meppadi landslides 2024,05-Feb-25,525.0
MP_33778146,State Calamity,Wayanad landslides 2024,07-Dec-24,724.0
MP_33778146,State Calamity,Vilangad Landslides 2024,07-Dec-24,724.0
MP_93EBFC2D,State Calamity,Wayanad landslides 2024,04-Dec-24,424.0
MP_040AAAA9,State Calamity,Natural Calamity Affected Area,03-Sep-24,324.0
