work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",05-Sep-2024,448127.0,False,nan
WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",12-Aug-2024,293492.0,False,nan
WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,28-Oct-2024,1182588.0,True,Images
WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,17-Aug-2024,338444.0,False,nan
WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP18152/2024-2025/133696-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/133701-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP18152/2024-2025/133703-Installing community drinking water plants,07-Apr-2025,84500.0,False,nan
WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,07-Apr-2025,300000.0,False,nan
WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,06-Dec-2024,4740188.0,True,Images
"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Oct-2024,500000.0,True,Images
"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",06-Dec-2024,1500000.0,True,Images
WS/ MP620/2024-2025/133312-Construction of buildings for community cultural activities,09-Jun-2025,498091.0,True,Images
WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,14-Oct-2024,497185.0,True,Images
