constituency_id,name,state,mp_id
C_KARNAT_DHARWAD,DHARWAD,Karnataka,MP_5085EBC5
C_BIHAR_ARARIA,ARARIA,Bihar,MP_8F964237
C_WEST_B_BALURGHAT,BALURGHAT,West Bengal,MP_BE1CDDC0
C_GUJARA_DAHOD_ST,DAHOD(ST),Gujarat,MP_EB9D730D
C_PUNJAB_FARIDKOT_SC,FARIDKOT(SC),Punjab,MP_B57E7F78
C_MADHYA_KHARGONE_ST,KHARGONE(ST),Madhya Pradesh,MP_5282EA55
C_BIHAR_JHANJHARPUR,JHANJHARPUR,Bihar,MP_6C772417
C_BIHAR_BUXAR,BUXAR,Bihar,MP_D1304417
C_KERALA_PATHANAMTHITTA,PATHANAMTHITTA,Kerala,MP_53C4509D
C_KERALA_KOLLAM,KOLLAM,Kerala,MP_33778146
C_TAMIL__TENKASI_SC,TENKASI(SC),Tamil Nadu,MP_3F9986D3
C_HARYAN_SONEPAT,SONEPAT,Haryana,MP_3454A7C9
C_WEST_B_JOYNAGAR_SC,JOYNAGAR(SC),West Bengal,MP_190EE249
C_RAJAST_PALI,PALI,Rajasthan,MP_9E360849
C_HARYAN_ROHTAK,ROHTAK,Haryana,MP_3EFA9E8E
C_WEST_B_BOLPUR_SC,BOLPUR(SC),West Bengal,MP_755CF71F
C_RAJAST_ALWAR,ALWAR,Rajasthan,MP_4700464C
C_CHHATT_JANJGIR_CHAMPA_S,JANJGIR CHAMPA(SC),Chhattisgarh,MP_42010F5A
C_TAMIL__TIRUVANNAMALAI,TIRUVANNAMALAI,Tamil Nadu,MP_B2CDA71B
C_BIHAR_PURVI_CHAMPARAN,PURVI CHAMPARAN,Bihar,MP_65524A06
C_ANDHRA_CHITTOOR,CHITTOOR,Andhra Pradesh,MP_7F02B2C7
C_MAHARA_PARBHANI,PARBHANI,Maharashtra,MP_37D532B8
C_UTTAR__SHAHJAHANPUR_SC,SHAHJAHANPUR(SC),Uttar Pradesh,MP_12FD4168
C_WEST_B_COOCHBEHAR_SC,COOCHBEHAR(SC),West Bengal,MP_3563E0FD
C_PUNJAB_FIROZPUR,FIROZPUR,Punjab,MP_CD61EE93
C_WEST_B_BASIRHAT,BASIRHAT,West Bengal,MP_D56C9130
C_UTTAR__KUSHI_NAGAR,KUSHI NAGAR,Uttar Pradesh,MP_BA16334B
C_HARYAN_GURGAON,GURGAON,Haryana,MP_5645BA0B
C_CHHATT_RAIPUR,RAIPUR,Chhattisgarh,MP_511040D1
C_WEST_B_DARJEELING,DARJEELING,West Bengal,MP_6F96960D
C_TAMIL__VIRUDHUNAGAR,VIRUDHUNAGAR,Tamil Nadu,MP_2E392777
C_ODISHA_KALAHANDI,KALAHANDI,Odisha,MP_809C5C51
C_ANDHRA_KADAPA,KADAPA,Andhra Pradesh,MP_0F950266
C_KERALA_ERNAKULAM,ERNAKULAM,Kerala,MP_247B86D1
