mp_id,constituency_id,state,allocated_amount,period
MP_7C669D55,C_MAHARA_HINGOLI,Maharashtra,190289442.0,17th_Lok_Sabha
MP_B76CAA6F,C_JAMMU__BARAMULLAH,Jammu And Kashmir,154773472.1,17th_Lok_Sabha
MP_E9AA38D7,C_BIHAR_AURANGABAD_BR,Bihar,147000000.0,17th_Lok_Sabha
MP_71684967,C_WEST_B_TAMLUK,West Bengal,147000000.0,17th_Lok_Sabha
MP_F68D800C,C_WEST_B_MURSHIDABAD,West Bengal,147000000.0,17th_Lok_Sabha
MP_3B578E98,C_WEST_B_KANTHI,West Bengal,147000000.0,17th_Lok_Sabha
MP_2C2C6C0C,C_UTTAR__BADAUN,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_0528EFBD,C_KERALA_ATTINGAL,Kerala,147000000.0,17th_Lok_Sabha
MP_F5272C3C,C_KERALA_IDUKKI,Kerala,147000000.0,17th_Lok_Sabha
MP_C9028D8C,C_MAHARA_NANDURBAR_ST,Maharashtra,147816309.1,17th_Lok_Sabha
MP_6333A615,C_KERALA_KOTTAYAM,Kerala,188722256.1,17th_Lok_Sabha
MP_DCA89489,C_UTTAR__GHAZIPUR,Uttar Pradesh,220500000.0,17th_Lok_Sabha
MP_A1D4AF5B,C_JAMMU__SRINAGAR,Jammu And Kashmir,147000000.0,17th_Lok_Sabha
MP_88674171,C_UTTARA_NAINITAL_UDHAM_S,Uttarakhand,147000000.0,17th_Lok_Sabha
MP_041F6A15,C_BIHAR_BHAGALPUR,Bihar,147000000.0,17th_Lok_Sabha
MP_41A8043E,C_UTTARA_ALMORA_SC,Uttarakhand,147000000.0,17th_Lok_Sabha
MP_F703A477,C_UTTAR__HAMIRPUR_UP,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_40D50BB4,C_UTTAR__KANNAUJ,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_F5CE1973,C_UTTAR__FIROZABAD,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_EA725E22,C_MANIPU_OUTER_MANIPUR_ST,Manipur,147000000.0,17th_Lok_Sabha
MP_406F5A03,C_BIHAR_GOPALGANJ__SC,Bihar,147000000.0,17th_Lok_Sabha
MP_A2DBA7FE,C_MADHYA_BHOPAL,Madhya Pradesh,147000000.0,17th_Lok_Sabha
MP_96794452,C_MAHARA_WARDHA,Maharashtra,147000000.0,17th_Lok_Sabha
MP_88F3D4F9,C_ASSAM_DIPHU__ST,Assam,147000000.0,17th_Lok_Sabha
MP_4F80032A,C_ANDHRA_ANANTAPUR,Andhra Pradesh,201899064.1,17th_Lok_Sabha
MP_12E7823C,C_MAHARA_SHIRUR,Maharashtra,147000000.0,17th_Lok_Sabha
MP_D9DD9416,C_RAJAST_SIKAR,Rajasthan,165691544.1,17th_Lok_Sabha
MP_820F34E5,C_PUNJAB_LUDHIANA,Punjab,147000000.0,17th_Lok_Sabha
MP_22AC88F1,C_UTTAR__DHAURAHRA,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_DB81EF0B,C_UTTAR__BAHRAICH_SC,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_25524A1E,C_ODISHA_KEONJHAR_ST,Odisha,147000000.0,17th_Lok_Sabha
MP_A6D8641A,C_TAMIL__NILGIRIS_SC,Tamil Nadu,147000000.0,17th_Lok_Sabha
MP_49C2ECF6,C_MEGHAL_SHILLONG,Meghalaya,98000000.0,17th_Lok_Sabha
MP_F213F34C,C_MANIPU_INNER_MANIPUR,Manipur,147000000.0,17th_Lok_Sabha
MP_35C34A69,C_UTTARA_GARHWAL,Uttarakhand,147000000.0,17th_Lok_Sabha
MP_4A625B58,C_MAHARA_MUMBAI_SOUTH_CEN,Maharashtra,147000000.0,17th_Lok_Sabha
MP_27D0B6EB,C_MADHYA_RATLAM_ST,Madhya Pradesh,147000000.0,17th_Lok_Sabha
MP_31145853,C_ODISHA_ASKA,Odisha,147000000.0,17th_Lok_Sabha
MP_51C1FB0C,C_JHARKH_KODARMA,Jharkhand,166665931.8,17th_Lok_Sabha
MP_7AA0C063,C_UTTAR__HATHRAS__SC,Uttar Pradesh,147000000.0,17th_Lok_Sabha
MP_53C4509D,C_KERALA_PATHANAMTHITTA,Kerala,147000000.0,17th_Lok_Sabha
MP_D43009CB,C_MAHARA_AKOLA,Maharashtra,147000000.0,17th_Lok_Sabha
MP_20A78A08,C_UTTAR__JHANSI,Uttar Pradesh,147000000.0,17th_Lok_Sabha
