mp_id,name,state,parliament
MP_5085EBC5,Pralhad Venkatesh Joshi,Karnataka,lok_sabha
MP_8F964237,Pradeep Kumar Singh,Bihar,lok_sabha
MP_BE1CDDC0,Sukanta Majumdar,West Bengal,lok_sabha
MP_EB9D730D,Jaswantsinh Sumanbhai Bhabhor,Gujarat,lok_sabha
MP_B57E7F78,Sarabjeet Singh Khalsa,Punjab,lok_sabha
MP_5282EA55,Gajendra Singh Patel,Madhya Pradesh,lok_sabha
MP_6C772417,Ramprit Mandal,Bihar,lok_sabha
MP_D1304417,Sudhakar Singh,Bihar,lok_sabha
MP_53C4509D,Anto Antony,Kerala,lok_sabha
MP_33778146,Nk Premachandran,Kerala,lok_sabha
MP_3F9986D3,Rani Sri Kumar,Tamil Nadu,lok_sabha
MP_3454A7C9,Satpal Brahamchari,Haryana,lok_sabha
MP_190EE249,Pratima Mondal,West Bengal,lok_sabha
MP_9E360849,Pp Chaudhary,Rajasthan,lok_sabha
MP_3EFA9E8E,Deepender Singh Hooda,Haryana,lok_sabha
MP_755CF71F,Asit Kumar Mal,West Bengal,lok_sabha
MP_4700464C,Bhupender Yadav,Rajasthan,lok_sabha
MP_42010F5A,Kamlesh Jangde,Chhattisgarh,lok_sabha
MP_B2CDA71B,Cn Annadurai,Tamil Nadu,lok_sabha
MP_65524A06,Radha Mohan Singh,Bihar,lok_sabha
MP_7F02B2C7,Daggumalla Prasada Rao,Andhra Pradesh,lok_sabha
MP_37D532B8,Sanjay Haribhau Jadhav,Maharashtra,lok_sabha
MP_12FD4168,Arun Kumar Sagar,Uttar Pradesh,lok_sabha
MP_3563E0FD,Jagadish Chandra Barma Basunia,West Bengal,lok_sabha
MP_CD61EE93,Sher Singh Ghubaya,Punjab,lok_sabha
MP_D56C9130,Sk Nurul Islam,West Bengal,lok_sabha
MP_BA16334B,Vijay Kumar Dubey,Uttar Pradesh,lok_sabha
MP_5645BA0B,Rao Inderjit Singh,Haryana,lok_sabha
MP_511040D1,Brijmohan Agrawal,Chhattisgarh,lok_sabha
MP_6F96960D,Raju Bista,West Bengal,lok_sabha
MP_2E392777,Manickam Tagore B,Tamil Nadu,lok_sabha
MP_809C5C51,Malvika Devi,Odisha,lok_sabha
MP_0F950266,Y S Avinash Reddy,Andhra Pradesh,lok_sabha
MP_247B86D1,Hibi Eden,Kerala,lok_sabha
MP_8BEED24A,Mahesh Sharma,Uttar Pradesh,lok_sabha
MP_EA73066C,Lalji Verma,Uttar Pradesh,lok_sabha
MP_55FE6DEC,Gyaneshwar Patil,Madhya Pradesh,lok_sabha
MP_BA8F1575,Vijayakumar Vasanth,Tamil Nadu,lok_sabha
MP_F8FF04EC,Kalipada Saren,West Bengal,lok_sabha
MP_F5CE1973,Akshaya Yadav,Uttar Pradesh,lok_sabha
MP_E56AA98B,Sanjna Jatav,Rajasthan,lok_sabha
MP_C9028D8C,Gowaal Kagada Padavi,Maharashtra,lok_sabha
MP_28F8033F,Maddila Gurumoorthy,Andhra Pradesh,lok_sabha
MP_06FC8F16,Balwant Baswant Wankhade,Maharashtra,lok_sabha
