mp_id,calamity_type,calamity_name,consent_date,consent_amount
MP_C14A2390,National Calamity,Flood 2025 in Punjab,17-Nov-2025,172025.0
MP_8E87A41F,National Calamity,Flood 2025 in Punjab,04-Nov-2025,42025.0
MP_D66F40B5,National Calamity,Flood 2025 in Punjab,03-Nov-2025,32025.0
MP_1C81F3BD,National Calamity,Flood 2025 in Punjab,03-Nov-2025,32025.0
MP_AFE45743,National Calamity,Flood 2025 in Punjab,03-Nov-2025,32025.0
MP_79E6EA92,National Calamity,Flood 2025 in Punjab,29-Oct-2025,292025.0
MP_03BB283C,National Calamity,Flood 2025 in Punjab,07-Oct-2025,72025.0
MP_D66F40B5,National Calamity,Flood 2025 in Punjab,06-Oct-2025,62025.0
MP_341FE1FC,National Calamity,Flood 2025 in Punjab,19-Sep-2025,192025.0
MP_B9BA3975,National Calamity,Meppadi landslides 2024,21-Apr-2025,212025.0
MP_4A679F22,National Calamity,Meppadi landslides 2024,17-Feb-2025,172025.0
MP_B9BA3975,National Calamity,Meppadi landslides 2024,03-Feb-2025,32025.0
MP_371BE999,State Calamity,Vilangad Landslides 2024,08-Dec-2024,82024.0
MP_864EB9DF,State Calamity,Wayanad landslides 2024,07-Dec-2024,72024.0
MP_864EB9DF,State Calamity,Vilangad Landslides 2024,07-Dec-2024,72024.0
MP_6E020B89,State Calamity,Wayanad landslides 2024,04-Dec-2024,42024.0
MP_68EFAA13,State Calamity,Wayanad landslides 2024,04-Dec-2024,42024.0
MP_CD68BA53,State Calamity,Wayanad landslides 2024,25-Nov-2024,252024.0
MP_253C7055,State Calamity,Wayanad landslides 2024,17-Oct-2024,172024.0
MP_4A679F22,State Calamity,Wayanad landslides 2024,10-Sep-2024,102024.0
