constituency_id,name,state,mp_id
C_UTTAR__ELECTED_MP,ELECTED MP,Uttar Pradesh,MP_D231B8BC
C_BIHAR_ELECTED_MP,ELECTED MP,Bihar,MP_9F4B2345
C_MADHYA_ELECTED_MP,ELECTED MP,Madhya Pradesh,MP_D7D9EF1A
C_JHARKH_ELECTED_MP,ELECTED MP,Jharkhand,MP_D569FEDB
C_TAMIL__ELECTED_MP,ELECTED MP,Tamil Nadu,MP_87DFB418
C_PUNJAB_ELECTED_MP,ELECTED MP,Punjab,MP_341FE1FC
C_UTTARA_ELECTED_MP,ELECTED MP,Uttarakhand,MP_0F885714
C_RAJAST_ELECTED_MP,ELECTED MP,Rajasthan,MP_8919B69C
C_JAMMU__NOMINATED_MP,NOMINATED MP,Jammu And Kashmir,MP_BC449826
C_HIMACH_ELECTED_MP,ELECTED MP,Himachal Pradesh,MP_F2C96988
C_ODISHA_ELECTED_MP,ELECTED MP,Odisha,MP_6D8766FE
C_KARNAT_ELECTED_MP,ELECTED MP,Karnataka,MP_EDA4E9DC
C_PUDUCH_ELECTED_MP,ELECTED MP,Puducherry,MP_6159470D
C_NAGALA_ELECTED_MP,ELECTED MP,Nagaland,MP_ECEC0221
C_TAMIL__NOMINATED_MP,NOMINATED MP,Tamil Nadu,MP_EEC245DE
C_ANDHRA_ELECTED_MP,ELECTED MP,Andhra Pradesh,MP_9DCC4FBE
C_KARNAT_NOMINATED_MP,NOMINATED MP,Karnataka,MP_A5E2E98F
C_CHHATT_ELECTED_MP,ELECTED MP,Chhattisgarh,MP_0C58F9FA
C_GUJARA_ELECTED_MP,ELECTED MP,Gujarat,MP_2064F33F
C_ANDHRA_NOMINATED_MP,NOMINATED MP,Andhra Pradesh,MP_D084A234
C_KERALA_ELECTED_MP,ELECTED MP,Kerala,MP_253C7055
C_GOA_ELECTED_MP,ELECTED MP,Goa,MP_C65BC162
C_KERALA_NOMINATED_MP,NOMINATED MP,Kerala,MP_864EB9DF
C_TELANG_ELECTED_MP,ELECTED MP,Telangana,MP_9438EC69
C_MAHARA_ELECTED_MP,ELECTED MP,Maharashtra,MP_CB0CF6AD
C_ASSAM_ELECTED_MP,ELECTED MP,Assam,MP_213C6E35
C_CHANDI_NOMINATED_MP,NOMINATED MP,Chandigarh,MP_6646F664
C_SIKKIM_ELECTED_MP,ELECTED MP,Sikkim,MP_34179701
C_WEST_B_ELECTED_MP,ELECTED MP,West Bengal,MP_85B5A072
C_HARYAN_ELECTED_MP,ELECTED MP,Haryana,MP_8BD5D38A
C_TRIPUR_ELECTED_MP,ELECTED MP,Tripura,MP_00CD7FC8
C_DELHI_ELECTED_MP,ELECTED MP,Delhi,MP_1C81F3BD
C_DELHI_NOMINATED_MP,NOMINATED MP,Delhi,MP_13D436CF
C_WEST_B_NOMINATED_MP,NOMINATED MP,West Bengal,MP_DA4367D0
C_JAMMU__ELECTED_MP,ELECTED MP,Jammu And Kashmir,MP_D6EDAF30
C_MANIPU_ELECTED_MP,ELECTED MP,Manipur,MP_050DA4B7
C_CHANDI_ELECTED_MP,ELECTED MP,Chandigarh,MP_B7D57CB6
C_MEGHAL_ELECTED_MP,ELECTED MP,Meghalaya,MP_18AAFE67
C_MIZORA_ELECTED_MP,ELECTED MP,Mizoram,MP_0C5F0D85
C_ARUNAC_ELECTED_MP,ELECTED MP,Arunachal Pradesh,MP_2BA28F43
C_MAHARA_NOMINATED_MP,NOMINATED MP,Maharashtra,MP_467DA383
