ida_id,name,jurisdiction,state
IDA_B160A2AD,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Uttar Pradesh,Uttar Pradesh
IDA_6B82FA00,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Uttar Pradesh,Uttar Pradesh
IDA_68F441D4,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Bihar,Bihar
IDA_4DF43721,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_08B3F967,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Uttar Pradesh,Uttar Pradesh
IDA_0280A381,NARSIMHAPUR(DISTRICT COLLECTOR NARSINGHPUR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_CFFB94CA,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_0FC8A456,MORENA(DISTRICT COLLECTOR MORENA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_E92FFFFF,REWA(DISTRICT COLLECTOR REWA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_D2EA8DCE,DHAR(DISTRICT COLLECTOR DHAR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_5C369DE2,BHIND(DISTRICT COLLECTOR BHIND_IDA),Madhya Pradesh,Madhya Pradesh
IDA_77300614,BETUL(DISTRICT COLLECTOR BETUL_IDA),Madhya Pradesh,Madhya Pradesh
IDA_FA229E41,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),Madhya Pradesh,Madhya Pradesh
IDA_6659D02D,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),Jharkhand,Jharkhand
IDA_3AFA649E,KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA),Jharkhand,Jharkhand
IDA_590559BD,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Jharkhand,Jharkhand
IDA_48B04FC8,GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_DA4F08D3,BARA BANKI(DISTRICT MAGISTRATE BARABANKI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_BB238DA8,VIDISHA(DISTRICT COLLECTOR VIDISHA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_665157E0,KATNI(DISTRICT COLLECTOR KATNI_IDA),Madhya Pradesh,Madhya Pradesh
IDA_7267241E,SEONI(DISTRICT COLLECTOR SEONI_IDA),Madhya Pradesh,Madhya Pradesh
IDA_CADEE0D3,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Tamil Nadu,Tamil Nadu
IDA_F3A759A5,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),Madhya Pradesh,Madhya Pradesh
IDA_97FB14D6,RAISEN(DISTRICT COLLECTOR RAISEN_IDA),Madhya Pradesh,Madhya Pradesh
IDA_A483CE59,RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA),Punjab,Punjab
IDA_B1041BE4,GIRIDIH(DEPUTY COMMISSIONER GIRIDH_IDA),Jharkhand,Jharkhand
IDA_1266A4FD,DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA),Jharkhand,Jharkhand
IDA_E21E54C7,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Punjab,Punjab
IDA_1AF0A68A,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),Punjab,Punjab
IDA_C07A5093,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Uttarakhand,Uttarakhand
IDA_ABEA812E,KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA),Punjab,Punjab
IDA_57BD9099,TARN TARAN(DEPUTY COMMOSSIONER TARN TARAN_IDA_2),Punjab,Punjab
IDA_200E270F,INDORE(DISTRICT COLLECTOR INDORE_IDA),Madhya Pradesh,Madhya Pradesh
IDA_DAE0EF0A,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),Uttar Pradesh,Uttar Pradesh
IDA_02031764,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_89B4A1A3,MORADABAD(DISTRICT MAGISTRATE MORADABAD_IDA),Uttar Pradesh,Uttar Pradesh
IDA_65EA9364,DATIA(DISTRICT COLLECTOR DATIA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_D945FCD9,SATNA(DISTRICT COLLECTOR SATNA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_93716F33,AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_58B74F02,BAGHPAT(DISTRICT MAGISTRATE BAGHPAT_IDA),Uttar Pradesh,Uttar Pradesh
IDA_F5D7B98F,BARMER(DISTRICT COLLECTOR BARMER_IDA),Rajasthan,Rajasthan
IDA_393F94FB,ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_C2F71499,SHAJAPUR(DISTRICT COLLECTOR SHAJAPUR_IDA),Madhya Pradesh,Madhya Pradesh
IDA_F70351EB,HARDA(DISTRICT COLLECTOR HARDA_IDA),Madhya Pradesh,Madhya Pradesh
IDA_28D90258,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_45C76EF0,HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA),Rajasthan,Rajasthan
IDA_E393A2BA,JODHPUR(DISTRICT COLLECTOR JODHPUR IDA),Rajasthan,Rajasthan
IDA_2BB2BE92,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Rajasthan,Rajasthan
IDA_780242C2,CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA),Rajasthan,Rajasthan
IDA_070D45E6,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),Rajasthan,Rajasthan
IDA_2398FA9E,NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA),Rajasthan,Rajasthan
IDA_4960B69B,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),Tamil Nadu,Tamil Nadu
IDA_91FA2AE4,JALORE(DISTRICT COLLECTOR JALORE_IDA),Rajasthan,Rajasthan
IDA_7914D189,SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_6B674F4F,AMETHI(DISTRICT MAGISTRAE AMETHI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_36662942,MAU(DISTRICT MAGISTRATE MAU_IDA),Uttar Pradesh,Uttar Pradesh
IDA_74D9F7BA,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),Rajasthan,Rajasthan
IDA_CA5A8027,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),Uttar Pradesh,Uttar Pradesh
IDA_55FFBF54,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Uttar Pradesh,Uttar Pradesh
IDA_36EF0501,TONK(DISTRICT COLLECTOR TONK_IDA),Rajasthan,Rajasthan
IDA_66434661,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),Rajasthan,Rajasthan
IDA_6E1FC0CC,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),Tamil Nadu,Tamil Nadu
IDA_8251E230,THOOTHUKKUDI(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Tamil Nadu,Tamil Nadu
IDA_93032348,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_0F85D5DE,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_8067C177,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),Rajasthan,Rajasthan
IDA_F5B93F71,SIDDHARTHNAGAR(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_2FAD3C94,SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),Bihar,Bihar
IDA_929F2CC3,JAMMU(DEPUTY COMMISSIONER JAMMU_IDA),Jammu And Kashmir,Jammu And Kashmir
IDA_04155546,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),Uttar Pradesh,Uttar Pradesh
IDA_4DAB8F54,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_FEB0CB82,SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA),Uttar Pradesh,Uttar Pradesh
IDA_C2947F26,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),Himachal Pradesh,Himachal Pradesh
IDA_E13C5D65,HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA),Himachal Pradesh,Himachal Pradesh
