mp_id,name,state,parliament
MP_D231B8BC,Javed Ali Khan (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_9F4B2345,Shambhu Sharan Patel (2022-28) (2022-2028),Bihar,rajya_sabha
MP_7C980F88,Mithlesh Kumar (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_D7D9EF1A,Vivek K. Tankha (2022-28) (2022-2028),Madhya Pradesh,rajya_sabha
MP_D569FEDB,Aditya Prasad (2022-28) (2022-2028),Jharkhand,rajya_sabha
MP_CDBD3352,. Darshana Singh (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_A19D364F,. Mahua Maji (2022-28) (2022-2028),Jharkhand,rajya_sabha
MP_58EECBB8,Ramji (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_87DFB418,R. Dharmar (2022-28) (2022-2028),Tamil Nadu,rajya_sabha
MP_341FE1FC,. Vikramjit Singh Sahney (2022-28) (2022-2028),Punjab,rajya_sabha
MP_449E6A9E,Sant Balbir Singh (2022-28) (2022-2028),Punjab,rajya_sabha
MP_0F885714,Naresh Bansal (2020-26) (2020-2026),Uttarakhand,rajya_sabha
MP_460D611D,Surendra Singh Nagar (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_8919B69C,Mukul Wasnik (2022-28) (2022-2028),Rajasthan,rajya_sabha
MP_937F5992,. Ram Gopal Yadav (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_31039303,. Seema Dwivedi (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_BC449826,Gulam Ali (2022-28) (2022-2028),Jammu And Kashmir,rajya_sabha
MP_F2C96988,. Sikander Kumar (2022-28) (2022-2028),Himachal Pradesh,rajya_sabha
MP_735DB474,Satish Chandra Dubey (2022-28) (2022-2028),Bihar,rajya_sabha
MP_6D8766FE,. Sulata Deo (2022-28) (2022-2028),Odisha,rajya_sabha
MP_F5B61089,. Radha Mohan Das Agrawal (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_EDA4E9DC,Jairam Ramesh (2022-28) (2022-2028),Karnataka,rajya_sabha
MP_A55D60F1,Jaggesh (2022-28) (2022-2028),Karnataka,rajya_sabha
MP_A176CF79,. Sangeeta Yadav (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_BF9DDF45,B.L. Verma (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_575BADBE,Ghanshyam Tiwari (2022-28) (2022-2028),Rajasthan,rajya_sabha
MP_45892B96,. Kalpana Saini (2022-28) (2022-2028),Uttarakhand,rajya_sabha
MP_81884423,. Kavita Patidar (2022-28) (2022-2028),Madhya Pradesh,rajya_sabha
MP_21202EC3,Brij Lal (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_B78836E2,Baburam Nishad (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_6159470D,S. Selvaganabathy (2021-27) (2021-2027),Puducherry,rajya_sabha
MP_2C6269F3,Jayant Chaudhary (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_3618581F,Khiru Mahto (2022-28) (2022-2028),Bihar,rajya_sabha
MP_C14A2390,Hardeep Singh Puri (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_B140CA39,Kapil Sibal (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_864C0ED8,. Faiyaz Ahmad (2022-28) (2022-2028),Bihar,rajya_sabha
MP_ECEC0221,. S. Phangnon Konyak (2022-28) (2022-2028),Nagaland,rajya_sabha
MP_04365D55,. Geeta Alias Chandraprabha (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_4B24F397,S. Kalyanasundaram (2022-28) (2022-2028),Tamil Nadu,rajya_sabha
MP_EEC245DE,Ilaiyaraaja (2022-28) (2022-2028),Tamil Nadu,rajya_sabha
MP_70BB3A5B,. K. Laxman (2022-28) (2022-2028),Uttar Pradesh,rajya_sabha
MP_9DCC4FBE,S Niranjan Reddy (2022-28) (2022-2028),Andhra Pradesh,rajya_sabha
MP_B41DCA1E,R. Girirajan (2022-28) (2022-2028),Tamil Nadu,rajya_sabha
MP_BDF87350,Pramod Tiwari (2022-28) (2022-2028),Rajasthan,rajya_sabha
MP_A1EBEEE6,. Sasmit Patra (2022-28) (2022-2028),Odisha,rajya_sabha
MP_A5E2E98F,. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Karnataka,rajya_sabha
MP_26F0DD4B,. Dinesh Sharma (2023-26) (2023-2026),Uttar Pradesh,rajya_sabha
MP_0C58F9FA,. Ranjeet Ranjan (2022-28) (2022-2028),Chhattisgarh,rajya_sabha
MP_AFE45743,Harbhajan Singh (2022-28) (2022-2028),Punjab,rajya_sabha
MP_2064F33F,S. Jaishankar (2023-29) (2023-2029),Gujarat,rajya_sabha
MP_63256538,Arun Singh (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
MP_D084A234,V. Vijayendra Prasad (2022-28) (2022-2028),Andhra Pradesh,rajya_sabha
MP_9AB3433E,. Sumitra Balmik (2022-28) (2022-2028),Madhya Pradesh,rajya_sabha
MP_253C7055,Sandosh Kumar P (2022-28) (2022-2028),Kerala,rajya_sabha
MP_4A679F22,. John Brittas (2021-27) (2021-2027),Kerala,rajya_sabha
MP_79639217,P. Chidambaram (2022-28) (2022-2028),Tamil Nadu,rajya_sabha
MP_C65BC162,Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029),Goa,rajya_sabha
MP_48AC0109,Neeraj Shekhar (2020-26) (2020-2026),Uttar Pradesh,rajya_sabha
