work_id,recommendation_date,recommended_amount,raw_additional_status
WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,14-Jun-2023,1000000.0,07-Nov-2023
WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,14-Jun-2023,1000000.0,08-Dec-2023
WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,14-Jun-2023,1000000.0,15-Mar-2024
"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",14-Jun-2023,1484933.0,12-Aug-2023
"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",14-Jun-2023,1486089.0,12-Aug-2023
"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",14-Jun-2023,1484550.0,12-Aug-2023
"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",14-Jun-2023,1484940.0,12-Aug-2023
WS/MP190/2023-2024/1301-Street lights,19-Jun-2023,243000.0,24-Aug-2023
WS/MP190/2023-2024/1302-Street lights,19-Jun-2023,243000.0,24-Aug-2023
WS/MP190/2023-2024/1303-Street lights,19-Jun-2023,243000.0,24-Aug-2023
WS/MP190/2023-2024/1304-Street lights,19-Jun-2023,243000.0,24-Aug-2023
WS/MP190/2023-2024/1305-Street lights,19-Jun-2023,243000.0,24-Aug-2023
WS/MP187/2023-2024/1362-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1363-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1364-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1365-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1366-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1367-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1368-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1369-Street lights,21-Jun-2023,283000.0,07-Jul-2023
WS/MP187/2023-2024/1370-Street lights,21-Jun-2023,283000.0,07-Jul-2023
