source_house,source_file,source_row_number,sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_₹
LOK_SABHA,Amount consented for Calamity (2).csv,2,1,National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,
LOK_SABHA,Amount consented for Calamity (2).csv,3,2,National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,
LOK_SABHA,Amount consented for Calamity (2).csv,4,3,National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,
LOK_SABHA,Amount consented for Calamity (2).csv,5,4,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,
LOK_SABHA,Amount consented for Calamity (2).csv,6,5,National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,
LOK_SABHA,Amount consented for Calamity (2).csv,7,6,State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,
LOK_SABHA,Amount consented for Calamity (2).csv,8,7,National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,
LOK_SABHA,Amount consented for Calamity (2).csv,9,8,National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,
LOK_SABHA,Amount consented for Calamity (2).csv,10,9,State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,
LOK_SABHA,Amount consented for Calamity (2).csv,11,10,State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,
LOK_SABHA,Amount consented for Calamity (2).csv,12,11,State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,
LOK_SABHA,Amount consented for Calamity (2).csv,13,12,State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,
