source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliament,elected/nominated,allocated_amount_₹
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,2,1,Telangana,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),Elected MP,73421449.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,3,2,Maharashtra,Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,4,3,Rajasthan,Dr. Alka Singh (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,5,4,Tamil Nadu,Dr. Anbumani Ramadoss (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,6,5,Maharashtra,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,7,6,Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,222487632.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,8,7,Bihar,Dr. Bhim Singh (2024-30) (2024-2030),Elected MP,186200000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,9,8,Karnataka,Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,196063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,10,9,Bihar,Dr. Dharmshila Gupta (2024-30) (2024-2030),Elected MP,186200000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,11,10,Uttar Pradesh,Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,12,11,Bihar,Dr. Faiyaz Ahmad (2022-28) (2022-2028),Elected MP,235263957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,13,12,Kerala,Dr. John Brittas (2021-27) (2021-2027),Elected MP,245063957.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,14,13,Maharashtra,Dr. Jyoti Nagnath Waghmare (2026-32) (2026-2032),Elected MP,49000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,15,14,Uttar Pradesh,Dr. K. Laxman (2022-28) (2022-2028),Elected MP,197637007.1
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,16,15,Uttarakhand,Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,200830405.8
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,17,16,Madhya Pradesh,Dr. Kavita Patidar (2022-28) (2022-2028),Elected MP,197118521.4
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,18,17,Madhya Pradesh,Dr. L. Murugan (2024-30) (2024-2030),Elected MP,147000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,19,18,Uttar Pradesh,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,196000000.0
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,20,19,Tamil Nadu,Dr. M. Dhanapal (2025-31) (2025-2031),Elected MP,89248285.42
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,21,20,Tamil Nadu,Dr. M. Thambi Durai (2026-32) (2026-2032),Elected MP,49356476.5
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,22,21,Maharashtra,Dr. Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,147000000.0
