source_house,source_file,source_row_number,sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_₹
RAJYA_SABHA,Amount consented for Calamity (3).csv,2,1,National Calamity,Flood 2025 in Punjab,Shri Hardeep Singh Puri (2020-26) (2020-2026),2025-11-17,
RAJYA_SABHA,Amount consented for Calamity (3).csv,3,2,National Calamity,Flood 2025 in Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),2025-11-04,
RAJYA_SABHA,Amount consented for Calamity (3).csv,4,3,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-11-03,
RAJYA_SABHA,Amount consented for Calamity (3).csv,5,4,National Calamity,Flood 2025 in Punjab,Shri Sanjay Singh (2024-30) (2024-2030),2025-11-03,
RAJYA_SABHA,Amount consented for Calamity (3).csv,6,5,National Calamity,Flood 2025 in Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),2025-11-03,
RAJYA_SABHA,Amount consented for Calamity (3).csv,7,6,National Calamity,Flood 2025 in Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),2025-10-29,
RAJYA_SABHA,Amount consented for Calamity (3).csv,8,7,National Calamity,Flood 2025 in Punjab,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),2025-10-07,
RAJYA_SABHA,Amount consented for Calamity (3).csv,9,8,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-10-06,
RAJYA_SABHA,Amount consented for Calamity (3).csv,10,9,National Calamity,Flood 2025 in Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),2025-09-19,
RAJYA_SABHA,Amount consented for Calamity (3).csv,11,10,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-04-21,
RAJYA_SABHA,Amount consented for Calamity (3).csv,12,11,National Calamity,Meppadi landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2025-02-17,
RAJYA_SABHA,Amount consented for Calamity (3).csv,13,12,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-02-03,
RAJYA_SABHA,Amount consented for Calamity (3).csv,14,13,State Calamity,Vilangad Landslides 2024,Shri Abdul Wahab (2021-27) (2021-2027),2024-12-08,
RAJYA_SABHA,Amount consented for Calamity (3).csv,15,14,State Calamity,Wayanad landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,
RAJYA_SABHA,Amount consented for Calamity (3).csv,16,15,State Calamity,Vilangad Landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,
RAJYA_SABHA,Amount consented for Calamity (3).csv,17,16,State Calamity,Wayanad landslides 2024,Dr. V. Sivadasan (2021-27) (2021-2027),2024-12-04,
RAJYA_SABHA,Amount consented for Calamity (3).csv,18,17,State Calamity,Wayanad landslides 2024,Shri A. A. Rahim (2022-28) (2022-2028),2024-12-04,
RAJYA_SABHA,Amount consented for Calamity (3).csv,19,18,State Calamity,Wayanad landslides 2024,Shri Jose K. Mani (2024-30) (2024-2030),2024-11-25,
RAJYA_SABHA,Amount consented for Calamity (3).csv,20,19,State Calamity,Wayanad landslides 2024,Shri Sandosh Kumar P (2022-28) (2022-2028),2024-10-17,
RAJYA_SABHA,Amount consented for Calamity (3).csv,21,20,State Calamity,Wayanad landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2024-09-10,
