source_house,source_file,source_row_number,sr_no,state,work,work_id,ida,honble_members_of_parliament,elected/nominated,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_₹
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,2,1,Uttar Pradesh,"Purchase of ambulances (Four, three and two wheelers)",WS/MP887/2025-2026/207251,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,2026-08-20,FORCE MOTORS LIMITED,Payment In-Progress,4282950.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,3,2,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP176/2025-2026/243305,DURG(DISTRICT COLLECTOR DURG_IDA),Shri Rajeev Shukla (2022-28) (2022-2028),Elected MP,2026-08-14,SARPANCH GRAM PANCHYAT Manikchauri,Payment In-Progress,259974.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,4,3,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138290,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,5,4,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138282,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,6,5,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138283,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,7,6,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138284,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,8,7,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138285,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,9,8,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138286,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,10,9,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138287,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11,10,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138289,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,2026-04-01,BALAJI SUPPLIER,Payment In-Progress,489765.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,12,11,Chhattisgarh,Development of playfields and sports grounds,WS/MP225/2025-2026/250305,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),Smt. Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,2026-08-17,GRAM PANCHAYAT MANAKONI,Payment In-Progress,250000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,13,12,Puducherry,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP139/2026-2027/229075,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,2026-08-17,Defy Systems,Payment In-Progress,211599.0
