rule_code,rule_name,severity,weight,entity_type,entity_id,source_house,state,mp_name,description,action
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10002057826252316638,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10002252239071343926,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10002604547977994136,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10005312616564506131,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10006438542262799475,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10006728973560529134,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10008209867756630709,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10009269315704502187,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10009633632587143947,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10010796344684331544,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10011069497015680213,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_1001197309142867388,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10014736683599134911,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10015252171384743921,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_1001538819113661641,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10016937976447532721,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10019435816714978803,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10020778942704561971,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10021298485503213372,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10021600830251351354,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10024403660587484160,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10024834039761255591,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10025182459402152004,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10026887917283050404,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10031769206870937869,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10032608712524406994,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10032967793950793735,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10033294847550059003,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10033556522301190841,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10033621626329743194,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10034550636861210704,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10034660461862868563,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10034720236238536601,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10036143936265716195,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
R008,MISSING_COMPLETION_EVIDENCE,MEDIUM,10,WORK,WORK_HASH_10036578796612488569,nan,nan,nan,Work marked completed without photographic or documentary evidence,Request site photo / completion certificate evidence
