duplicate_id,layer_type,canonical_work_id,vendor_name,amount_inr,transaction_date,rate_card_baseline_flag,contextual_validation_notes,severity,status
DUP_EXACT_WS/MP18104/2025-2026/213696_75000,EXACT,WS/MP18104/2025-2026/213696,SACHIV GRAM PANCHAYAT KULAMADI,75000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18100/2025-2026/249986_120000,EXACT,WS/MP18100/2025-2026/249986,SARPANCH GRAM PANCHAYAT   KERIYA,120000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18314/2026-2027/268676_49200,EXACT,WS/MP18314/2026-2027/268676,MS SHERPUR BRICK KILN,49200.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP716/2025-2026/203943_38104,EXACT,WS/MP716/2025-2026/203943,JR INDUSTRIES,38104.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP18311/2024-2025/143656_49700,EXACT,WS/MP18311/2024-2025/143656,PUNJAB CEMENT AND IRON STORE,49700.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18311/2024-2025/143656_49000,EXACT,WS/MP18311/2024-2025/143656,PUNJAB CEMENT AND IRON STORE,49000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18311/2024-2025/143656_40000,EXACT,WS/MP18311/2024-2025/143656,PUNJAB CEMENT AND IRON STORE,40000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18048/2025-2026/200477_450000,EXACT,WS/MP18048/2025-2026/200477,SARPANCHGRAM PANCHAYAT GADIYA,450000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP356/2025-2026/225529_75000,EXACT,WS/MP356/2025-2026/225529,CEO JANPAD PANCHAYAT SITAMAU,75000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP533/2025-2026/226046_500000,EXACT,WS/MP533/2025-2026/226046,SUBANSIRI TRADERS ZIRO,500000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP533/2025-2026/226046_250000,EXACT,WS/MP533/2025-2026/226046,SUBANSIRI TRADERS ZIRO,250000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18024/2026-2027/207563_21300,EXACT,WS/MP18024/2026-2027/207563,RAJKUMAR DUARAH,21300.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP568/2024-2025/161396_200000,EXACT,WS/MP568/2024-2025/161396,SARPACH SACHIV GP PADMI,200000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18104/2026-2027/288543_80000,EXACT,WS/MP18104/2026-2027/288543,SARPANCH GRAM PANCHAYAT SHIVPUR,80000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18357/2025-2026/191783_500000,EXACT,WS/MP18357/2025-2026/191783,GRAM PANCHAYAT SHERGARH,500000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18102/2025-2026/182464_250000,EXACT,WS/MP18102/2025-2026/182464,GRAM PANCHAYAT PATHAMOTI JANPAD PANCHAYAT UMARBAN,250000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18137/2025-2026/157803_150000,EXACT,WS/MP18137/2025-2026/157803,JIEDKUPAR KHARMAW,150000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18328/2024-2025/148190_500000,EXACT,WS/MP18328/2024-2025/148190,GP MANALI,500000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18049/2025-2026/234747_400000,EXACT,WS/MP18049/2025-2026/234747,GRAM PANCHAYAT TORLA,400000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18048/2025-2026/209924_425000,EXACT,WS/MP18048/2025-2026/209924,SARPACH GRAM PANCHYAT MURKINAR,425000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18104/2024-2025/153170_25000,EXACT,WS/MP18104/2024-2025/153170,GRAM PANCHAYAT RICHHEDA,25000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18158/2025-2026/232705_34500,EXACT,WS/MP18158/2025-2026/232705,GURU NANAK CEMENT STORE,34500.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18069/2025-2026/216982_100000,EXACT,WS/MP18069/2025-2026/216982,BDO NAGROTA BAGWAN,100000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18328/2025-2026/196712_100000,EXACT,WS/MP18328/2025-2026/196712,GRAM PANCHAYAT NATNED,100000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18137/2025-2026/162005_75000,EXACT,WS/MP18137/2025-2026/162005,JOHN MARBIN KHARUMNUID,75000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP654/2025-2026/230682_500000,EXACT,WS/MP654/2025-2026/230682,GRAM KOSH NEGAI,500000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18233/2025-2026/256237_365087,EXACT,WS/MP18233/2025-2026/256237,PRAYAG ENTERPRISES,365087.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP719/2025-2026/257060_11050,EXACT,WS/MP719/2025-2026/257060,RAMPRASAD,11050.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18109/2025-2026/244420_99900,EXACT,WS/MP18109/2025-2026/244420,GRAM PANCHAYAT TENDUHA NO 1,99900.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18354/2025-2026/177631_248944,EXACT,WS/MP18354/2025-2026/177631,GHANSHYAM DAS AGRAWAL,248944.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP18260/2025-2026/191703_41344,EXACT,WS/MP18260/2025-2026/191703,ABDUL GANI KOKA,41344.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP18102/2025-2026/233973_400000,EXACT,WS/MP18102/2025-2026/233973,GRAM PANCHAYAT AMJHERA JANPAD PANCHAYAT SARDARPUR,400000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18060/2025-2026/230498_28514,EXACT,WS/MP18060/2025-2026/230498,THE SARSWAL COOP L AND C SOCIETY LTD,28514.0,,False,Work+Vendor+Amount+Date exact match,CRITICAL,NEW
DUP_EXACT_WS/MP356/2025-2026/253031_500000,EXACT,WS/MP356/2025-2026/253031,MALVI JINGER MOCHI SAMAJ KALYAN SAMITI,500000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18138/2025-2026/246652_490000,EXACT,WS/MP18138/2025-2026/246652,MUP VAIVAKAWN,490000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18104/2025-2026/174713_50000,EXACT,WS/MP18104/2025-2026/174713,GP CHHAWARA JP BADI,50000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18109/2026-2027/247523_100000,EXACT,WS/MP18109/2026-2027/247523,GRAM PANCHAYAT OBARHA JANPAD PANCHAYAT SIDHI,100000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP18137/2025-2026/250842_150000,EXACT,WS/MP18137/2025-2026/250842,ALVIN JONES NONGKHLAW,150000.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
DUP_EXACT_WS/MP716/2025-2026/203954_45840,EXACT,WS/MP716/2025-2026/203954,JK INDUSTRIES,45840.0,,True,Rate-Card Baseline detected (Statutory Rate),MEDIUM,LEGITIMATE_RATE_CARD
