alias_id,mp_id,original_name,normalized_name,confidence_score,verified
MP_ALIAS_000001,MP_000001,SASMIT PATRA (2022-28) (2022-2028),sasmit patra 202228 20222028,1.0,True
MP_ALIAS_000002,MP_000002,AJAY BHATT,ajay bhatt,1.0,True
MP_ALIAS_000003,MP_000003,RAJEEV RAI,rajeev rai,1.0,True
MP_ALIAS_000004,MP_000004,NARESH BANSAL (2020-26) (2020-2026),naresh bansal 202026 20202026,1.0,True
MP_ALIAS_000005,MP_000005,BHIM SINGH (2024-30) (2024-2030),bhim singh 202430 20242030,1.0,True
MP_ALIAS_000006,MP_000006,LATA WANKHEDE,lata wankhede,1.0,True
MP_ALIAS_000007,MP_000007,DHARAMVIRA GANDHI,dharamvira gandhi,1.0,True
MP_ALIAS_000008,MP_000008,HARDEEP SINGH PURI (2020-26) (2020-2026),hardeep singh puri 202026 20202026,1.0,True
MP_ALIAS_000009,MP_000009,MANOJ KUMAR,manoj kumar,1.0,True
MP_ALIAS_000010,MP_000010,PARIMAL SUKLABAIDYA,parimal suklabaidya,1.0,True
MP_ALIAS_000011,MP_000011,JOGEN MOHAN (2026-32) (2026-2032),jogen mohan 202632 20262032,1.0,True
MP_ALIAS_000012,MP_000012,SARABJEET SINGH KHALSA,sarabjeet singh khalsa,1.0,True
MP_ALIAS_000013,MP_000013,CHAMALA KIRAN KUMAR REDDY,chamala kiran kumar reddy,1.0,True
MP_ALIAS_000014,MP_000014,MANOJ KUMAR JHA (2024-30) (2024-2030),manoj kumar jha 202430 20242030,1.0,True
MP_ALIAS_000015,MP_000015,SMT. SULATA DEO (2022-28) (2022-2028),smt sulata deo 202228 20222028,1.0,True
MP_ALIAS_000016,MP_000016,RAJA RAM SINGH,raja ram singh,1.0,True
MP_ALIAS_000017,MP_000017,SUBHASISH KHUNTIA (2024-30) (2024-2030),subhasish khuntia 202430 20242030,1.0,True
MP_ALIAS_000018,MP_000018,PRABHUBHAI NAGARBHAI VASAVA,prabhubhai nagarbhai vasava,1.0,True
MP_ALIAS_000019,MP_000019,S P SINGH,s p singh,1.0,True
MP_ALIAS_000020,MP_000020,GODAM NAGESH,godam nagesh,1.0,True
MP_ALIAS_000021,MP_000021,SIKANDER KUMAR (2022-28) (2022-2028),sikander kumar 202228 20222028,1.0,True
MP_ALIAS_000022,MP_000022,SMT. P. T. USHA (2022-28) (2022-2028),smt p t usha 202228 20222028,1.0,True
MP_ALIAS_000023,MP_000023,MANSUKHBHAI DHANJIBHAI VASAVA,mansukhbhai dhanjibhai vasava,1.0,True
MP_ALIAS_000024,MP_000024,ANNPURNA DEVI,annpurna devi,1.0,True
MP_ALIAS_000025,MP_000025,JOBA MAJHI,joba majhi,1.0,True
MP_ALIAS_000026,MP_000026,DINESH CHANDRA YADAV,dinesh chandra yadav,1.0,True
MP_ALIAS_000027,MP_000027,BHUPENDER YADAV,bhupender yadav,1.0,True
MP_ALIAS_000028,MP_000028,HASMUKH BHAI SOMA BHAI PATEL,hasmukh bhai soma bhai patel,1.0,True
MP_ALIAS_000029,MP_000029,BHARTI PARDHI,bharti pardhi,1.0,True
MP_ALIAS_000030,MP_000030,VIVEK K. TANKHA (2022-28) (2022-2028),vivek k tankha 202228 20222028,1.0,True
MP_ALIAS_000031,MP_000031,BABURAM NISHAD (2022-28) (2022-2028),baburam nishad 202228 20222028,1.0,True
MP_ALIAS_000032,MP_000032,YERRAM VENKATA SUBBA REDDY (2024-30) (2024-2030),yerram venkata subba reddy 202430 20242030,1.0,True
MP_ALIAS_000033,MP_000033,MALVIKA DEVI,malvika devi,1.0,True
MP_ALIAS_000034,MP_000034,SAMBIT PATRA,sambit patra,1.0,True
MP_ALIAS_000035,MP_000035,PRADEEP PUROHIT,pradeep purohit,1.0,True
MP_ALIAS_000036,MP_000036,CN ANNADURAI,cn annadurai,1.0,True
MP_ALIAS_000037,MP_000037,BHARTRUHARI MAHTAB,bhartruhari mahtab,1.0,True
MP_ALIAS_000038,MP_000038,JAGAT PRAKASH NADDA (2024-30) (2024-2030),jagat prakash nadda 202430 20242030,1.0,True
