source_dataset,source_row_id,candidate_dataset,candidate_row_id,source_work,candidate_work,source_mp,candidate_mp,source_constituency,candidate_constituency,source_state,candidate_state,source_amount,candidate_amount,match_score,confidence_level,match_method,decision,review_status
completed,140,expenditure,770,Construction of cycle stand.,Construction of water tanks,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,500000.0,150000.0,82.56,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,219,expenditure,174,Construction of CC road from Pappu Singh House to Manoj House In Nagla Taj Etmadpur,"Construction of roads, link roads, pathways or any other road with or without drainage system",Sp Singh Baghel,Sp Singh Baghel,AGRA(SC),AGRA(SC),Uttar Pradesh,Uttar Pradesh,513114.0,556999.0,78.56,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,541,expenditure,1454,"Construction work of a culvert in semardhar nala, village Mauhari.","Construction of roads, link roads, pathways or any other road with or without drainage system",Himadri Singh,Himadri Singh,SHAHDOL (ST),SHAHDOL (ST),Madhya Pradesh,Madhya Pradesh,999300.0,500000.0,70.89,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,279,expenditure,769,Highmast solar Street light- Two piece,Street lights,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,993000.0,300000.0,73.38,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,959,expenditure,515,"Shed construction in Dadar para, Gram - Lafa, Vikas khand - Pali",Construction of common work sheds/ common covered sitting area,Jyotsna Charandas Mahant,Jyotsna Charandas Mahant,KORBA,KORBA,Chhattisgarh,Chhattisgarh,500000.0,180000.0,70.71,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,558,expenditure,1453,"Construction work of a culvert in Kahjuraha Nala, Baiga Mohalla",Construction of community centers and community halls,Himadri Singh,Himadri Singh,SHAHDOL (ST),SHAHDOL (ST),Madhya Pradesh,Madhya Pradesh,1495940.0,350000.0,70.03,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,109,expenditure,762,Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs),Installing community drinking water plants,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232415.0,232838.0,78.18,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1046,expenditure,889,"Construction of community fishery at Rongkimi, Diphu",Construction of boundary walls of existing public and community buildings,Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,499329.0,77000.0,75.71,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,993,expenditure,217,Construction of common work shed in village Choli at Near Radha Bihari Gaushala,Construction of community centers and community halls,Gajendra Singh Patel,Gajendra Singh Patel,KHARGONE(ST),KHARGONE(ST),Madhya Pradesh,Madhya Pradesh,1000000.0,150000.0,72.87,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,134,expenditure,857,Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala,Purchase of mobile water tankers,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,241056.0,240497.0,83.61,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,978,expenditure,292,Construction of Community halls at Village Sarhal Qazian,Construction of community centers and community halls,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,500000.0,45500.0,77.24,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,109,expenditure,1039,Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs),Installing community drinking water plants,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232415.0,232462.0,78.2,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,541,expenditure,1452,"Construction work of a culvert in semardhar nala, village Mauhari.","Construction of roads, link roads, pathways or any other road with or without drainage system",Himadri Singh,Himadri Singh,SHAHDOL (ST),SHAHDOL (ST),Madhya Pradesh,Madhya Pradesh,999300.0,400000.0,70.23,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1047,expenditure,1271,"Construction of ringwell near the house of Smt Sika Tokbipi, Cheksolangso","Construction of roads, link roads, pathways or any other road with or without drainage system",Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,299503.0,96869.0,72.7,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,961,expenditure,515,"Shed construction in Mohla Ingadai in Gram - Bhandarkhol , Vikaskhand - Pali",Construction of common work sheds/ common covered sitting area,Jyotsna Charandas Mahant,Jyotsna Charandas Mahant,KORBA,KORBA,Chhattisgarh,Chhattisgarh,399708.0,180000.0,71.51,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,151,expenditure,1341,Construction of drainage system- From Gobardhan Dewangan house towards Bhuwan Lal Rathore farm,Construction of bus-sheds or bus-stops,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,700000.0,600000.0,76.89,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,978,expenditure,296,Construction of Community halls at Village Sarhal Qazian,Construction of community centers and community halls,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,500000.0,30000.0,77.15,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1052,expenditure,889,"Construction of ringwell near the house of Smt. Minu Teronpi, Biren Kramsa village",Construction of boundary walls of existing public and community buildings,Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,299481.0,77000.0,71.98,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,31,expenditure,1341,Construction of culverts and bridges- Between Singhra and Chhote Kot,Construction of bus-sheds or bus-stops,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,998871.0,600000.0,74.2,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,18,expenditure,768,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,498091.0,498497.0,82.58,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,79,expenditure,1357,Construction of community building in the Muslim locality.,Construction of community centers and community halls,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,598982.0,300000.0,79.32,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,19,expenditure,735,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Construction of buildings for community cultural activities,Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,DHARWAD,DHARWAD,Karnataka,Karnataka,497185.0,495246.0,80.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,134,expenditure,1217,Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala,Purchase of mobile water tankers,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,241056.0,240813.0,83.63,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,978,expenditure,290,Construction of Community halls at Village Sarhal Qazian,Construction of community centers and community halls,Malvinder Singh Kang,Malvinder Singh Kang,ANANDPUR SAHIB,ANANDPUR SAHIB,Punjab,Punjab,500000.0,48300.0,77.26,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1322,expenditure,195,CONSTRUCTION OF ROAD,Construction of rooms and halls in school and colleges,Gurjeet Singh Aujla,Gurjeet Singh Aujla,AMRITSAR,AMRITSAR,Punjab,Punjab,286000.0,498148.0,76.43,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1051,expenditure,1271,Construction of community fishery at Longnit,"Construction of roads, link roads, pathways or any other road with or without drainage system",Amarsing Tisso,Amarsing Tisso,Diphu (ST),Diphu (ST),Assam,Assam,499329.0,96869.0,71.59,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,1143,expenditure,515,"Construction of Manch at Majhauli Saptahik Baazar area. Gram Panchayat - Majhauli , Vikas Khand - Khadgawa",Construction of common work sheds/ common covered sitting area,Jyotsna Charandas Mahant,Jyotsna Charandas Mahant,KORBA,KORBA,Chhattisgarh,Chhattisgarh,400000.0,180000.0,70.18,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,112,expenditure,847,Installation of RO System At Govt. High School Kot Karor Kalan (Capacity 500 Ltrs),Installing community drinking water plants,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232650.0,232603.0,77.6,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,109,expenditure,1082,Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs),Installing community drinking water plants,Sher Singh Ghubaya,Sher Singh Ghubaya,FIROZPUR,FIROZPUR,Punjab,Punjab,232415.0,232650.0,78.19,MEDIUM,fuzzy_multi_field,pending,requires_human_review
completed,82,expenditure,770,Construction of boundary walls,Construction of water tanks,Kamlesh Jangde,Kamlesh Jangde,JANJGIR CHAMPA(SC),JANJGIR CHAMPA(SC),Chhattisgarh,Chhattisgarh,1000000.0,150000.0,79.31,MEDIUM,fuzzy_multi_field,pending,requires_human_review
