ida_id,canonical_name,normalized_name,agency_type,created_at
IDA_000001,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),khordhadistrict collector khordhaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254339
IDA_000002,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),nainitaldistrict magistrate nainitalida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254395
IDA_000003,MAU(DISTRICT MAGISTRATE MAU_IDA),maudistrict magistrate mauida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254406
IDA_000004,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),dehradundistrict magistrate dehradunida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254414
IDA_000005,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),patnadistrict planning officer patnaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254421
IDA_000006,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),sagardistrict collector sagarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254428
IDA_000007,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),patialadeputy commissioner patialaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254434
IDA_000008,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),sonbhadradistrict magistrate sonbhadraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254440
IDA_000009,ROHTAS(DISTRICT PLANNING OFFICER ROHTAS_IDA),rohtasdistrict planning officer rohtasida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254447
IDA_000010,CACHAR(DEPUTY COMMISSIONER CACHAR_IDA),cachardeputy commissioner cacharida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254452
IDA_000011,CHARAIDEO(DEPUTY COMMISSIONER CHARAIDEO_IDA),charaideodeputy commissioner charaideoida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254459
IDA_000012,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),faridkotdeputy commissioner faridkotida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254464
IDA_000013,NALGONDA(DISTRICT COLLECTOR NALGONDA),nalgondadistrict collector nalgonda,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254472
IDA_000014,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),saharsadistrict planning officer saharsaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254478
IDA_000015,KENDRAPADA(DISTRICT COLLECTOR KENDRAPARA_IDA),kendrapadadistrict collector kendraparaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254484
IDA_000016,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),aurangabaddistrict planning officer aurangabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254493
IDA_000017,PURI(DISTRICT COLLECTOR PURI_IDA),puridistrict collector puriida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254498
IDA_000018,SURAT(DISTRICT COLLECTOR SURAT_IDA),suratdistrict collector suratida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254505
IDA_000019,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),pratapgarhdistrict magistrae pratapgarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254510
IDA_000020,NIRMAL(DISTRICT COLLECTOR NIRMAL_3),nirmaldistrict collector nirmal3,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254516
IDA_000021,"BILASPUR(DEPUTY COMMISSIONER, BILASPUR)",bilaspurdeputy commissioner bilaspur,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254522
IDA_000022,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),pathanamthittadistrict collector pathanamthittaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254529
IDA_000023,MOGA(DEPUTY COMMISSIONER MOGA),mogadeputy commissioner moga,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254534
IDA_000024,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),vadodaradistrict collector vadodaraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254540
IDA_000025,KODERMA(DEPUTY COMMISSIONER KODARMA_IDA),kodermadeputy commissioner kodarmaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254545
IDA_000026,SARAIKELA KHARSAWAN(DEPUTY COMMISSIONER SARAIKELA_IDA),saraikela kharsawandeputy commissioner saraikelaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254551
IDA_000027,MADHEPURA(DISTRICT PLANNING OFFICER MADHEPURA_IDA),madhepuradistrict planning officer madhepuraida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254557
IDA_000028,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),alwardistrict collector alwarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254562
IDA_000029,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),gandhinagardistrict collector gandhinagarida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254568
IDA_000030,SEONI(DISTRICT COLLECTOR SEONI_IDA),seonidistrict collector seoniida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254573
IDA_000031,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),jabalpurdistrict collector jabalpurida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254578
IDA_000032,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),mahobadistrict magistrae mahobaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254584
IDA_000033,ANAKAPALLI(DISTRICT COLLECTOR ANAKAPALLI_IDA),anakapallidistrict collector anakapalliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254589
IDA_000034,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),kalahandidistrict collector kalahandiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254595
IDA_000035,NAYAGADA(DISTRICT COLLECTOR  NAYAGARH_IDA),nayagadadistrict collector nayagarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254600
IDA_000036,BARAGADA(DISTRICT COLLECTOR BARAGARH_IDA),baragadadistrict collector baragarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254606
IDA_000037,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),tiruvannamalaidistrict collector tiruvannamalaiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254612
IDA_000038,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),sirmaurdeputy commissioner sirmourida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254617
IDA_000039,KATAKA(DISTRICT COLLECTOR CUTTACK_IDA),katakadistrict collector cuttackida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254623
IDA_000040,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),banas kanthadistrict collector banas kanthaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254629
IDA_000041,PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA),prakasamdistrict collector prakasamida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254634
IDA_000042,MORBI(DISTRICT COLLECTOR MORBI_IDA),morbidistrict collector morbiida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254640
IDA_000043,CHARKHI DADRI(DEPUTY COMMISSIONER CHARKHI DADRI_IDA),charkhi dadrideputy commissioner charkhi dadriida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254647
IDA_000044,RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA),rajkotdistrict collector rajkotida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254652
IDA_000045,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),tiruchirappallidistrict collector tiruchirappalliida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254658
IDA_000046,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),rajgarhdistrict collector rajgarhida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254663
IDA_000047,MANSA(DEPUTY COMMISSIONER MANSA_IDA),mansadeputy commissioner mansaida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254668
IDA_000048,FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA),firozabaddistrict magistrate firozabadida,DISTRICT_AUTHORITY,2026-09-02T01:31:39.254674
