mp_id,canonical_name,normalized_name,source_house,canonical_state,canonical_constituency,created_at
MP_000001,SASMIT PATRA (2022-28) (2022-2028),sasmit patra 202228 20222028,RAJYA_SABHA,ODISHA,ELECTED MP,2026-09-02T01:31:36.837693
MP_000002,AJAY BHATT,ajay bhatt,LOK_SABHA,UTTARAKHAND,NAINITAL UDHAM SINGH NAG.,2026-09-02T01:31:36.837827
MP_000003,RAJEEV RAI,rajeev rai,LOK_SABHA,UTTAR PRADESH,GHOSI,2026-09-02T01:31:36.837919
MP_000004,NARESH BANSAL (2020-26) (2020-2026),naresh bansal 202026 20202026,RAJYA_SABHA,UTTARAKHAND,ELECTED MP,2026-09-02T01:31:36.837964
MP_000005,BHIM SINGH (2024-30) (2024-2030),bhim singh 202430 20242030,RAJYA_SABHA,BIHAR,ELECTED MP,2026-09-02T01:31:36.838007
MP_000006,LATA WANKHEDE,lata wankhede,LOK_SABHA,MADHYA PRADESH,SAGAR,2026-09-02T01:31:36.838046
MP_000007,DHARAMVIRA GANDHI,dharamvira gandhi,LOK_SABHA,PUNJAB,PATIALA,2026-09-02T01:31:36.838084
MP_000008,HARDEEP SINGH PURI (2020-26) (2020-2026),hardeep singh puri 202026 20202026,RAJYA_SABHA,UTTAR PRADESH,ELECTED MP,2026-09-02T01:31:36.838122
MP_000009,MANOJ KUMAR,manoj kumar,LOK_SABHA,BIHAR,SASARAM(SC),2026-09-02T01:31:36.838158
MP_000010,PARIMAL SUKLABAIDYA,parimal suklabaidya,LOK_SABHA,ASSAM,SILCHAR,2026-09-02T01:31:36.838195
MP_000011,JOGEN MOHAN (2026-32) (2026-2032),jogen mohan 202632 20262032,RAJYA_SABHA,ASSAM,ELECTED MP,2026-09-02T01:31:36.838235
MP_000012,SARABJEET SINGH KHALSA,sarabjeet singh khalsa,LOK_SABHA,PUNJAB,FARIDKOT(SC),2026-09-02T01:31:36.838272
MP_000013,CHAMALA KIRAN KUMAR REDDY,chamala kiran kumar reddy,LOK_SABHA,TELANGANA,BHONGIR,2026-09-02T01:31:36.838308
