mp_id,canonical_name,source_house,canonical_state,canonical_constituency,recommendation_count,sanction_count,completed_count,total_expenditure_inr,utilisation_pct,output_per_rupee,avg_sanction_delay_days,category_entropy,top_vendor_concentration_pct,feature_version,computed_at
MP_000001,SASMIT PATRA (2022-28) (2022-2028),RAJYA_SABHA,ODISHA,ELECTED MP,305,185,0,0.0,0.0,0.0,87.84864864864865,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000002,AJAY BHATT,LOK_SABHA,UTTARAKHAND,NAINITAL UDHAM SINGH NAG.,469,353,0,0.0,0.0,0.0,140.67705382436262,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000003,RAJEEV RAI,LOK_SABHA,UTTAR PRADESH,GHOSI,229,209,0,0.0,0.0,0.0,153.27272727272728,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000004,NARESH BANSAL (2020-26) (2020-2026),RAJYA_SABHA,UTTARAKHAND,ELECTED MP,238,207,0,0.0,0.0,0.0,69.02898550724638,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000005,BHIM SINGH (2024-30) (2024-2030),RAJYA_SABHA,BIHAR,ELECTED MP,319,303,0,0.0,0.0,0.0,63.80858085808581,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000006,LATA WANKHEDE,LOK_SABHA,MADHYA PRADESH,SAGAR,236,169,0,0.0,0.0,0.0,55.798816568047336,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000007,DHARAMVIRA GANDHI,LOK_SABHA,PUNJAB,PATIALA,360,273,0,0.0,0.0,0.0,62.35531135531136,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000008,HARDEEP SINGH PURI (2020-26) (2020-2026),RAJYA_SABHA,UTTAR PRADESH,ELECTED MP,415,415,0,0.0,0.0,0.0,76.1566265060241,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000009,MANOJ KUMAR,LOK_SABHA,BIHAR,SASARAM(SC),194,152,0,0.0,0.0,0.0,70.52631578947368,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000010,PARIMAL SUKLABAIDYA,LOK_SABHA,ASSAM,SILCHAR,153,69,0,0.0,0.0,0.0,342.8695652173913,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000011,JOGEN MOHAN (2026-32) (2026-2032),RAJYA_SABHA,ASSAM,ELECTED MP,22,2,0,0.0,0.0,0.0,41.0,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000012,SARABJEET SINGH KHALSA,LOK_SABHA,PUNJAB,FARIDKOT(SC),573,490,0,0.0,0.0,0.0,42.573469387755104,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000013,CHAMALA KIRAN KUMAR REDDY,LOK_SABHA,TELANGANA,BHONGIR,495,469,0,0.0,0.0,0.0,80.67803837953092,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000014,MANOJ KUMAR JHA (2024-30) (2024-2030),RAJYA_SABHA,BIHAR,ELECTED MP,176,119,0,0.0,0.0,0.0,73.73949579831933,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000015,SMT. SULATA DEO (2022-28) (2022-2028),RAJYA_SABHA,ODISHA,ELECTED MP,311,270,0,0.0,0.0,0.0,89.75185185185185,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000016,RAJA RAM SINGH,LOK_SABHA,BIHAR,KARAKAT,329,262,0,0.0,0.0,0.0,91.67175572519083,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000017,SUBHASISH KHUNTIA (2024-30) (2024-2030),RAJYA_SABHA,ODISHA,ELECTED MP,222,132,0,0.0,0.0,0.0,159.3939393939394,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000018,PRABHUBHAI NAGARBHAI VASAVA,LOK_SABHA,GUJARAT,BARDOLI(ST),330,248,0,0.0,0.0,0.0,89.49193548387096,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000019,S P SINGH,LOK_SABHA,UTTAR PRADESH,PRATAPGARH,600,363,0,0.0,0.0,0.0,74.38842975206612,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000020,GODAM NAGESH,LOK_SABHA,TELANGANA,ADILABAD(ST),357,189,0,0.0,0.0,0.0,161.61904761904762,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000021,SIKANDER KUMAR (2022-28) (2022-2028),RAJYA_SABHA,HIMACHAL PRADESH,ELECTED MP,394,364,0,0.0,0.0,0.0,96.23626373626374,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000022,SMT. P. T. USHA (2022-28) (2022-2028),RAJYA_SABHA,KERALA,NOMINATED MP,121,90,0,0.0,0.0,0.0,181.96666666666667,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000023,MANSUKHBHAI DHANJIBHAI VASAVA,LOK_SABHA,GUJARAT,BHARUCH,397,352,0,0.0,0.0,0.0,87.29829545454545,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000024,ANNPURNA DEVI,LOK_SABHA,JHARKHAND,KODARMA,389,273,0,0.0,0.0,0.0,172.23809523809524,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000025,JOBA MAJHI,LOK_SABHA,JHARKHAND,SINGHBHUM(ST),118,117,0,0.0,0.0,0.0,73.55555555555556,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000026,DINESH CHANDRA YADAV,LOK_SABHA,BIHAR,MADHEPURA,156,147,0,0.0,0.0,0.0,23.108843537414966,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000027,BHUPENDER YADAV,LOK_SABHA,RAJASTHAN,ALWAR,74,65,0,0.0,0.0,0.0,108.3076923076923,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
MP_000028,HASMUKH BHAI SOMA BHAI PATEL,LOK_SABHA,GUJARAT,AHMEDABAD EAST,197,108,0,0.0,0.0,0.0,128.4351851851852,0.0,25.0,v1.0,2026-09-02T02:01:25.287339
