parliament,state,constituency,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,completion_rate,utilization_rate
lok_sabha,Andaman and Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,27,13,0,36232528.0,0.0,0.0,0.0
lok_sabha,Andhra Pradesh,AMALAPURAM(SC),71,70,35,66655023.0,0.0,0.493,0.0
lok_sabha,Andhra Pradesh,ANAKAPALLE,39,39,14,43734763.0,0.0,0.359,0.0
lok_sabha,Andhra Pradesh,ANANTAPUR,107,107,35,78430434.0,0.0,0.327,0.0
lok_sabha,Andhra Pradesh,ARAKU(ST),105,98,24,72200615.0,0.0,0.229,0.0
lok_sabha,Andhra Pradesh,BAPATLA,60,51,6,54182500.0,0.0,0.1,0.0
lok_sabha,Andhra Pradesh,CHITTOOR,187,113,87,79906420.0,0.0,0.465,0.0
lok_sabha,Andhra Pradesh,ELURU,100,72,7,73231616.0,0.0,0.07,0.0
lok_sabha,Andhra Pradesh,GUNTUR,58,56,6,70349906.0,0.0,0.103,0.0
lok_sabha,Andhra Pradesh,HINDUPUR,63,59,40,44123960.0,0.0,0.635,0.0
lok_sabha,Andhra Pradesh,KADAPA,226,158,49,68730351.0,0.0,0.217,0.0
lok_sabha,Andhra Pradesh,KAKINADA,15,15,5,32589800.0,0.0,0.333,0.0
lok_sabha,Andhra Pradesh,KURNOOL,25,23,18,19241704.0,0.0,0.72,0.0
lok_sabha,Andhra Pradesh,MACHILIPATNAM,48,41,7,26120859.0,0.0,0.146,0.0
lok_sabha,Andhra Pradesh,NANDYAL,106,103,39,53620493.0,0.0,0.368,0.0
lok_sabha,Andhra Pradesh,NARASAPURAM,1,1,0,12000000.0,0.0,0.0,0.0
lok_sabha,Andhra Pradesh,NARASARAOPET,62,7,1,6638128.0,0.0,0.016,0.0
lok_sabha,Andhra Pradesh,NELLORE(SC),96,96,76,68226987.0,0.0,0.792,0.0
lok_sabha,Andhra Pradesh,ONGOLE,12,11,1,15460400.0,0.0,0.083,0.0
lok_sabha,Andhra Pradesh,RAJAHMUNDRY,20,15,3,43000000.0,0.0,0.15,0.0
lok_sabha,Andhra Pradesh,RAJAMPET,376,356,136,109304588.0,0.0,0.362,0.0
lok_sabha,Andhra Pradesh,SRIKAKULAM,100,92,34,60962462.0,0.0,0.34,0.0
lok_sabha,Andhra Pradesh,TIRUPATI(SC),131,103,70,54942716.0,0.0,0.534,0.0
lok_sabha,Andhra Pradesh,VIJAYAWADA,24,12,1,33642032.0,0.0,0.042,0.0
lok_sabha,Andhra Pradesh,VISAKHAPATNAM,28,25,0,52015000.0,0.0,0.0,0.0
lok_sabha,Andhra Pradesh,VIZIANAGARAM,82,67,26,36452251.0,0.0,0.317,0.0
lok_sabha,Arunachal Pradesh,ARUNACHAL EAST,152,105,98,93493352.0,0.0,0.645,0.0
lok_sabha,Arunachal Pradesh,ARUNACHAL WEST,93,92,85,67482837.0,0.0,0.914,0.0
lok_sabha,Assam,BARPETA,61,45,3,42808000.0,0.0,0.049,0.0
lok_sabha,Assam,DHUBRI,76,60,7,30547919.0,0.0,0.092,0.0
lok_sabha,Assam,DIBRUGARH,66,49,2,52900000.0,0.0,0.03,0.0
lok_sabha,Assam,Darrang-Udalguri,117,79,5,26050000.0,0.0,0.043,0.0
lok_sabha,Assam,Diphu (ST),66,56,32,64683742.0,0.0,0.485,0.0
lok_sabha,Assam,GUWAHATI,88,61,5,61900000.0,0.0,0.057,0.0
lok_sabha,Assam,JORHAT,383,279,31,61745782.0,0.0,0.081,0.0
lok_sabha,Assam,KARIMGANJ (SC),31,12,0,18650000.0,0.0,0.0,0.0
lok_sabha,Assam,KOKRAJHAR (ST),81,44,12,47174156.0,0.0,0.148,0.0
lok_sabha,Assam,Kaziranga,75,57,0,60574000.0,0.0,0.0,0.0
lok_sabha,Assam,LAKHIMPUR,62,48,16,36399800.0,0.0,0.258,0.0
lok_sabha,Assam,NOWGONG,110,96,13,42774000.0,0.0,0.118,0.0
lok_sabha,Assam,SILCHAR,82,30,0,21600000.0,0.0,0.0,0.0
lok_sabha,Assam,Sonitpur,98,89,18,80029518.0,0.0,0.184,0.0
lok_sabha,Bihar,ARARIA,49,49,2,41036427.0,0.0,0.041,0.0
lok_sabha,Bihar,ARRAH,188,95,63,66865411.0,0.0,0.335,0.0
lok_sabha,Bihar,AURANGABAD_BR,75,59,21,35019273.0,0.0,0.28,0.0
lok_sabha,Bihar,BANKA,57,48,41,59930111.0,0.0,0.719,0.0
lok_sabha,Bihar,BEGUSARAI,46,36,16,47915360.0,0.0,0.348,0.0
