feature_name,feature_group,data_type,aggregation_level,missing_percentage,unique_count,min,max,mean,std,leakage_status
canonical_work_id,entity_identifier,object,work_level,0.0,59653,,,,,AVAILABLE_AT_PREDICTION
official_work_id,entity_identifier,object,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
parliament,entity_identifier,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
state,general,object,work_level,0.0,37,,,,,AVAILABLE_AT_PREDICTION
constituency,general,object,work_level,0.0,539,,,,,AVAILABLE_AT_PREDICTION
mp_name,aggregation_historical,object,work_level,0.0,539,,,,,AVAILABLE_AT_PREDICTION
work_category,general,object,work_level,0.0,5,,,,,AVAILABLE_AT_PREDICTION
work_description,general,object,work_level,0.0,58988,,,,,AVAILABLE_AT_PREDICTION
recommended_date,temporal_lifecycle,object,work_level,0.69,758,,,,,AVAILABLE_AT_PREDICTION
recommended_amount,financial,float64,work_level,0.69,10828,1.0,99965000.0,626321.34,1082973.94,AVAILABLE_AT_PREDICTION
sanction_date,temporal_lifecycle,object,work_level,23.03,650,,,,,AVAILABLE_AT_PREDICTION
sanctioned_amount,financial,float64,work_level,23.11,10307,2.46,49740000.0,600659.92,986137.95,AVAILABLE_AT_PREDICTION
completion_date,temporal_lifecycle,object,work_level,66.58,581,,,,,POST_PREDICTION
completion_amount,financial,float64,work_level,66.67,9268,8448.0,16330627860.4,1372532.26,115807773.3,POST_PREDICTION
expenditure_amount,financial,float64,work_level,0.0,3,0.0,1443979.0,26.72,5943.94,AVAILABLE_AT_PREDICTION
expenditure_transaction_count,financial,int64,work_level,0.0,3,0.0,6.0,0.0,0.02,AVAILABLE_AT_PREDICTION
first_expenditure_date,financial,object,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
last_expenditure_date,financial,object,work_level,100.0,0,,,,,POST_PREDICTION
vendor_name,aggregation_historical,object,work_level,100.0,2,,,,,AVAILABLE_AT_PREDICTION
ida_agency,entity_identifier,object,work_level,23.11,749,,,,,AVAILABLE_AT_PREDICTION
work_status,general,object,work_level,23.11,7,,,,,AVAILABLE_AT_PREDICTION
er_match_score,general,float64,work_level,97.72,1,100.0,100.0,100.0,0.0,AVAILABLE_AT_PREDICTION
er_confidence,entity_identifier,object,work_level,0.0,2,,,,,AVAILABLE_AT_PREDICTION
er_method,general,object,work_level,0.0,2,,,,,AVAILABLE_AT_PREDICTION
has_recommendation,general,int64,work_level,0.0,2,0.0,1.0,0.99,0.08,AVAILABLE_AT_PREDICTION
has_sanction,general,int64,work_level,0.0,2,0.0,1.0,0.77,0.42,AVAILABLE_AT_PREDICTION
has_expenditure,financial,int64,work_level,0.0,2,0.0,1.0,0.0,0.01,AVAILABLE_AT_PREDICTION
has_completion,general,int64,work_level,0.0,2,0.0,1.0,0.33,0.47,POST_PREDICTION
has_official_work_id,entity_identifier,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
has_canonical_work_id,entity_identifier,int64,work_level,0.0,1,1.0,1.0,1.0,0.0,AVAILABLE_AT_PREDICTION
entity_resolution_score,general,float64,work_level,0.0,1,100.0,100.0,100.0,0.0,AVAILABLE_AT_PREDICTION
entity_resolution_confidence,entity_identifier,object,work_level,0.0,2,,,,,AVAILABLE_AT_PREDICTION
entity_resolution_method,general,object,work_level,0.0,2,,,,,AVAILABLE_AT_PREDICTION
entity_resolution_uncertain,general,int64,work_level,0.0,2,0.0,1.0,0.98,0.15,AVAILABLE_AT_PREDICTION
entity_resolution_review_required,general,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
recommendation_sanction_amount_difference,financial,float64,work_level,23.11,429,-4900000.0,14924800.0,348.49,123787.63,AVAILABLE_AT_PREDICTION
sanction_expenditure_amount_difference,financial,float64,work_level,23.11,10308,-1203146.0,49740000.0,600625.17,986174.22,AVAILABLE_AT_PREDICTION
sanction_completion_amount_difference,financial,float64,work_level,67.37,2812,-13823660.0,10500192.0,5891.82,194962.29,POST_PREDICTION
recommended_expenditure_difference,financial,float64,work_level,0.69,10829,-1203146.0,99965000.0,626294.43,1083000.15,AVAILABLE_AT_PREDICTION
recommendation_to_sanction_amount_change_pct,financial,float64,work_level,0.0,466,-100.0,9900.0,0.8,47.46,AVAILABLE_AT_PREDICTION
sanction_to_expenditure_amount_change_pct,financial,float64,work_level,0.0,3,-100.0,499.58,-76.88,42.22,AVAILABLE_AT_PREDICTION
sanction_to_completion_amount_change_pct,financial,float64,work_level,0.0,3101,-95.46,1029.56,0.16,15.03,POST_PREDICTION
expenditure_to_sanction_ratio,financial,float64,work_level,0.0,3,0.0,6.0,0.0,0.02,AVAILABLE_AT_PREDICTION
expenditure_utilization_percentage,financial,float64,work_level,0.0,3,0.0,599.58,0.01,2.49,AVAILABLE_AT_PREDICTION
completion_to_sanction_ratio,financial,float64,work_level,0.0,3102,0.0,11.3,0.33,0.49,POST_PREDICTION
completion_amount_percentage,financial,float64,work_level,0.0,3102,0.0,1129.56,32.79,49.45,POST_PREDICTION
