transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_LO_000001,CW_LO_EXP_000001,WS/MP18086/2026-2027/292888,lok_sabha,expenditure,0,Kridl Bhusiri Account Works,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),Payment In-Progress,750000.0,,Karnataka,HASSAN,Shreyas. M. Patel
TX_LO_000002,CW_LO_EXP_000002,WS/MP18218/2025-2026/233777,lok_sabha,expenditure,1,Darsh Buildcon,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Payment In-Progress,799146.0,,Uttar Pradesh,GHAZIABAD,Atul Garg
TX_LO_000003,CW_LO_EXP_000003,WS/MP18218/2025-2026/233878,lok_sabha,expenditure,2,Darsh Buildcon,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Payment In-Progress,832080.0,,Uttar Pradesh,GHAZIABAD,Atul Garg
TX_LO_000004,CW_LO_EXP_000004,WS/MP18218/2025-2026/233781,lok_sabha,expenditure,3,Darsh Buildcon,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Payment In-Progress,498309.0,,Uttar Pradesh,GHAZIABAD,Atul Garg
TX_LO_000005,CW_LO_EXP_000005,WS/MP370/2024-2025/145537,lok_sabha,expenditure,4,Member Secy Ob And Oc Wwb Bbsr,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Payment In-Progress,2000.0,,Odisha,SUNDARGARH (ST),Jual Oram
TX_LO_000006,CW_LO_EXP_000006,WS/	 MP575/2026-2027/291463,lok_sabha,expenditure,5,Bhargav Sumantrai Patel,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),Payment In-Progress,497845.0,,Gujarat,NAVSARI,C R Patil
TX_LO_000007,CW_LO_EXP_000007,WS/MP300/2025-2026/157040,lok_sabha,expenditure,6,Member Secy Ob And Oc Wwb Bbsr,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Payment In-Progress,5000.0,,Odisha,BHUBANESWAR,Aparajita Sarangi
TX_LO_000008,CW_LO_EXP_000008,WS/MP18150/2026-2027/272770,lok_sabha,expenditure,7,Member Secy Ob And Oc Wwb Bbsr,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),Payment In-Progress,7000.0,,Odisha,SAMBALPUR,Dharmendra Pradhan
TX_LO_000009,CW_LO_EXP_000009,WS/MP18150/2026-2027/272840,lok_sabha,expenditure,8,Member Secy Ob And Oc Wwb Bbsr,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),Payment In-Progress,7000.0,,Odisha,SAMBALPUR,Dharmendra Pradhan
TX_LO_000010,CW_LO_EXP_000010,WS/MP18142/2025-2026/185341,lok_sabha,expenditure,9,Member Secy Ob And Oc Wwb Bbsr,PURI(DISTRICT COLLECTOR PURI_IDA),Payment In-Progress,2000.0,,Odisha,JAGATSINGHPUR(SC),Bibhu Prasad Tarai
TX_LO_000011,CW_LO_EXP_000011,WS/MP300/2025-2026/226393,lok_sabha,expenditure,10,Member Secy Ob And Oc Wwb Bbsr,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Payment In-Progress,7000.0,,Odisha,BHUBANESWAR,Aparajita Sarangi
TX_LO_000012,CW_LO_EXP_000012,WS/MP18350/2025-2026/182265,lok_sabha,expenditure,11,Member Secy Ob And Oc Wwb Bbsr,BOUDH(District Collector Boudh_IDA),Payment In-Progress,3000.0,,Odisha,KANDHAMAL,Sukanta Kumar Panigrahi
TX_LO_000013,CW_LO_EXP_000013,WS/MP18263/2025-2026/173840,lok_sabha,expenditure,12,Kridl Bhusiri Account Works,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),Payment In-Progress,75000.0,,Karnataka,UDUPI CHIKMAGALUR,Kota Srinivas Poojary
TX_LO_000014,CW_LO_EXP_000014,WS/MP18239/2025-2026/214637,lok_sabha,expenditure,13,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000015,CW_LO_EXP_000015,WS/MP18239/2025-2026/214638,lok_sabha,expenditure,14,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000016,CW_LO_EXP_000016,WS/MP18239/2025-2026/214639,lok_sabha,expenditure,15,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000017,CW_LO_EXP_000017,WS/MP18239/2025-2026/214742,lok_sabha,expenditure,16,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000018,CW_LO_EXP_000018,WS/MP18239/2025-2026/214643,lok_sabha,expenditure,17,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000019,CW_LO_EXP_000019,WS/MP18239/2025-2026/214767,lok_sabha,expenditure,18,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000020,CW_LO_EXP_000020,WS/MP18239/2025-2026/214751,lok_sabha,expenditure,19,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000021,CW_LO_EXP_000021,WS/MP18239/2025-2026/214776,lok_sabha,expenditure,20,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000022,CW_LO_EXP_000022,WS/MP18239/2025-2026/214774,lok_sabha,expenditure,21,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000023,CW_LO_EXP_000023,WS/MP18239/2025-2026/214772,lok_sabha,expenditure,22,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000024,CW_LO_EXP_000024,WS/MP18239/2025-2026/214778,lok_sabha,expenditure,23,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000025,CW_LO_EXP_000025,WS/MP18239/2025-2026/214780,lok_sabha,expenditure,24,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000026,CW_LO_EXP_000026,WS/MP18239/2025-2026/214753,lok_sabha,expenditure,25,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000027,CW_LO_EXP_000027,WS/MP18239/2025-2026/214761,lok_sabha,expenditure,26,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000028,CW_LO_EXP_000028,WS/MP18239/2025-2026/214771,lok_sabha,expenditure,27,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000029,CW_LO_EXP_000029,WS/MP18239/2025-2026/214768,lok_sabha,expenditure,28,R G Supllier,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Payment In-Progress,36159.0,,Uttar Pradesh,SAMBHAL,Zia Ur Rehman
TX_LO_000030,CW_LO_EXP_000030,WS/MP18222/2025-2026/184472,lok_sabha,expenditure,29,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000031,CW_LO_EXP_000031,WS/MP18222/2025-2026/184544,lok_sabha,expenditure,30,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000032,CW_LO_EXP_000032,WS/MP18222/2025-2026/186923,lok_sabha,expenditure,31,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000033,CW_LO_EXP_000033,WS/MP18222/2025-2026/171412,lok_sabha,expenditure,32,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000034,CW_LO_EXP_000034,WS/MP18222/2025-2026/183819,lok_sabha,expenditure,33,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000035,CW_LO_EXP_000035,WS/MP18222/2025-2026/184028,lok_sabha,expenditure,34,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000036,CW_LO_EXP_000036,WS/MP18222/2025-2026/171499,lok_sabha,expenditure,35,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
TX_LO_000037,CW_LO_EXP_000037,WS/MP18222/2025-2026/171497,lok_sabha,expenditure,36,Ajay Kumar Singh,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19992.0,,Uttar Pradesh,JAUNPUR,Babu Singh Kushwaha
