feature_name,feature_group,data_type,aggregation_level,missing_percentage,unique_count,min,max,mean,std,leakage_status
canonical_work_id,entity_identifier,object,work_level,0.0,15848,,,,,AVAILABLE_AT_PREDICTION
official_work_id,entity_identifier,object,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
parliament,entity_identifier,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
state,general,object,work_level,0.0,30,,,,,AVAILABLE_AT_PREDICTION
constituency,general,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
mp_name,aggregation_historical,object,work_level,0.0,190,,,,,AVAILABLE_AT_PREDICTION
work_category,general,object,work_level,0.0,6,,,,,AVAILABLE_AT_PREDICTION
work_description,general,object,work_level,0.0,14263,,,,,AVAILABLE_AT_PREDICTION
recommended_date,temporal_lifecycle,object,work_level,10.28,956,,,,,AVAILABLE_AT_PREDICTION
recommended_amount,financial,float64,work_level,10.28,3409,3.89,73500000.0,1075534.36,2282785.49,AVAILABLE_AT_PREDICTION
sanction_date,temporal_lifecycle,object,work_level,32.01,792,,,,,AVAILABLE_AT_PREDICTION
sanctioned_amount,financial,float64,work_level,32.01,3220,13720.0,73500000.0,1090190.2,2427600.97,AVAILABLE_AT_PREDICTION
completion_date,temporal_lifecycle,object,work_level,100.0,0,,,,,POST_PREDICTION
completion_amount,financial,float64,work_level,89.11,1272,0.01,12338501715.69,8144884.44,296973451.68,POST_PREDICTION
expenditure_amount,financial,float64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
expenditure_transaction_count,financial,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
first_expenditure_date,financial,object,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
last_expenditure_date,financial,object,work_level,100.0,0,,,,,POST_PREDICTION
vendor_name,aggregation_historical,object,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
ida_agency,entity_identifier,object,work_level,32.01,552,,,,,AVAILABLE_AT_PREDICTION
work_status,general,object,work_level,32.0,7,,,,,AVAILABLE_AT_PREDICTION
er_match_score,general,float64,work_level,100.0,0,,,,,AVAILABLE_AT_PREDICTION
er_confidence,entity_identifier,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
er_method,general,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
has_recommendation,general,int64,work_level,0.0,2,0.0,1.0,0.9,0.3,AVAILABLE_AT_PREDICTION
has_sanction,general,int64,work_level,0.0,2,0.0,1.0,0.68,0.47,AVAILABLE_AT_PREDICTION
has_expenditure,financial,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
has_completion,general,int64,work_level,0.0,2,0.0,1.0,0.11,0.31,POST_PREDICTION
has_official_work_id,entity_identifier,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
has_canonical_work_id,entity_identifier,int64,work_level,0.0,1,1.0,1.0,1.0,0.0,AVAILABLE_AT_PREDICTION
entity_resolution_score,general,float64,work_level,0.0,1,100.0,100.0,100.0,0.0,AVAILABLE_AT_PREDICTION
entity_resolution_confidence,entity_identifier,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
entity_resolution_method,general,object,work_level,0.0,1,,,,,AVAILABLE_AT_PREDICTION
entity_resolution_uncertain,general,int64,work_level,0.0,1,1.0,1.0,1.0,0.0,AVAILABLE_AT_PREDICTION
entity_resolution_review_required,general,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
recommendation_sanction_amount_difference,financial,float64,work_level,32.01,124,-2840491.0,11548000.0,1345.1,171399.98,AVAILABLE_AT_PREDICTION
sanction_expenditure_amount_difference,financial,float64,work_level,32.01,3220,13720.0,73500000.0,1090190.2,2427600.97,AVAILABLE_AT_PREDICTION
sanction_completion_amount_difference,financial,float64,work_level,99.48,68,-2450000.0,11813650.0,505409.3,1699704.3,POST_PREDICTION
recommended_expenditure_difference,financial,float64,work_level,10.28,3409,3.89,73500000.0,1075534.36,2282785.49,AVAILABLE_AT_PREDICTION
recommendation_to_sanction_amount_change_pct,financial,float64,work_level,0.0,132,-95.0,1000.0,0.52,18.11,AVAILABLE_AT_PREDICTION
sanction_to_expenditure_amount_change_pct,financial,float64,work_level,0.0,2,-100.0,0.0,-67.99,46.65,AVAILABLE_AT_PREDICTION
sanction_to_completion_amount_change_pct,financial,float64,work_level,0.0,68,-99.66,4900.0,0.28,40.12,POST_PREDICTION
expenditure_to_sanction_ratio,financial,float64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
expenditure_utilization_percentage,financial,float64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
completion_to_sanction_ratio,financial,float64,work_level,0.0,69,0.0,50.0,0.01,0.41,POST_PREDICTION
completion_amount_percentage,financial,float64,work_level,0.0,69,0.0,5000.0,0.8,41.43,POST_PREDICTION
recommended_to_sanction_ratio,financial,float64,work_level,0.0,133,0.0,20.0,0.69,0.51,AVAILABLE_AT_PREDICTION
unspent_amount,financial,float64,work_level,32.01,3220,13720.0,73500000.0,1090190.2,2427600.97,POST_PREDICTION
remaining_sanctioned_amount,financial,float64,work_level,32.01,3220,13720.0,73500000.0,1090190.2,2427600.97,AVAILABLE_AT_PREDICTION
expenditure_gap,financial,float64,work_level,32.01,3220,13720.0,73500000.0,1090190.2,2427600.97,AVAILABLE_AT_PREDICTION
completion_financial_gap,general,float64,work_level,99.48,54,0.0,11813650.0,618300.39,1609020.03,POST_PREDICTION
expenditure_exceeds_sanction_flag,financial,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
negative_expenditure_flag,financial,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
negative_sanction_flag,general,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
zero_sanction_flag,general,int64,work_level,0.0,1,0.0,0.0,0.0,0.0,AVAILABLE_AT_PREDICTION
