parliament,state,mp_name,work_count,sanctioned_work_count,completed_work_count,total_sanctioned_amount,total_expenditure,avg_sanctioned_amount,completion_rate,utilization_rate
rajya_sabha,Andhra Pradesh,Bhashyam Rama Krishna (2026-32) (2026-2032),1,0,0,0.0,0.0,,0.0,0.0
rajya_sabha,Andhra Pradesh,Golla Baburao (2024-30) (2024-2030),38,30,6,25510000.0,0.0,850333.3333333334,0.158,0.0
rajya_sabha,Andhra Pradesh,Lingamaneni Ramesh (2026-32) (2026-2032),1,0,0,0.0,0.0,,0.0,0.0
rajya_sabha,Andhra Pradesh,Masthan Rao Yadav Beedha (2024-28) (2024-2028),84,65,14,79721274.0,0.0,1226481.1384615384,0.167,0.0
rajya_sabha,Andhra Pradesh,Meda Raghunadha Reddy (2024-30) (2024-2030),200,141,16,89003287.0,0.0,631228.9858156028,0.08,0.0
rajya_sabha,Andhra Pradesh,Paka Venkata Satyanarayana (2025-28) (2025-2028),14,9,1,24280000.0,0.0,2697777.777777778,0.071,0.0
rajya_sabha,Andhra Pradesh,Ryaga Krishnaiah (2024-28) (2024-2028),51,40,3,80260401.0,0.0,2006510.025,0.059,0.0
rajya_sabha,Andhra Pradesh,S Niranjan Reddy (2022-28) (2022-2028),22,13,5,36302410.0,0.0,2792493.076923077,0.227,0.0
rajya_sabha,Andhra Pradesh,V. Vijayendra Prasad (2022-28) (2022-2028),136,107,14,122339599.0,0.0,1143360.738317757,0.103,0.0
rajya_sabha,Andhra Pradesh,Yerram Venkata Subba Reddy (2024-30) (2024-2030),100,86,9,57339216.0,0.0,666735.0697674418,0.09,0.0
rajya_sabha,Assam,Birendra Prasad Baishya (2025-31) (2025-2031),43,20,6,37300000.0,0.0,1865000.0,0.14,0.0
rajya_sabha,Assam,Jogen Mohan (2026-32) (2026-2032),20,2,1,3500000.0,0.0,1750000.0,0.05,0.0
rajya_sabha,Assam,Kanad Purkayastha (2025-31) (2025-2031),43,25,8,35000000.0,0.0,1400000.0,0.186,0.0
rajya_sabha,Assam,Pabitra Margherita (2022-28) (2022-2028),208,98,11,105468005.54,0.0,1076204.1381632653,0.053,0.0
rajya_sabha,Assam,Rwngwra Narzary (2022-28) (2022-2028),139,93,16,114279921.0,0.0,1228816.3548387096,0.115,0.0
rajya_sabha,Bihar,Akhilesh Prasad Singh (2024-30) (2024-2030),47,34,6,43195434.0,0.0,1270453.9411764706,0.128,0.0
rajya_sabha,Bihar,Bhim Singh (2024-30) (2024-2030),43,36,6,32909100.0,0.0,914141.6666666666,0.14,0.0
rajya_sabha,Bihar,Dharmshila Gupta (2024-30) (2024-2030),83,70,5,88686789.0,0.0,1266954.1285714286,0.06,0.0
rajya_sabha,Bihar,Faiyaz Ahmad (2022-28) (2022-2028),79,71,5,76302922.0,0.0,1074689.042253521,0.063,0.0
rajya_sabha,Bihar,Khiru Mahto (2022-28) (2022-2028),50,46,4,54004438.0,0.0,1174009.5217391304,0.08,0.0
rajya_sabha,Bihar,Manan Kumar Mishra (2024-28) (2024-2028),57,41,4,40109872.0,0.0,978289.5609756098,0.07,0.0
rajya_sabha,Bihar,Manoj Kumar Jha (2024-30) (2024-2030),23,12,3,21032870.0,0.0,1752739.1666666667,0.13,0.0
rajya_sabha,Bihar,Ram Nath Thakur (2026-32) (2026-2032),15,3,0,4499400.0,0.0,1499800.0,0.0,0.0
rajya_sabha,Bihar,Sanjay Kumar Jha (2024-30) (2024-2030),10,5,4,5354795.0,0.0,1070959.0,0.4,0.0
rajya_sabha,Bihar,Sanjay Yadav (2024-30) (2024-2030),8,6,0,8994000.0,0.0,1499000.0,0.0,0.0
rajya_sabha,Bihar,Satish Chandra Dubey (2022-28) (2022-2028),110,85,14,72299325.0,0.0,850580.2941176471,0.127,0.0
rajya_sabha,Bihar,Shambhu Sharan Patel (2022-28) (2022-2028),253,222,10,148128421.0,0.0,667245.1396396396,0.04,0.0
rajya_sabha,Bihar,Upendra Kushwaha (2026-32) (2026-2032),6,0,0,0.0,0.0,,0.0,0.0
rajya_sabha,Chandigarh,Satnam Singh Sandhu (2024-30) (2024-2030),28,10,5,10799970.0,0.0,1079997.0,0.179,0.0
rajya_sabha,Chhattisgarh,Devendra Pratap Singh (2024-30) (2024-2030),23,14,6,15036331.0,0.0,1074023.642857143,0.261,0.0
