transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_RA_000001,CW_RA_EXP_000001,WS/MP887/2025-2026/207251,rajya_sabha,expenditure,0,Force Motors Limited,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Payment In-Progress,4282950.0,,Uttar Pradesh,,Dinesh Sharma (2023-26) (2023-2026)
TX_RA_000002,CW_RA_EXP_000002,WS/MP176/2025-2026/243305,rajya_sabha,expenditure,1,Sarpanch Gram Panchyat Manikchauri,DURG(DISTRICT COLLECTOR DURG_IDA),Payment In-Progress,259974.0,,Chhattisgarh,,Rajeev Shukla (2022-28) (2022-2028)
TX_RA_000003,CW_RA_EXP_000003,WS/MP192/2025-2026/138290,rajya_sabha,expenditure,2,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000004,CW_RA_EXP_000004,WS/MP192/2025-2026/138282,rajya_sabha,expenditure,3,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000005,CW_RA_EXP_000005,WS/MP192/2025-2026/138283,rajya_sabha,expenditure,4,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000006,CW_RA_EXP_000006,WS/MP192/2025-2026/138284,rajya_sabha,expenditure,5,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000007,CW_RA_EXP_000007,WS/MP192/2025-2026/138285,rajya_sabha,expenditure,6,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000008,CW_RA_EXP_000008,WS/MP192/2025-2026/138286,rajya_sabha,expenditure,7,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000009,CW_RA_EXP_000009,WS/MP192/2025-2026/138287,rajya_sabha,expenditure,8,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000010,CW_RA_EXP_000010,WS/MP192/2025-2026/138289,rajya_sabha,expenditure,9,Balaji Supplier,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Payment In-Progress,489765.0,,Uttar Pradesh,,Surendra Singh Nagar (2022-28) (2022-2028)
TX_RA_000011,CW_RA_EXP_000011,WS/MP225/2025-2026/250305,rajya_sabha,expenditure,10,Gram Panchayat Manakoni,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),Payment In-Progress,250000.0,,Chhattisgarh,,Ranjeet Ranjan (2022-28) (2022-2028)
TX_RA_000012,CW_RA_EXP_000012,WS/MP139/2026-2027/229075,rajya_sabha,expenditure,11,Defy Systems,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Payment In-Progress,211599.0,,Puducherry,,S. Selvaganabathy (2021-27) (2021-2027)
TX_RA_000013,CW_RA_EXP_000013,WS/MP139/2026-2027/229075,rajya_sabha,expenditure,12,Defy Systems,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Payment In-Progress,193860.0,,Puducherry,,S. Selvaganabathy (2021-27) (2021-2027)
TX_RA_000014,CW_RA_EXP_000014,WS/MP139/2026-2027/229075,rajya_sabha,expenditure,13,Defy Systems,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Payment In-Progress,1785250.0,,Puducherry,,S. Selvaganabathy (2021-27) (2021-2027)
TX_RA_000015,CW_RA_EXP_000015,WS/MP139/2026-2027/229075,rajya_sabha,expenditure,14,Defy Systems,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Payment In-Progress,144680.0,,Puducherry,,S. Selvaganabathy (2021-27) (2021-2027)
TX_RA_000016,CW_RA_EXP_000016,WS/MP139/2026-2027/229075,rajya_sabha,expenditure,15,Defy Systems,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Payment In-Progress,26738.0,,Puducherry,,S. Selvaganabathy (2021-27) (2021-2027)
TX_RA_000017,CW_RA_EXP_000017,WS/MP18435/2026-2027/255473,rajya_sabha,expenditure,16,Tamil Nadu Journalist Welfare Board Fund,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),Payment In-Progress,168.0,,Tamil Nadu,,Rajathi (2025-31) (2025-2031)
TX_RA_000018,CW_RA_EXP_000018,WS/MP224/2026-2027/284685,rajya_sabha,expenditure,17,Rameshwar Gupta,JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA),Payment In-Progress,999938.0,,Chhattisgarh,,Phulo Devi Netam (2026-32) (2026-2032)
TX_RA_000019,CW_RA_EXP_000019,WS/MP202/2026-2027/270302,rajya_sabha,expenditure,18,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000020,CW_RA_EXP_000020,WS/MP202/2026-2027/270306,rajya_sabha,expenditure,19,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000021,CW_RA_EXP_000021,WS/MP202/2026-2027/270305,rajya_sabha,expenditure,20,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000022,CW_RA_EXP_000022,WS/MP202/2026-2027/270303,rajya_sabha,expenditure,21,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000023,CW_RA_EXP_000023,WS/MP202/2026-2027/270304,rajya_sabha,expenditure,22,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000024,CW_RA_EXP_000024,WS/MP202/2025-2026/250664,rajya_sabha,expenditure,23,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,98000.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000025,CW_RA_EXP_000025,WS/MP202/2026-2027/270319,rajya_sabha,expenditure,24,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19600.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000026,CW_RA_EXP_000026,WS/MP202/2026-2027/270317,rajya_sabha,expenditure,25,Hansh Enterprises,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),Payment In-Progress,19600.0,,Uttar Pradesh,,Seema Dwivedi (2020-26) (2020-2026)
TX_RA_000027,CW_RA_EXP_000027,WS/MP180/2025-2026/229610,rajya_sabha,expenditure,26,Vinayak Enterprises,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Payment In-Progress,948129.0,,Uttar Pradesh,,K. Laxman (2022-28) (2022-2028)
TX_RA_000028,CW_RA_EXP_000028,WS/MP180/2025-2026/229611,rajya_sabha,expenditure,27,Vinayak Enterprises,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),Payment In-Progress,948129.0,,Uttar Pradesh,,K. Laxman (2022-28) (2022-2028)
TX_RA_000029,CW_RA_EXP_000029,WS/MP224/2026-2027/284717,rajya_sabha,expenditure,28,Gram Panchyat Balaudi Sgvy,MUNGELI(Collector Mungeli_IDA),Payment In-Progress,400000.0,,Chhattisgarh,,Phulo Devi Netam (2026-32) (2026-2032)
