canonical_work_id,iso_forest_raw_score,lof_raw_score,ml_anomaly_score,is_ml_anomaly,top_contributing_features
WORK_HASH_10000393188270364979,-0.0002,-0.4645,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10000716604173966574,-0.1652,-0.4847,0.0,False,sanction_delay_days
WORK_HASH_10000797480325628483,-0.1819,-0.4675,0.0,False,inactivity_gap_days
WORK_HASH_10000829664155439528,-0.1093,-0.4665,0.0,False,sanction_delay_days
WORK_HASH_10000912191893646174,-0.2161,-0.5191,0.0,False,multivariate_combination
WORK_HASH_10000956315372509171,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10000956315372509171,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10001265212636266948,-0.1801,-0.4217,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10001321085147997629,-0.182,-0.4117,0.0,False,sanction_delay_days
WORK_HASH_10001434618151702319,-0.1297,-0.3322,0.0,False,sanction_delay_days
WORK_HASH_10001490970208159713,0.0155,-0.5136,0.0,False,"inactivity_gap_days, sanction_delay_days"
WORK_HASH_10001491298959957150,-0.2235,-0.4529,0.0,False,multivariate_combination
WORK_HASH_10001496188709334109,-0.2196,14644970.1067,0.31,False,multivariate_combination
WORK_HASH_10001541902274676675,0.0237,-0.3251,0.0,False,concentration_pct
WORK_HASH_10001554200055213150,-0.1071,-0.3789,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1000169039681450819,-0.2049,-0.5,0.0,False,inactivity_gap_days
WORK_HASH_10001697312250471605,-0.1479,-0.4771,0.0,False,inactivity_gap_days
WORK_HASH_10001931264168450999,-0.1873,-0.3367,0.0,False,sanction_delay_days
WORK_HASH_10002057826252316638,-0.1579,-0.3235,0.0,False,inactivity_gap_days
WORK_HASH_10002213573066338468,-0.1907,-0.5066,0.0,False,inactivity_gap_days
WORK_HASH_10002240247302839423,-0.1858,-0.4736,0.0,False,inactivity_gap_days
WORK_HASH_10002252239071343926,-0.2224,-0.4258,0.0,False,multivariate_combination
WORK_HASH_10002324702440381159,-0.1937,-0.4704,0.0,False,inactivity_gap_days
WORK_HASH_10002566852566947895,-0.1557,-0.4977,0.0,False,inactivity_gap_days
WORK_HASH_10002604547977994136,-0.1593,-0.3095,0.0,False,inactivity_gap_days
WORK_HASH_10002616295532102913,-0.1846,-0.5055,0.0,False,sanction_delay_days
WORK_HASH_10002828314717352455,-0.1582,-0.4232,0.0,False,sanction_delay_days
WORK_HASH_1000294416352653049,-0.1913,-0.4793,0.0,False,sanction_delay_days
WORK_HASH_10003014669394961192,-0.1401,-0.5399,0.0,False,"sanction_delay_days, inactivity_gap_days"
WORK_HASH_1000301909486727047,-0.2232,-0.3091,0.0,False,multivariate_combination
WORK_HASH_10003125413620209358,-0.1852,-0.5192,0.0,False,sanction_delay_days
WORK_HASH_10003137492801879946,-0.2179,-0.3905,0.0,False,multivariate_combination
