dataset_name,column_name,unique_ids,duplicate_ids,missing_ids,uniqueness_ratio_pct
allocation,Sr. No.,543,0,0,100.0
allocation,Hon'ble Members of Parliaments,543,0,0,100.0
allocation,Constituency,542,1,0,99.82
allocation_standardized,sr_no,543,0,0,100.0
allocation_standardized,mp_name,543,0,0,100.0
allocation_standardized,constituency,542,1,0,99.82
calamity,Sr. No.,12,0,0,100.0
completed,Sr. No.,33975,0,0,100.0
completed,IDA,668,33307,0,1.97
expenditure,Sr. No.,83015,0,0,100.0
expenditure,Work ID,55855,27160,0,67.28
expenditure,IDA,738,82277,0,0.89
recommended,Sr. No.,103392,0,0,100.0
recommended,IDA,763,102629,0,0.74
sanctioned,Sr. No.,78286,0,0,100.0
sanctioned,IDA,754,77532,0,0.96
