dataset_a,dataset_b,common_key
allocated limit for honble mps (4),amount consented for calamity (3),Sr. No.
allocated limit for honble mps (4),amount consented for calamity (3),Hon'ble Members of Parliament
allocated limit for honble mps (4),expenditure on completed and on-going works as on date (2),Sr. No.
allocated limit for honble mps (4),expenditure on completed and on-going works as on date (2),Hon'ble Members of Parliament
allocated limit for honble mps (4),expenditure on completed and on-going works as on date (2),State
allocated limit for honble mps (4),expenditure on completed and on-going works as on date (2),Elected/Nominated
allocated limit for honble mps (4),works completed (8),Sr. No.
allocated limit for honble mps (4),works completed (8),Hon'ble Members of Parliament
allocated limit for honble mps (4),works completed (8),State
allocated limit for honble mps (4),works completed (8),Elected/Nominated
allocated limit for honble mps (4),works recommended (2),Sr. No.
allocated limit for honble mps (4),works recommended (2),Hon'ble Members of Parliament
allocated limit for honble mps (4),works recommended (2),State
allocated limit for honble mps (4),works recommended (2),Elected/Nominated
allocated limit for honble mps (4),works sanctioned (7),Sr. No.
allocated limit for honble mps (4),works sanctioned (7),Hon'ble Members of Parliament
allocated limit for honble mps (4),works sanctioned (7),State
allocated limit for honble mps (4),works sanctioned (7),Elected/Nominated
amount consented for calamity (3),expenditure on completed and on-going works as on date (2),Sr. No.
amount consented for calamity (3),expenditure on completed and on-going works as on date (2),Hon'ble Members of Parliament
amount consented for calamity (3),works completed (8),Sr. No.
amount consented for calamity (3),works completed (8),Hon'ble Members of Parliament
amount consented for calamity (3),works recommended (2),Sr. No.
amount consented for calamity (3),works recommended (2),Hon'ble Members of Parliament
amount consented for calamity (3),works sanctioned (7),Sr. No.
amount consented for calamity (3),works sanctioned (7),Hon'ble Members of Parliament
expenditure on completed and on-going works as on date (2),works completed (8),Elected/Nominated
expenditure on completed and on-going works as on date (2),works completed (8),Hon'ble Members of Parliament
expenditure on completed and on-going works as on date (2),works completed (8),Sr. No.
expenditure on completed and on-going works as on date (2),works completed (8),Work
expenditure on completed and on-going works as on date (2),works completed (8),State
expenditure on completed and on-going works as on date (2),works completed (8),IDA
expenditure on completed and on-going works as on date (2),works recommended (2),Elected/Nominated
expenditure on completed and on-going works as on date (2),works recommended (2),Hon'ble Members of Parliament
expenditure on completed and on-going works as on date (2),works recommended (2),Sr. No.
expenditure on completed and on-going works as on date (2),works recommended (2),State
expenditure on completed and on-going works as on date (2),works recommended (2),IDA
expenditure on completed and on-going works as on date (2),works sanctioned (7),Elected/Nominated
expenditure on completed and on-going works as on date (2),works sanctioned (7),Hon'ble Members of Parliament
expenditure on completed and on-going works as on date (2),works sanctioned (7),Sr. No.
expenditure on completed and on-going works as on date (2),works sanctioned (7),Work
expenditure on completed and on-going works as on date (2),works sanctioned (7),State
expenditure on completed and on-going works as on date (2),works sanctioned (7),IDA
works completed (8),works recommended (2),Elected/Nominated
works completed (8),works recommended (2),Hon'ble Members of Parliament
works completed (8),works recommended (2),Sr. No.
works completed (8),works recommended (2),State
works completed (8),works recommended (2),IDA
works completed (8),works sanctioned (7),Elected/Nominated
works completed (8),works sanctioned (7),Hon'ble Members of Parliament
works completed (8),works sanctioned (7),Sr. No.
works completed (8),works sanctioned (7),Work
works completed (8),works sanctioned (7),State
works completed (8),works sanctioned (7),IDA
works recommended (2),works sanctioned (7),Sanction Date
works recommended (2),works sanctioned (7),Elected/Nominated
works recommended (2),works sanctioned (7),Recommended date
works recommended (2),works sanctioned (7),Hon'ble Members of Parliament
works recommended (2),works sanctioned (7),Work category
works recommended (2),works sanctioned (7),Work description
works recommended (2),works sanctioned (7),Sr. No.
works recommended (2),works sanctioned (7),State
works recommended (2),works sanctioned (7),IDA
