dataset_name,column_name,detected_type
allocated limit for honble mps (4),Sr. No.,identifier
allocated limit for honble mps (4),State,categorical
allocated limit for honble mps (4),Hon'ble Members of Parliament,text
allocated limit for honble mps (4),Elected/Nominated,categorical
allocated limit for honble mps (4),Allocated AMOUNT ( ₹ ),currency
amount consented for calamity (3),Sr. No.,identifier
amount consented for calamity (3),Calamity Type,categorical
amount consented for calamity (3),Calamity Name,categorical
amount consented for calamity (3),Hon'ble Members of Parliament,text
amount consented for calamity (3),Date of Consent,date
amount consented for calamity (3),Consent Amount ( ₹ ),currency
expenditure on completed and on-going works as on date (2),Sr. No.,identifier
expenditure on completed and on-going works as on date (2),State,categorical
expenditure on completed and on-going works as on date (2),Work,text
expenditure on completed and on-going works as on date (2),Work ID,identifier
expenditure on completed and on-going works as on date (2),IDA,identifier
expenditure on completed and on-going works as on date (2),Hon'ble Members of Parliament,text
expenditure on completed and on-going works as on date (2),Elected/Nominated,categorical
expenditure on completed and on-going works as on date (2),Expenditure Date,date
expenditure on completed and on-going works as on date (2),Vendor Name,categorical
expenditure on completed and on-going works as on date (2),Payment Status,categorical
expenditure on completed and on-going works as on date (2),Fund Disbursed Amount ( ₹ ),currency
works completed (8),Sr. No.,identifier
works completed (8),Work Category,categorical
works completed (8),Work,text
works completed (8),State,categorical
works completed (8),IDA,identifier
works completed (8),Work Description,text
works completed (8),Hon'ble Members of Parliament,text
works completed (8),Elected/Nominated,categorical
works completed (8),Image,categorical
works completed (8),Completion Date,date
works completed (8),Amount Disbursed ( ₹ ),currency
works recommended (2),Sr. No.,identifier
works recommended (2),Work category,categorical
works recommended (2),WORK,text
works recommended (2),State,categorical
works recommended (2),IDA,identifier
works recommended (2),Hon'ble Members of Parliament,text
works recommended (2),Elected/Nominated,categorical
works recommended (2),Work description,text
works recommended (2),Recommended date,date
works recommended (2),RECOMMENDED AMOUNT   ( ₹ ),currency
works recommended (2),Sanction Date,date
works sanctioned (7),Sr. No.,identifier
works sanctioned (7),Work category,categorical
works sanctioned (7),Work,text
works sanctioned (7),State,categorical
works sanctioned (7),IDA,identifier
works sanctioned (7),Hon'ble Members of Parliament,text
works sanctioned (7),Elected/Nominated,categorical
works sanctioned (7),Work description,text
works sanctioned (7),Recommended date,date
works sanctioned (7),Sanction Date,date
works sanctioned (7),Sanction Amount ( ₹ ),currency
works sanctioned (7),Work Status,categorical
