Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id_raw,source_house,source_file,quarantine_reason
2207,Normal/Others,"WS/MP353/2024-2025/143935-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA),"Concreting of Moolamattom- Cherady-Ashramam road in  Arakkulam Grama Panchayath, Idukki Block .(ST category )",Adv Dean Kuriakose,IDUKKI,Images,20-Jan-2025,,"WS/MP353/2024-2025/143935-Construction of roads, link roads, pathways or any other road with or without drainage system",lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
2313,Normal/Others,WS/MP661/2024-2025/137791-Construction of community centers and community halls,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Construction of community hall Near Maruti temple At Tokavade Tq. Khed Dist. Pune,Amol Ramsing Kolhe,SHIRUR,Images,23-Jan-2025,,WS/MP661/2024-2025/137791-Construction of community centers and community halls,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
2358,Normal/Others,WS/MP661/2024-2025/137790-Construction of community centers and community halls,Maharashtra,PUNE(DISTRICT COLLECTOR PUNE_IDA),Construction of community hall near kalbhairv mandir At. Mandoshi Tq. Khed Dist. Pune.,Amol Ramsing Kolhe,SHIRUR,Images,24-Jan-2025,,WS/MP661/2024-2025/137790-Construction of community centers and community halls,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
3505,Normal/Others,WS/MP18227/2024-2025/148775-Street lights,Uttar Pradesh,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),Gram rajjabpur me highmast light,DAROGA PRASAD SAROJ,LALGANJ (SC),Images,25-Mar-2026,,WS/MP18227/2024-2025/148775-Street lights,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
14660,Normal/Others,WS/MP18009/2024-2025/161404-Construction of community centers and community halls,Andhra Pradesh,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),Construction of community hall in Sno.182 B.Yaleru village Atmakuru (M),B K PARTHASARATHI,HINDUPUR,Images,02-Sep-2025,,WS/MP18009/2024-2025/161404-Construction of community centers and community halls,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
15177,Normal/Others,"WS/MP574/2025-2026/181132-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,PATAN(DISTRICT COLLECTOR PATAN_IDA),runi game thakor samajna makan na aagalana bhage flood protection wall work,Bharatsinhji Shankarji Dabhi,PATAN,Images,12-Jan-2026,,"WS/MP574/2025-2026/181132-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
15997,Normal/Others,WS/MP18260/2025-2026/185398-Providing drains and gutters for public drainage,Jammu And Kashmir,SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA),Construction of drain from the house of farooq ahmad lone to late noor mohammad kumar opposite white house hawal srinagar,AGA SYED RUHULLAH MEHDI,SRINAGAR,Images,24-Sep-2025,,WS/MP18260/2025-2026/185398-Providing drains and gutters for public drainage,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
17241,Normal/Others,WS/MP18225/2025-2026/174424-Installing hand pumps,Uttar Pradesh,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),"Mo Arif son of Shri Sajjad Husain Add Lala Bajar Panigaun, Kala Kankar, Kunda ke ghar ke samne handpump ka karya",PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,12-Feb-2026,,WS/MP18225/2025-2026/174424-Installing hand pumps,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
17867,Normal/Others,WS/MP18236/2025-2026/207366-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),Village- Preetpur Solar street light near Jharma son Arjun house near Panchayat Bhawan in Block Chakiya,CHHOTELAL,ROBERTSGANJ(SC),Images,09-Jan-2026,,WS/MP18236/2025-2026/207366-Lighting of public spaces,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
18466,Normal/Others,WS/MP370/2024-2025/145385-Construction of community centers and community halls,Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Construction of CC Building at Bakulidihi,Shri Jual Oram,SUNDARGARH (ST),Images,15-Oct-2025,,WS/MP370/2024-2025/145385-Construction of community centers and community halls,lok_sabha,completed.csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
