Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Elected/Nominated,Image,Completion Date,Amount Disbursed ( ₹ ),work_id_raw,source_house,source_file,quarantine_reason
2214,Normal/Others,WS/MP190/2023-2024/18880-Installing community drinking water plants,Uttar Pradesh,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Construction Work of Water Tank With Submer Sible Pump,Shri Mithlesh Kumar (2022-28) (NaN-NaN),Elected MP,,23-Jun-25,,WS/MP190/2023-2024/18880-Installing community drinking water plants,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
2425,Normal/Others,WS/MP099/2024-2025/133002-Purchase Books for Library,Kerala,KANNUR(DISTRICT COLLECTOR KANNUR_IDA),"Purchase and distribution of books to the Kannur Central Jail Library at Central Prison & Corretional  Home, Kannur Municipal Corporation.",Dr. John Brittas (2021-27) (NaN-NaN),Elected MP,Images,13-Aug-24,,WS/MP099/2024-2025/133002-Purchase Books for Library,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
2637,Normal/Others,WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions,Puducherry,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),Purchase of 38+1 seater bus - Make : SML-ISUZU:S7 5100 SDX BUS 38+1 - HIGHBACK SEATER BS6.,Shri S. Selvaganabathy (2021-27) (NaN-NaN),Elected MP,Images,22-Oct-24,,WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
3116,Normal/Others,WS/MP849/2024-2025/137717-Lighting of public spaces,Uttar Pradesh,AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA),12 solar lights at different public places amount 50000 par light,Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN),Elected MP,Images,29-Jan-26,,WS/MP849/2024-2025/137717-Lighting of public spaces,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
3614,Normal/Others,WS/MP078/2023-2024/48492-Providing drains and gutters for public drainage,Himachal Pradesh,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),"C/o drainage system Ward No. 32 Sector 04 Opposite PHC, New Shimla to Rajahna Road New Shimla (Executing Agency MC, Shimla)",Dr. Sikander Kumar (2022-28) (NaN-NaN),Elected MP,Images,29-Jan-25,,WS/MP078/2023-2024/48492-Providing drains and gutters for public drainage,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
6282,Normal/Others,WS/MP878/2025-2026/201545-Lighting of public spaces,Delhi,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Recommendation for the installation of 15 Solar Lights,Shri Sanjay Singh (2024-30) (NaN-NaN),Elected MP,,17-Jul-25,,WS/MP878/2025-2026/201545-Lighting of public spaces,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
7798,Normal/Others,"WS/MP113/2025-2026/184486-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),As per attached letter. Half amount is already paid that is why recommendation is for 5L instead of 10L mentioned in the attached letter.,Shri Imran Pratapgarhi (2022-28) (NaN-NaN),Elected MP,,15-Nov-25,,"WS/MP113/2025-2026/184486-Construction of roads, link roads, pathways or any other road with or without drainage system",rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
8027,Normal/Others,"WS/MP084/2025-2026/203336-Construction of roads, link roads, pathways or any other road with or without drainage system",Karnataka,BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN),"Road Development work from    S.Manjunath House to Main Road at Saraswathipuram Badavane, Sompura Hobli, Nelamangala Taluk, Bengaluru Rural District, Karnataka",Shri Jaggesh (2022-28) (NaN-NaN),Elected MP,,18-Dec-25,,"WS/MP084/2025-2026/203336-Construction of roads, link roads, pathways or any other road with or without drainage system",rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
8135,Normal/Others,WS/MP18364/2025-2026/177908-Construction of community centers and community halls,Karnataka,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Construction of Community Hall.,Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN),Elected MP,Images,16-Dec-25,,WS/MP18364/2025-2026/177908-Construction of community centers and community halls,rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
8408,Normal/Others,"WS/MP145/2025-2026/248583-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),CC Road Drainage and Pipe Development work in Talotiya Basti of Gram Datooli,Shri Ghanshyam Tiwari (2022-28) (NaN-NaN),Elected MP,,22-Jan-26,,"WS/MP145/2025-2026/248583-Construction of roads, link roads, pathways or any other road with or without drainage system",rajya_sabha,Works Completed (8).csv,Missing required value in 'Amount Disbursed ( ₹ )'; 
