source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_₹,raw_allocated_amount_₹,allocated_limit_amount_inr,canonical_work_category,raw_state,canonical_state,canonical_state_id,raw_constituency,canonical_constituency,canonical_constituency_id,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,2,1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,190289442.0,190289442.0,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,HINGOLI,HINGOLI,CONST_HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO,AASHTIKAR PATIL NAGESH BAPURAO,MP_LOK_SABHA_AASHTIKAR_PATIL_NAGESH_BAPURAO,WORK_HASH_7344960496512851140,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,3,2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.1,154773472.1,154773472.1,OTHER_WORKS,Jammu And Kashmir,JAMMU AND KASHMIR,STATE_JAMMU_AND_KASHMIR,BARAMULLAH,BARAMULLAH,CONST_BARAMULLAH,ABDUL RASHID SHEIKH,ABDUL RASHID SHEIKH,MP_LOK_SABHA_ABDUL_RASHID_SHEIKH,WORK_HASH_3299924033506455982,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,4,3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,AURANGABAD_BR,AURANGABAD_BR,CONST_AURANGABAD_BR,ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,MP_LOK_SABHA_ABHAY_KUMAR_SINHA,WORK_HASH_17026562344019637014,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,5,4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,147000000.0,147000000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,TAMLUK,TAMLUK,CONST_TAMLUK,ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,MP_LOK_SABHA_ABHIJIT_GANGOPADHYAY,WORK_HASH_16034328008393545554,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,6,5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,147000000.0,147000000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,MURSHIDABAD,MURSHIDABAD,CONST_MURSHIDABAD,Abu Taher Khan,ABU TAHER KHAN,MP_LOK_SABHA_ABU_TAHER_KHAN,WORK_HASH_12589558403041004557,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,7,6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,147000000.0,147000000.0,OTHER_WORKS,West Bengal,WEST BENGAL,STATE_WEST_BENGAL,KANTHI,KANTHI,CONST_KANTHI,ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,MP_LOK_SABHA_ADHIKARI_SOUMENDU,WORK_HASH_15549307647176522889,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,8,7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,BADAUN,BADAUN,CONST_BADAUN,ADITYA YADAV,ADITYA YADAV,MP_LOK_SABHA_ADITYA_YADAV,WORK_HASH_8140320738428269465,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,9,8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Kerala,KERALA,STATE_KERALA,ATTINGAL,ATTINGAL,CONST_ATTINGAL,Adv Adoor Prakash,ADOOR PRAKASH,MP_LOK_SABHA_ADOOR_PRAKASH,WORK_HASH_3583261540305985493,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,10,9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Kerala,KERALA,STATE_KERALA,IDUKKI,IDUKKI,CONST_IDUKKI,Adv Dean Kuriakose,DEAN KURIAKOSE,MP_LOK_SABHA_DEAN_KURIAKOSE,WORK_HASH_9287894909973316076,UNKNOWN_FY
LOK_SABHA,Allocated Limit for Honble MPs (2).csv,11,10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.1,147816309.1,147816309.1,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,NANDURBAR(ST),NANDURBAR(ST),CONST_NANDURBAR_ST_,ADV GOWAAL KAGADA PADAVI,GOWAAL KAGADA PADAVI,MP_LOK_SABHA_GOWAAL_KAGADA_PADAVI,WORK_HASH_11881459409799589227,UNKNOWN_FY
