source_house,source_file,source_row_number,sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_₹,raw_date_of_consent,consent_date,raw_consent_amount_₹,calamity_consent_amount_inr,canonical_work_category,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
LOK_SABHA,Amount consented for Calamity (2).csv,2,1,National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,,2025-12-07,2025-12-07,nan,,OTHER_WORKS,Shri Gurjeet Singh Aujla,GURJEET SINGH AUJLA,MP_LOK_SABHA_GURJEET_SINGH_AUJLA,WORK_HASH_16015114177701682723,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,3,2,National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,,2025-11-03,2025-11-03,nan,,OTHER_WORKS,GURMEET SINGH MEET HAYER,GURMEET SINGH MEET HAYER,MP_LOK_SABHA_GURMEET_SINGH_MEET_HAYER,WORK_HASH_5874074356507517369,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,4,3,National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,,2025-10-10,2025-10-10,nan,,OTHER_WORKS,Shri Jual Oram,JUAL ORAM,MP_LOK_SABHA_JUAL_ORAM,WORK_HASH_11504017864254631400,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,5,4,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,,2025-03-26,2025-03-26,nan,,OTHER_WORKS,Krishna Prasad Tenneti,KRISHNA PRASAD TENNETI,MP_LOK_SABHA_KRISHNA_PRASAD_TENNETI,WORK_HASH_11051275082189254656,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,6,5,National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,,2025-03-02,2025-03-02,nan,,OTHER_WORKS,SHAFI PARAMBIL,SHAFI PARAMBIL,MP_LOK_SABHA_SHAFI_PARAMBIL,WORK_HASH_18140798916096502504,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,7,6,State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,,2025-03-01,2025-03-01,nan,,OTHER_WORKS,SHAFI PARAMBIL,SHAFI PARAMBIL,MP_LOK_SABHA_SHAFI_PARAMBIL,WORK_HASH_18140798916096502504,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,8,7,National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,,2025-02-17,2025-02-17,nan,,OTHER_WORKS,DR C N MANJUNATH,C N MANJUNATH,MP_LOK_SABHA_C_N_MANJUNATH,WORK_HASH_4374275744655687391,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,9,8,National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,,2025-02-05,2025-02-05,nan,,OTHER_WORKS,Andimuthu Raja,ANDIMUTHU RAJA,MP_LOK_SABHA_ANDIMUTHU_RAJA,WORK_HASH_2178972050088521606,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,10,9,State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,,2024-12-07,2024-12-07,nan,,OTHER_WORKS,Shri NK Premachandran,NK PREMACHANDRAN,MP_LOK_SABHA_NK_PREMACHANDRAN,WORK_HASH_2845426972236042481,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,11,10,State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,,2024-12-07,2024-12-07,nan,,OTHER_WORKS,Shri NK Premachandran,NK PREMACHANDRAN,MP_LOK_SABHA_NK_PREMACHANDRAN,WORK_HASH_2845426972236042481,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,12,11,State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,,2024-12-04,2024-12-04,nan,,OTHER_WORKS,K RADHAKRISHNAN,K RADHAKRISHNAN,MP_LOK_SABHA_K_RADHAKRISHNAN,WORK_HASH_18444744208387484297,UNKNOWN_FY
LOK_SABHA,Amount consented for Calamity (2).csv,13,12,State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,,2024-09-03,2024-09-03,nan,,OTHER_WORKS,BIPLAB KUMAR DEB,BIPLAB KUMAR DEB,MP_LOK_SABHA_BIPLAB_KUMAR_DEB,WORK_HASH_13313524075176332324,UNKNOWN_FY
