source_house,source_file,source_row_number,sr_no,state,honble_members_of_parliament,elected/nominated,allocated_amount_₹,raw_allocated_amount_₹,allocated_limit_amount_inr,canonical_work_category,raw_state,canonical_state,canonical_state_id,raw_constituency,canonical_constituency,canonical_constituency_id,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,2,1,Telangana,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),Elected MP,73421449.0,73421449.0,73421449.0,OTHER_WORKS,Telangana,TELANGANA,STATE_TELANGANA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Abhishek Manu Singhvi (2026-32) (2026-2032),ABHISHEK MANU SINGHVI (2026-32) (2026-2032),MP_RAJYA_SABHA_ABHISHEK_MANU_SINGHVI__2026_32___2026_2032_,WORK_HASH_17549279266093509694,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,3,2,Maharashtra,Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030),AJEET MADHAVRAO GOPCHADE (2024-30) (2024-2030),MP_RAJYA_SABHA_AJEET_MADHAVRAO_GOPCHADE__2024_30___2024_2030_,WORK_HASH_18135377967176977647,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,4,3,Rajasthan,Dr. Alka Singh (2026-32) (2026-2032),Elected MP,49000000.0,49000000.0,49000000.0,OTHER_WORKS,Rajasthan,RAJASTHAN,STATE_RAJASTHAN,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Alka Singh (2026-32) (2026-2032),ALKA SINGH (2026-32) (2026-2032),MP_RAJYA_SABHA_ALKA_SINGH__2026_32___2026_2032_,WORK_HASH_5962775260142900146,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,5,4,Tamil Nadu,Dr. Anbumani Ramadoss (2026-32) (2026-2032),Elected MP,49356476.5,49356476.5,49356476.5,OTHER_WORKS,Tamil Nadu,TAMIL NADU,STATE_TAMIL_NADU,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Anbumani Ramadoss (2026-32) (2026-2032),ANBUMANI RAMADOSS (2026-32) (2026-2032),MP_RAJYA_SABHA_ANBUMANI_RAMADOSS__2026_32___2026_2032_,WORK_HASH_12196618277131657085,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,6,5,Maharashtra,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,196063957.1,196063957.1,196063957.1,OTHER_WORKS,Maharashtra,MAHARASHTRA,STATE_MAHARASHTRA,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),ANIL SUKHDEORAO BONDE (2022-28) (2022-2028),MP_RAJYA_SABHA_ANIL_SUKHDEORAO_BONDE__2022_28___2022_2028_,WORK_HASH_8454547010020919405,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,7,6,Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,222487632.1,222487632.1,222487632.1,OTHER_WORKS,Punjab,PUNJAB,STATE_PUNJAB,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),ASHOK KUMAR MITTAL (2022-28) (2022-2028),MP_RAJYA_SABHA_ASHOK_KUMAR_MITTAL__2022_28___2022_2028_,WORK_HASH_9059752926056808133,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,8,7,Bihar,Dr. Bhim Singh (2024-30) (2024-2030),Elected MP,186200000.0,186200000.0,186200000.0,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Bhim Singh (2024-30) (2024-2030),BHIM SINGH (2024-30) (2024-2030),MP_RAJYA_SABHA_BHIM_SINGH__2024_30___2024_2030_,WORK_HASH_5327314768604485323,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,9,8,Karnataka,Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,196063957.1,196063957.1,196063957.1,OTHER_WORKS,Karnataka,KARNATAKA,STATE_KARNATAKA,Nominated MP,NOMINATED MP,NOM_NOMINATED_MP,Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028),DHARMASTHALA VEERENDRA HEGGADE (2022-28) (2022-2028),MP_RAJYA_SABHA_DHARMASTHALA_VEERENDRA_HEGGADE__2022_28___2022_2028_,WORK_HASH_494729041465644744,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,10,9,Bihar,Dr. Dharmshila Gupta (2024-30) (2024-2030),Elected MP,186200000.0,186200000.0,186200000.0,OTHER_WORKS,Bihar,BIHAR,STATE_BIHAR,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Dharmshila Gupta (2024-30) (2024-2030),DHARMSHILA GUPTA (2024-30) (2024-2030),MP_RAJYA_SABHA_DHARMSHILA_GUPTA__2024_30___2024_2030_,WORK_HASH_3128117613860366400,UNKNOWN_FY
RAJYA_SABHA,Allocated Limit for Honble MPs (4).csv,11,10,Uttar Pradesh,Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,147000000.0,147000000.0,147000000.0,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,Dr. Dinesh Sharma (2023-26) (2023-2026),DINESH SHARMA (2023-26) (2023-2026),MP_RAJYA_SABHA_DINESH_SHARMA__2023_26___2023_2026_,WORK_HASH_8884269675284539351,UNKNOWN_FY
