source_house,source_file,source_row_number,sr_no,calamity_type,calamity_name,honble_members_of_parliament,date_of_consent,consent_amount_₹,raw_date_of_consent,consent_date,raw_consent_amount_₹,calamity_consent_amount_inr,canonical_work_category,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
RAJYA_SABHA,Amount consented for Calamity (3).csv,2,1,National Calamity,Flood 2025 in Punjab,Shri Hardeep Singh Puri (2020-26) (2020-2026),2025-11-17,,2025-11-17,2025-11-17,nan,,OTHER_WORKS,Shri Hardeep Singh Puri (2020-26) (2020-2026),HARDEEP SINGH PURI (2020-26) (2020-2026),MP_RAJYA_SABHA_HARDEEP_SINGH_PURI__2020_26___2020_2026_,WORK_HASH_13442679330852031377,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,3,2,National Calamity,Flood 2025 in Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),2025-11-04,,2025-11-04,2025-11-04,nan,,OTHER_WORKS,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),ASHOK KUMAR MITTAL (2022-28) (2022-2028),MP_RAJYA_SABHA_ASHOK_KUMAR_MITTAL__2022_28___2022_2028_,WORK_HASH_1837794383340966305,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,4,3,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-11-03,,2025-11-03,2025-11-03,nan,,OTHER_WORKS,Shri Narain Dass Gupta (2024-30) (2024-2030),NARAIN DASS GUPTA (2024-30) (2024-2030),MP_RAJYA_SABHA_NARAIN_DASS_GUPTA__2024_30___2024_2030_,WORK_HASH_10103745317455000201,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,5,4,National Calamity,Flood 2025 in Punjab,Shri Sanjay Singh (2024-30) (2024-2030),2025-11-03,,2025-11-03,2025-11-03,nan,,OTHER_WORKS,Shri Sanjay Singh (2024-30) (2024-2030),SANJAY SINGH (2024-30) (2024-2030),MP_RAJYA_SABHA_SANJAY_SINGH__2024_30___2024_2030_,WORK_HASH_14709103112946127843,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,6,5,National Calamity,Flood 2025 in Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),2025-11-03,,2025-11-03,2025-11-03,nan,,OTHER_WORKS,Shri Harbhajan Singh (2022-28) (2022-2028),HARBHAJAN SINGH (2022-28) (2022-2028),MP_RAJYA_SABHA_HARBHAJAN_SINGH__2022_28___2022_2028_,WORK_HASH_5350120916500975957,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,7,6,National Calamity,Flood 2025 in Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),2025-10-29,,2025-10-29,2025-10-29,nan,,OTHER_WORKS,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),SANDEEP KUMAR PATHAK (2022-28) (2022-2028),MP_RAJYA_SABHA_SANDEEP_KUMAR_PATHAK__2022_28___2022_2028_,WORK_HASH_13988881578612334364,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,8,7,National Calamity,Flood 2025 in Punjab,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),2025-10-07,,2025-10-07,2025-10-07,nan,,OTHER_WORKS,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),PARMAR JASHVANTSINH SALAMSINH (2024-30) (2024-2030),MP_RAJYA_SABHA_PARMAR_JASHVANTSINH_SALAMSINH__2024_30___2024_2030_,WORK_HASH_8766302961714844508,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,9,8,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-10-06,,2025-10-06,2025-10-06,nan,,OTHER_WORKS,Shri Narain Dass Gupta (2024-30) (2024-2030),NARAIN DASS GUPTA (2024-30) (2024-2030),MP_RAJYA_SABHA_NARAIN_DASS_GUPTA__2024_30___2024_2030_,WORK_HASH_10103745317455000201,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,10,9,National Calamity,Flood 2025 in Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),2025-09-19,,2025-09-19,2025-09-19,nan,,OTHER_WORKS,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),VIKRAMJIT SINGH SAHNEY (2022-28) (2022-2028),MP_RAJYA_SABHA_VIKRAMJIT_SINGH_SAHNEY__2022_28___2022_2028_,WORK_HASH_5848890380458244053,UNKNOWN_FY
RAJYA_SABHA,Amount consented for Calamity (3).csv,11,10,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-04-21,,2025-04-21,2025-04-21,nan,,OTHER_WORKS,Shri P. P. Suneer (2024-30) (2024-2030),P. P. SUNEER (2024-30) (2024-2030),MP_RAJYA_SABHA_P__P__SUNEER__2024_30___2024_2030_,WORK_HASH_2458647930503146238,UNKNOWN_FY
