source_house,source_file,source_row_number,sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,elected/nominated,image,completion_date,amount_disbursed_₹,raw_completion_date,raw_amount_disbursed_₹,completed_disbursed_amount_inr,raw_work_category,canonical_work_category,raw_state,canonical_state,canonical_state_id,raw_constituency,canonical_constituency,canonical_constituency_id,raw_ida,canonical_ida,canonical_authority_id,raw_mp_name,canonical_mp_name,canonical_mp_id,canonical_work_id,financial_year
RAJYA_SABHA,Works Completed (8).csv,2,1,Normal/Others,WS/MP187/2023-2024/1362-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Light ( 6 lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,Images,2023-08-02,283000.0,2023-08-02,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_14799220172672874796,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,3,2,Normal/Others,WS/MP187/2023-2024/1363-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-22,283000.0,2024-02-22,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_7151894942981458084,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,4,3,Normal/Others,WS/MP187/2023-2024/1364-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights ( 6 Lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-22,283000.0,2024-02-22,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_6900663399515678105,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,5,4,Normal/Others,WS/MP187/2023-2024/1365-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-22,283000.0,2024-02-22,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_17667914522048136313,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,6,5,Normal/Others,WS/MP187/2023-2024/1367-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light,Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-26,283000.0,2024-02-26,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_6822451464544973597,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,7,6,Normal/Others,WS/MP187/2023-2024/1368-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 Lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-23,283000.0,2024-02-23,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_4433940664257284264,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,8,7,Normal/Others,WS/MP187/2023-2024/1369-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights,Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,,2024-02-23,283000.0,2024-02-23,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_6564419012773572684,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,9,8,Normal/Others,WS/MP187/2023-2024/1370-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,Images,2024-02-23,283000.0,2024-02-23,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_14739816076833531026,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,10,9,Normal/Others,WS/MP187/2023-2024/1371-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,Images,2024-02-23,283000.0,2024-02-23,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_12408132241893672211,UNKNOWN_FY
RAJYA_SABHA,Works Completed (8).csv,11,10,Normal/Others,WS/MP187/2023-2024/1372-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights),Shri Javed Ali Khan (2022-28) (NaN-NaN),Elected MP,Images,2024-02-23,283000.0,2024-02-23,283000.0,283000.0,Normal/Others,OTHER_WORKS,Uttar Pradesh,UTTAR PRADESH,STATE_UTTAR_PRADESH,Elected MP,ELECTED MP,NOM_ELECTED_MP,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),IDA_PILIBHIT_DISTRICT_MAGISTRAE_PILIBHIT_IDA_,Shri Javed Ali Khan (2022-28) (NaN-NaN),JAVED ALI KHAN (2022-28) (NAN-NAN),MP_RAJYA_SABHA_JAVED_ALI_KHAN__2022_28___NAN_NAN_,WORK_HASH_1303726298071922904,UNKNOWN_FY
