sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,constituency,image,completion_date,expenditure_amount
1,Normal/Others,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Pradeep Kumar Singh,ARARIA,,2024-09-05,448127.0
2,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
3,Normal/Others,"Concreting of road from Janathavayanasala - Panthaplavil, ward no.6 Thrikkaruva GP, in Kollam Constituency",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Concreting of road from Janathavayanasala - Panthaplavil, ward no.6 Thrikkaruva GP, in Kollam Constituency",Nk Premachandran,KOLLAM,,2024-08-12,293492.0
4,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
5,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
6,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Rauwala,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
7,Normal/Others,"Construction of Building for Brothers Library & Reading room, Puthenchantha at Panmana Grama panchayath in Chavara Constituency.",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of Building for Brothers Library & Reading room, Puthenchantha at Panmana Grama panchayath in Chavara Constituency.",Nk Premachandran,KOLLAM,Images,2024-10-28,1182588.0
8,Normal/Others,Construction of Head Quarter Building for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd reach),Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Head Quarter Building for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd reach),Nk Premachandran,KOLLAM,,2024-08-17,338444.0
9,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
10,Normal/Others,Installation of RO System and water cooler in Govt Primary school Pakka No.4,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Pakka No.4,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
11,Normal/Others,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Bajakhana Main,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
12,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
13,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dhudi,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhudi,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
14,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
15,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Gondara,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gondara,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,300000.0
16,Normal/Others,Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in Punalur Constituency (ST),Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in Punalur Constituency (ST),Nk Premachandran,KOLLAM,Images,2024-12-06,4740188.0
17,Normal/Others,CC Road- From the Godhan Raju ahead of the house.,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the Godhan Raju ahead of the house.,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2024-10-08,500000.0
18,Normal/Others,CC Road- Amit Sahu ahead of the house.,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Amit Sahu ahead of the house.,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2024-12-06,1500000.0
19,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Pralhad Venkatesh Joshi,DHARWAD,Images,2025-06-09,498091.0
20,Normal/Others,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Pralhad Venkatesh Joshi,DHARWAD,Images,2024-10-14,497185.0
21,Normal/Others,"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Maharashtra,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Nitin Jairam Gadkari,NAGPUR,Images,2024-08-23,963514.0
22,Normal/Others,Construction of common sitting area (Chaburta),Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of common sitting area (Chaburta),Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2025-02-12,300000.0
23,Normal/Others,CC Road- Ahead from the main road towards the canal.,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- Ahead from the main road towards the canal.,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2025-02-12,1000000.0
24,Normal/Others,CC Road- From the road towards the Colony,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- From the road towards the Colony,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2024-11-25,999550.0
25,Normal/Others,CC Road- Community Building to Patharri pond (Taalab).,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Community Building to Patharri pond (Taalab).,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2024-11-27,998000.0
26,Normal/Others,Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Arun Kumar Sagar,SHAHJAHANPUR(SC),Images,2024-11-25,37908000.0
27,Normal/Others,15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Arun Kumar Sagar,SHAHJAHANPUR(SC),,2024-11-25,9900000.0
28,Normal/Others,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,298940.0
29,Normal/Others,"Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",Suresh Kodikunnil,MAVELIKKARA(SC),Images,2024-09-09,1254628.0
30,Normal/Others,CC Road- From the high school towards the Fair Ground,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the high school towards the Fair Ground,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2024-10-17,991511.0
31,Normal/Others,Mauje Bodwad Bodwad District Seating Arrangment at various places for inner city citizens in Jalgaon.,Maharashtra,JALGAON(DISTRICT COLLECTOR JALGAON_IDA),Mauje Bodwad Bodwad District Seating Arrangment at various places for inner city citizens in Jalgaon.,Raksha Nikhil Khadse,RAVER,Images,2024-09-11,2974718.0
32,Normal/Others,Construction of culverts and bridges- Between Singhra and Chhote Kot,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of culverts and bridges- Between Singhra and Chhote Kot,Kamlesh Jangde,JANJGIR CHAMPA(SC),Images,2025-03-05,998871.0
33,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",Kangana Ranaut,MANDI,,2025-06-16,14805.0
34,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",Kangana Ranaut,MANDI,,2025-06-16,14805.0
35,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",Kangana Ranaut,MANDI,,2025-06-16,14805.0
36,Normal/Others,Construction of Cycle Shed in Govt Primary school Lambwali,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Cycle Shed in Govt Primary school Lambwali,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,197304.0
37,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,84500.0
38,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Okandwala,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,299155.0
39,Normal/Others,"Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,995219.0
40,Normal/Others,Purchase of Steel mobile water tanker,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
41,Normal/Others,Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,299155.0
42,Normal/Others,Construction of mid-day meal Shed in Govt Primary school Dana romana,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Dana romana,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,299155.0
43,Normal/Others,Construction of Midday meal Shed in Govt Primary school Dod Main,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Midday meal Shed in Govt Primary school Dod Main,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,299155.0
44,Normal/Others,Construction of mid-day meal Shed in Govt primary School,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt primary School,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,299155.0
45,Normal/Others,Purchase of mobile Steel water tanker in GP Mai Godri Sahib,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of mobile Steel water tanker in GP Mai Godri Sahib,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
46,Normal/Others,Installation of Fixed Street Lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Fixed Street Lights,Sarabjeet Singh Khalsa,FARIDKOT(SC),,2025-04-07,200000.0
47,Normal/Others,"Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,995046.0
48,Normal/Others,"Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,997045.0
49,Normal/Others,"Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,998035.0
50,Normal/Others,"Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,997302.0
51,Normal/Others,"Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,997045.0
52,Normal/Others,"Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,995562.0
53,Normal/Others,"Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,2025-09-09,997224.0
