sr_no,calamity_type,calamity_name,mp_name,date_of_consent,consent_amount
1,National Calamity,Flood 2025 In Punjab,Gurjeet Singh Aujla,2025-12-07,7067400.0
2,National Calamity,Flood 2025 In Punjab,Gurmeet Singh Meet Hayer,2025-11-03,7500000.0
3,National Calamity,Flood 2025 In Punjab,Jual Oram,2025-10-10,10000000.0
4,National Calamity,Andhra Pradesh Rainfall And Consequent Floods - 2024,Krishna Prasad Tenneti,2025-03-26,1000000.0
5,National Calamity,Meppadi Landslides 2024,Shafi Parambil,2025-03-02,2500000.0
6,State Calamity,Vilangad Landslides 2024,Shafi Parambil,2025-03-01,2500000.0
7,National Calamity,Meppadi Landslides 2024,C N Manjunath,2025-02-17,500000.0
8,National Calamity,Meppadi Landslides 2024,Andimuthu Raja,2025-02-05,2500000.0
9,State Calamity,Wayanad Landslides 2024,Nk Premachandran,2024-12-07,1000000.0
10,State Calamity,Vilangad Landslides 2024,Nk Premachandran,2024-12-07,1000000.0
11,State Calamity,Wayanad Landslides 2024,K Radhakrishnan,2024-12-04,2500000.0
12,State Calamity,Natural Calamity Affected Area,Biplab Kumar Deb,2024-09-03,2500000.0
Grand Total,Other Public Infrastructure,Other Public Infrastructure,,,40567400.0
