sr_no,state,work_description,work_id,ida_agency,mp_name,constituency,expenditure_amount,vendor_name,work_status,expenditure_amount
1,Karnataka,Construction of community centers and community halls,WS/MP18086/2026-2027/292888,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),Shreyas. M. Patel,HASSAN,750000.0,Kridl Bhusiri Account Works,Payment In-Progress,750000.0
2,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Atul Garg,GHAZIABAD,799146.0,Darsh Buildcon,Payment In-Progress,799146.0
3,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Atul Garg,GHAZIABAD,832080.0,Darsh Buildcon,Payment In-Progress,832080.0
4,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),Atul Garg,GHAZIABAD,498309.0,Darsh Buildcon,Payment In-Progress,498309.0
5,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Jual Oram,SUNDARGARH (ST),2000.0,Member Secy Ob And Oc Wwb Bbsr,Payment In-Progress,2000.0
6,Gujarat,"Purchase of IT systems, including hardware and software for educational purposes",WS/	 MP575/2026-2027/291463,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,497845.0,Bhargav Sumantrai Patel,Payment In-Progress,497845.0
7,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Aparajita Sarangi,BHUBANESWAR,5000.0,Member Secy Ob And Oc Wwb Bbsr,Payment In-Progress,5000.0
8,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),Dharmendra Pradhan,SAMBALPUR,7000.0,Member Secy Ob And Oc Wwb Bbsr,Payment In-Progress,7000.0
9,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),Dharmendra Pradhan,SAMBALPUR,7000.0,Member Secy Ob And Oc Wwb Bbsr,Payment In-Progress,7000.0
10,Odisha,Construction of community centers and community halls,WS/MP18142/2025-2026/185341,PURI(DISTRICT COLLECTOR PURI_IDA),Bibhu Prasad Tarai,JAGATSINGHPUR(SC),2000.0,Member Secy Ob And Oc Wwb Bbsr,Payment In-Progress,2000.0
