sr_no,state,mp_name,electednominated,allocated_amount
1,Telangana,Abhishek Manu Singhvi (2026-32) (2026-2032),Elected MP,73421449.0
2,Maharashtra,Ajeet Madhavrao Gopchade (2024-30) (2024-2030),Elected MP,147000000.0
3,Rajasthan,Alka Singh (2026-32) (2026-2032),Elected MP,49000000.0
4,Tamil Nadu,Anbumani Ramadoss (2026-32) (2026-2032),Elected MP,49356476.5
5,Maharashtra,Anil Sukhdeorao Bonde (2022-28) (2022-2028),Elected MP,196063957.1
6,Punjab,Ashok Kumar Mittal (2022-28) (2022-2028),Elected MP,222487632.1
7,Bihar,Bhim Singh (2024-30) (2024-2030),Elected MP,186200000.0
8,Karnataka,Dharmasthala Veerendra Heggade (2022-28) (2022-2028),Nominated MP,196063957.1
9,Bihar,Dharmshila Gupta (2024-30) (2024-2030),Elected MP,186200000.0
10,Uttar Pradesh,Dinesh Sharma (2023-26) (2023-2026),Elected MP,147000000.0
11,Bihar,Faiyaz Ahmad (2022-28) (2022-2028),Elected MP,235263957.1
12,Kerala,John Brittas (2021-27) (2021-2027),Elected MP,245063957.1
13,Maharashtra,Jyoti Nagnath Waghmare (2026-32) (2026-2032),Elected MP,49000000.0
14,Uttar Pradesh,K. Laxman (2022-28) (2022-2028),Elected MP,197637007.1
15,Uttarakhand,Kalpana Saini (2022-28) (2022-2028),Elected MP,200830405.8
16,Madhya Pradesh,Kavita Patidar (2022-28) (2022-2028),Elected MP,197118521.4
17,Madhya Pradesh,L. Murugan (2024-30) (2024-2030),Elected MP,147000000.0
18,Uttar Pradesh,Laxmikant Bajpayee (2022-28) (2022-2028),Elected MP,196000000.0
19,Tamil Nadu,M. Dhanapal (2025-31) (2025-2031),Elected MP,89248285.42
20,Tamil Nadu,M. Thambi Durai (2026-32) (2026-2032),Elected MP,49356476.5
21,Maharashtra,Medha Vishram Kulkarni (2024-30) (2024-2030),Elected MP,147000000.0
22,Delhi,Meenakshi Jain (2025-31) (2025-2031),Nominated MP,73500000.0
23,Gujarat,Mukeshbhai J. Rathwa (2026-32) (2026-2032),Elected MP,49000000.0
24,Gujarat,Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,147000000.0
25,Uttar Pradesh,Radha Mohan Das Agrawal (2022-28) (2022-2028),Elected MP,203626524.7
26,Punjab,Sandeep Kumar Pathak (2022-28) (2022-2028),Elected MP,232203454.2
27,Uttar Pradesh,Sangeeta Balwant (2024-30) (2024-2030),Elected MP,147000000.0
28,Odisha,Santrupt Misra (2026-32) (2026-2032),Elected MP,49000000.0
29,Jharkhand,Sarfraz Ahmad (2024-30) (2024-2030),Elected MP,178564551.1
30,Odisha,Sasmit Patra (2022-28) (2022-2028),Elected MP,196063957.1
31,Rajasthan,Satish Poonia (2026-32) (2026-2032),Elected MP,49000000.0
32,Himachal Pradesh,Sikander Kumar (2022-28) (2022-2028),Elected MP,207863957.1
33,Uttar Pradesh,Sudhanshu Trivedi (2024-30) (2024-2030),Elected MP,147000000.0
34,Karnataka,Syed Naseer Hussain (2024-30) (2024-2030),Elected MP,147000000.0
35,Kerala,V. Sivadasan (2021-27) (2021-2027),Elected MP,276720323.3
36,Punjab,Vikramjit Singh Sahney (2022-28) (2022-2028),Elected MP,198656208.6
37,West Bengal,Dola Sen (2023-29) (2023-2029),Elected MP,171500000.0
38,Delhi,Swati Maliwal (2024-30) (2024-2030),Elected MP,147000000.0
39,Bihar,Manoj Kumar Jha (2024-30) (2024-2030),Elected MP,191620112.1
40,Uttar Pradesh,Ram Gopal Yadav (2020-26) (2020-2026),Elected MP,221271395.1
41,Kerala,A. A. Rahim (2022-28) (2022-2028),Elected MP,220563957.1
42,Kerala,Abdul Wahab (2021-27) (2021-2027),Elected MP,310898953.3
43,Jharkhand,Aditya Prasad (2022-28) (2022-2028),Elected MP,227628508.2
44,Karnataka,Ajay Makan (2024-30) (2024-2030),Elected MP,147000000.0
45,Bihar,Akhilesh Prasad Singh (2024-30) (2024-2030),Elected MP,186200000.0
46,Uttar Pradesh,Amar Pal Maurya (2024-30) (2024-2030),Elected MP,147000000.0
