sr_no,calamity_type,calamity_name,mp_name,date_of_consent,consent_amount
1,National Calamity,Flood 2025 In Punjab,Hardeep Singh Puri (2020-26) (2020-2026),2025-11-17,10000000.0
2,National Calamity,Flood 2025 In Punjab,Ashok Kumar Mittal (2022-28) (2022-2028),2025-11-04,10000000.0
3,National Calamity,Flood 2025 In Punjab,Narain Dass Gupta (2024-30) (2024-2030),2025-11-03,7500000.0
4,National Calamity,Flood 2025 In Punjab,Sanjay Singh (2024-30) (2024-2030),2025-11-03,10000000.0
5,National Calamity,Flood 2025 In Punjab,Harbhajan Singh (2022-28) (2022-2028),2025-11-03,10000000.0
6,National Calamity,Flood 2025 In Punjab,Sandeep Kumar Pathak (2022-28) (2022-2028),2025-10-29,10000000.0
7,National Calamity,Flood 2025 In Punjab,Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),2025-10-07,2500000.0
8,National Calamity,Flood 2025 In Punjab,Narain Dass Gupta (2024-30) (2024-2030),2025-10-06,2500000.0
9,National Calamity,Flood 2025 In Punjab,Vikramjit Singh Sahney (2022-28) (2022-2028),2025-09-19,10000000.0
10,National Calamity,Meppadi Landslides 2024,P. P. Suneer (2024-30) (2024-2030),2025-04-21,7500000.0
11,National Calamity,Meppadi Landslides 2024,John Brittas (2021-27) (2021-2027),2025-02-17,7500000.0
12,National Calamity,Meppadi Landslides 2024,P. P. Suneer (2024-30) (2024-2030),2025-02-03,2500000.0
13,State Calamity,Vilangad Landslides 2024,Abdul Wahab (2021-27) (2021-2027),2024-12-08,1000000.0
14,State Calamity,Wayanad Landslides 2024,P. T. Usha (2022-28) (2022-2028),2024-12-07,500000.0
15,State Calamity,Vilangad Landslides 2024,P. T. Usha (2022-28) (2022-2028),2024-12-07,500000.0
16,State Calamity,Wayanad Landslides 2024,V. Sivadasan (2021-27) (2021-2027),2024-12-04,2500000.0
17,State Calamity,Wayanad Landslides 2024,A. A. Rahim (2022-28) (2022-2028),2024-12-04,2500000.0
18,State Calamity,Wayanad Landslides 2024,Jose K. Mani (2024-30) (2024-2030),2024-11-25,2500000.0
19,State Calamity,Wayanad Landslides 2024,Sandosh Kumar P (2022-28) (2022-2028),2024-10-17,2500000.0
20,State Calamity,Wayanad Landslides 2024,John Brittas (2021-27) (2021-2027),2024-09-10,2500000.0
Grand Total,Other Public Infrastructure,Other Public Infrastructure,,,104500000.0
