sr_no,state,work_description,work_id,ida_agency,mp_name,electednominated,expenditure_amount,vendor_name,work_status,expenditure_amount
1,Uttar Pradesh,"Purchase of ambulances (Four, three and two wheelers)",WS/MP887/2025-2026/207251,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Dinesh Sharma (2023-26) (2023-2026),Elected MP,4282950.0,Force Motors Limited,Payment In-Progress,4282950.0
2,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP176/2025-2026/243305,DURG(DISTRICT COLLECTOR DURG_IDA),Rajeev Shukla (2022-28) (2022-2028),Elected MP,259974.0,Sarpanch Gram Panchyat Manikchauri,Payment In-Progress,259974.0
3,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138290,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
4,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138282,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
5,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138283,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
6,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138284,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
7,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138285,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
8,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138286,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
9,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138287,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
10,Uttar Pradesh,Installation of multi-gym equipment,WS/MP192/2025-2026/138289,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,489765.0,Balaji Supplier,Payment In-Progress,489765.0
11,Chhattisgarh,Development of playfields and sports grounds,WS/MP225/2025-2026/250305,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),Ranjeet Ranjan (2022-28) (2022-2028),Elected MP,250000.0,Gram Panchayat Manakoni,Payment In-Progress,250000.0
12,Puducherry,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP139/2026-2027/229075,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),S. Selvaganabathy (2021-27) (2021-2027),Elected MP,211599.0,Defy Systems,Payment In-Progress,211599.0
13,Puducherry,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP139/2026-2027/229075,Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),S. Selvaganabathy (2021-27) (2021-2027),Elected MP,193860.0,Defy Systems,Payment In-Progress,193860.0
