sr_no,work_category,work_description,state,ida_agency,work_description,mp_name,electednominated,image,completion_date,expenditure_amount
1,Normal/Others,High Mask LED Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask LED Light ( 6 lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2023-08-02,283000.0
2,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-22,283000.0
3,Normal/Others,High Mask Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-22,283000.0
4,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-22,283000.0
5,Normal/Others,High Mask Street Light,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light,Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-26,283000.0
6,Normal/Others,High MAsk Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-23,283000.0
7,Normal/Others,High Mask Street Lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Lights,Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,,2024-02-23,283000.0
8,Normal/Others,High MAsk Street Lights ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High MAsk Street Lights ( 6 lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-23,283000.0
9,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-23,283000.0
10,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),High Mask Street Light ( 6 Lights),Javed Ali Khan (2022-28) (Nan-Nan),Elected MP,Images,2024-02-23,283000.0
