sr_no,work_category,work_description,state,ida_agency,mp_name,electednominated,work_description,recommended_date,sanction_date,sanction_amount,work_status
1,Normal/Others,Construction of Class room Sompal Singh Memorial Public School,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room Sompal Singh Memorial Public School,2023-06-14,2023-11-07,1000000.0,Vendor Identification
2,Normal/Others,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,2023-06-14,2023-12-08,1000000.0,Physical Inspection
3,Normal/Others,Construction of Classroom and hall Galaxy Public School lakhna,Uttar Pradesh,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Classroom and hall Galaxy Public School lakhna,2023-06-14,2024-03-15,1000000.0,Work Completed
4,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,2023-08-12,1484933.0,Work Completed
5,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,2023-08-12,1486089.0,Work Completed
6,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,2023-08-12,1484550.0,Work Completed
7,Normal/Others,P.C.C ??? ?? ???????,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,2023-08-12,1484940.0,Physical Inspection
8,Normal/Others,LED Semi HighMast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi HighMast Light,2023-06-19,2023-08-24,243000.0,Physical Inspection
9,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,2023-08-24,243000.0,Physical Inspection
10,Normal/Others,LED SEMI High Mast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED SEMI High Mast Light,2023-06-19,2023-08-24,243000.0,Physical Inspection
11,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,2023-08-24,243000.0,Physical Inspection
12,Normal/Others,LED Semi Highmast Light,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,2023-08-24,243000.0,Physical Inspection
13,Normal/Others,High Mask LED Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Light ( 6 lights),2023-06-21,2023-07-07,283000.0,Work Completed
14,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
15,Normal/Others,High Mask Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
16,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
17,Normal/Others,High MAsk Street Light,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light,2023-06-21,2023-07-07,283000.0,Physical Inspection
18,Normal/Others,High Mask Street Light,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light,2023-06-21,2023-07-07,283000.0,Physical Inspection
19,Normal/Others,High MAsk Street Lights ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
20,Normal/Others,High Mask Street Lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights,2023-06-21,2023-07-07,283000.0,Physical Inspection
21,Normal/Others,High MAsk Street Lights ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
22,Normal/Others,High Mask Street Light ( 6 lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
23,Normal/Others,High Mask Street Light ( 6 Lights),Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,2023-07-07,283000.0,Physical Inspection
