peer_group_key,category,state,size_tier,peer_count,exp_mean,exp_std,exp_q1,exp_q3,exp_iqr,exp_upper_fence,exp_lower_fence,delay_mean,delay_std,delay_upper_fence
OTHER_WORKS::ANDAMAN AND NICOBAR ISLANDS::SMALL,OTHER_WORKS,ANDAMAN AND NICOBAR ISLANDS,SMALL,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,119.44,501.5
OTHER_WORKS::ANDHRA PRADESH::SMALL,OTHER_WORKS,ANDHRA PRADESH,SMALL,4311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,59.57,133.0
OTHER_WORKS::ARUNACHAL PRADESH::SMALL,OTHER_WORKS,ARUNACHAL PRADESH,SMALL,298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.23,58.87,262.0
OTHER_WORKS::ASSAM::SMALL,OTHER_WORKS,ASSAM,SMALL,2765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.85,120.37,488.75
OTHER_WORKS::BIHAR::SMALL,OTHER_WORKS,BIHAR,SMALL,7599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.67,81.95,275.5
OTHER_WORKS::CHANDIGARH::SMALL,OTHER_WORKS,CHANDIGARH,SMALL,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.79,107.92,422.62
OTHER_WORKS::CHHATTISGARH::SMALL,OTHER_WORKS,CHHATTISGARH,SMALL,2690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.13,65.57,233.5
OTHER_WORKS::DELHI::SMALL,OTHER_WORKS,DELHI,SMALL,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.81,69.35,178.5
OTHER_WORKS::GOA::SMALL,OTHER_WORKS,GOA,SMALL,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.14,115.94,525.0
OTHER_WORKS::GUJARAT::SMALL,OTHER_WORKS,GUJARAT,SMALL,9638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.47,76.13,235.5
OTHER_WORKS::HARYANA::SMALL,OTHER_WORKS,HARYANA,SMALL,2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.33,74.04,196.38
OTHER_WORKS::HIMACHAL PRADESH::SMALL,OTHER_WORKS,HIMACHAL PRADESH,SMALL,2545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,81.6,197.5
OTHER_WORKS::JAMMU AND KASHMIR::SMALL,OTHER_WORKS,JAMMU AND KASHMIR,SMALL,1245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97,59.71,160.88
OTHER_WORKS::JHARKHAND::SMALL,OTHER_WORKS,JHARKHAND,SMALL,5631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1,67.02,194.5
OTHER_WORKS::KARNATAKA::SMALL,OTHER_WORKS,KARNATAKA,SMALL,5894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.52,125.17,481.5
OTHER_WORKS::KERALA::SMALL,OTHER_WORKS,KERALA,SMALL,5829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.53,134.89,612.5
OTHER_WORKS::LADAKH::SMALL,OTHER_WORKS,LADAKH,SMALL,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.74,46.23,92.25
OTHER_WORKS::LAKSHADWEEP::SMALL,OTHER_WORKS,LAKSHADWEEP,SMALL,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.35,34.55,79.5
OTHER_WORKS::MADHYA PRADESH::SMALL,OTHER_WORKS,MADHYA PRADESH,SMALL,8596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.15,107.58,258.5
OTHER_WORKS::MAHARASHTRA::SMALL,OTHER_WORKS,MAHARASHTRA,SMALL,5694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.96,137.61,582.25
OTHER_WORKS::MANIPUR::SMALL,OTHER_WORKS,MANIPUR,SMALL,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.75,41.19,113.25
OTHER_WORKS::MEGHALAYA::SMALL,OTHER_WORKS,MEGHALAYA,SMALL,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.78,85.35,290.5
OTHER_WORKS::MIZORAM::SMALL,OTHER_WORKS,MIZORAM,SMALL,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.85,36.21,161.75
OTHER_WORKS::NAGALAND::SMALL,OTHER_WORKS,NAGALAND,SMALL,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.23,38.13,147.12
OTHER_WORKS::ODISHA::SMALL,OTHER_WORKS,ODISHA,SMALL,6723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.03,78.61,265.0
OTHER_WORKS::PUDUCHERRY::SMALL,OTHER_WORKS,PUDUCHERRY,SMALL,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.48,201.34,843.25
OTHER_WORKS::PUNJAB::SMALL,OTHER_WORKS,PUNJAB,SMALL,5190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.68,38.77,114.5
OTHER_WORKS::RAJASTHAN::SMALL,OTHER_WORKS,RAJASTHAN,SMALL,4388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.23,63.15,207.5
OTHER_WORKS::SIKKIM::SMALL,OTHER_WORKS,SIKKIM,SMALL,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.69,65.39,198.5
OTHER_WORKS::TAMIL NADU::SMALL,OTHER_WORKS,TAMIL NADU,SMALL,6861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.92,114.47,407.0
OTHER_WORKS::TELANGANA::SMALL,OTHER_WORKS,TELANGANA,SMALL,6048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.75,119.47,378.5
OTHER_WORKS::THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU::SMALL,OTHER_WORKS,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,SMALL,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTHER_WORKS::TRIPURA::SMALL,OTHER_WORKS,TRIPURA,SMALL,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.3,79.5,367.0
OTHER_WORKS::UNKNOWN::SMALL,OTHER_WORKS,UNKNOWN,SMALL,115547,559059.69,1135253.04,179997.0,600000.0,420003.0,1230004.5,0.0,0.0,0.0,0.0
OTHER_WORKS::UTTAR PRADESH::SMALL,OTHER_WORKS,UTTAR PRADESH,SMALL,23911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05,75.12,241.5
OTHER_WORKS::UTTARAKHAND::SMALL,OTHER_WORKS,UTTARAKHAND,SMALL,1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.96,80.21,292.0
OTHER_WORKS::WEST BENGAL::SMALL,OTHER_WORKS,WEST BENGAL,SMALL,5917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.23,90.01,293.62
