geo_id,level,name,parent_geo_id
1,state,Maharashtra,
2,state,Karnataka,
3,state,Delhi,
4,state,Tamil Nadu,
5,state,Gujarat,
6,constituency,Nagpur,1.0
7,constituency,Sambalpur,1.0
8,constituency,Kolhapur,1.0
9,constituency,Bongaigaon,1.0
10,constituency,Gudivada,1.0
11,constituency,Patna,2.0
12,constituency,Tiruchirappalli,2.0
13,constituency,Muzaffarpur,2.0
14,constituency,Kishanganj,2.0
15,constituency,Bongaigaon,2.0
16,constituency,Muzaffarnagar,3.0
17,constituency,Giridih,3.0
18,constituency,Chennai,3.0
19,constituency,Bhusawal,3.0
20,constituency,Alwar,3.0
21,constituency,Thrissur,4.0
22,constituency,Kota,4.0
23,constituency,Nadiad,4.0
24,constituency,Secunderabad,4.0
25,constituency,Mahbubnagar,4.0
26,constituency,Varanasi,5.0
27,constituency,Jorhat,5.0
28,constituency,Burhanpur,5.0
29,constituency,Suryapet,5.0
30,constituency,Tadipatri,5.0
