work_id,anomaly_type
15,early_expenditure
44,cost_overrun
65,delayed
73,delayed
91,cost_overrun
104,early_expenditure
121,early_expenditure
139,early_expenditure
140,early_expenditure
142,cost_overrun
164,cost_overrun
178,cost_overrun
183,early_expenditure
208,delayed
241,early_expenditure
251,early_expenditure
259,early_expenditure
260,delayed
265,delayed
266,cost_overrun
272,cost_overrun
302,early_expenditure
304,delayed
310,early_expenditure
326,early_expenditure
329,early_expenditure
338,cost_overrun
345,early_expenditure
347,delayed
389,delayed
394,early_expenditure
398,delayed
430,delayed
440,delayed
464,early_expenditure
470,delayed
480,early_expenditure
485,early_expenditure
487,cost_overrun
490,delayed
491,early_expenditure
498,early_expenditure
505,delayed
506,delayed
512,delayed
514,cost_overrun
538,cost_overrun
550,delayed
553,early_expenditure
559,cost_overrun
563,cost_overrun
566,delayed
588,early_expenditure
590,delayed
595,delayed
596,early_expenditure
601,cost_overrun
602,cost_overrun
615,cost_overrun
654,early_expenditure
662,early_expenditure
669,early_expenditure
689,early_expenditure
696,cost_overrun
712,delayed
719,cost_overrun
727,cost_overrun
751,cost_overrun
753,early_expenditure
772,delayed
774,cost_overrun
786,cost_overrun
794,early_expenditure
802,cost_overrun
814,cost_overrun
818,cost_overrun
827,delayed
872,delayed
892,delayed
899,early_expenditure
903,delayed
905,early_expenditure
912,cost_overrun
914,early_expenditure
915,early_expenditure
935,cost_overrun
941,delayed
965,early_expenditure
976,cost_overrun
987,cost_overrun
995,early_expenditure
1015,early_expenditure
1043,delayed
1056,delayed
1058,delayed
1062,early_expenditure
1068,cost_overrun
1073,delayed
1088,delayed
1101,cost_overrun
1112,delayed
1123,delayed
1137,delayed
1141,early_expenditure
1147,cost_overrun
1166,early_expenditure
1224,cost_overrun
1228,cost_overrun
1233,cost_overrun
1248,cost_overrun
1251,delayed
1260,cost_overrun
1262,cost_overrun
1263,delayed
1274,cost_overrun
1275,cost_overrun
1276,cost_overrun
1279,cost_overrun
1282,early_expenditure
1288,cost_overrun
1307,early_expenditure
1317,early_expenditure
1318,early_expenditure
1328,cost_overrun
1344,early_expenditure
1350,early_expenditure
1355,cost_overrun
1378,early_expenditure
1386,early_expenditure
1390,early_expenditure
1397,cost_overrun
1416,delayed
1442,cost_overrun
1459,cost_overrun
1465,delayed
1475,early_expenditure
1476,early_expenditure
1478,early_expenditure
1486,delayed
1506,delayed
1510,delayed
1516,early_expenditure
1536,cost_overrun
1548,cost_overrun
1549,early_expenditure
1551,delayed
1557,cost_overrun
1561,early_expenditure
1565,early_expenditure
1576,cost_overrun
1587,delayed
1605,early_expenditure
1614,early_expenditure
1616,early_expenditure
1618,cost_overrun
1619,delayed
1630,early_expenditure
1638,early_expenditure
1640,delayed
1644,delayed
1655,delayed
1662,cost_overrun
1701,cost_overrun
1716,cost_overrun
1718,cost_overrun
1757,cost_overrun
1779,cost_overrun
1782,early_expenditure
1783,cost_overrun
1801,cost_overrun
1818,cost_overrun
1819,early_expenditure
1824,cost_overrun
1830,delayed
1832,cost_overrun
1846,cost_overrun
1871,cost_overrun
1875,cost_overrun
1884,early_expenditure
1886,cost_overrun
1893,delayed
1895,delayed
1900,delayed
1916,early_expenditure
1930,early_expenditure
1932,delayed
1937,delayed
1942,delayed
1946,delayed
1947,cost_overrun
1957,cost_overrun
1959,early_expenditure
1960,delayed
1973,delayed
1991,early_expenditure
1993,early_expenditure
1997,cost_overrun
2012,early_expenditure
2021,delayed
2024,early_expenditure
2028,early_expenditure
2031,early_expenditure
2042,delayed
2044,cost_overrun
2049,early_expenditure
2055,early_expenditure
2060,cost_overrun
2062,early_expenditure
2067,delayed
2079,early_expenditure
2090,delayed
2094,delayed
2103,delayed
2106,delayed
2118,delayed
2121,delayed
2125,delayed
2144,delayed
2163,early_expenditure
2165,delayed
2184,cost_overrun
2202,delayed
2211,cost_overrun
2224,early_expenditure
2226,cost_overrun
2241,cost_overrun
2243,early_expenditure
2244,cost_overrun
2248,delayed
2260,cost_overrun
2262,cost_overrun
2270,cost_overrun
2273,early_expenditure
2288,cost_overrun
2289,early_expenditure
2297,cost_overrun
2305,early_expenditure
2306,delayed
2319,delayed
2325,delayed
2329,early_expenditure
2338,early_expenditure
2345,cost_overrun
2354,early_expenditure
2355,delayed
2368,delayed
2376,early_expenditure
2377,early_expenditure
2382,delayed
2386,cost_overrun
2396,delayed
2401,delayed
2411,cost_overrun
2416,early_expenditure
2433,cost_overrun
2434,early_expenditure
2436,early_expenditure
2440,cost_overrun
2465,cost_overrun
2474,cost_overrun
2484,cost_overrun
2491,delayed
2495,delayed
