ida_id,name,state_id
1,District Authority Jalgaon,1
2,District Authority Guwahati,1
3,District Authority Kochi,3
4,District Authority Medininagar,2
5,District Authority Nagaon,2
6,District Authority Hospet,2
7,District Authority Bihar Sharif,1
8,District Authority Farrukhabad,5
9,District Authority Phagwara,1
10,District Authority Dhule,5
11,District Authority Bilaspur,4
12,District Authority Sangli-Miraj & Kupwad,1
13,District Authority Malegaon,1
14,District Authority Sangli-Miraj & Kupwad,1
15,District Authority Alappuzha,2
16,District Authority Hindupur,2
17,District Authority Jalna,5
18,District Authority Ahmednagar,5
19,District Authority Ichalkaranji,1
20,District Authority Madurai,5
