vendor_id,canonical_name,created_at
1,"Gokhale, Tripathi and Cherian Constructions",2026-09-01T14:29:34.529241
2,"Misra, Tripathi and Issac Constructions",2026-09-01T14:29:34.529288
3,Prakash and Sons Constructions,2026-09-01T14:29:34.529314
4,"Wali, Acharya and Naik Constructions",2026-09-01T14:29:34.529341
5,Bahl-Choudhury Constructions,2026-09-01T14:29:34.529361
6,Mohanty-Khatri Constructions,2026-09-01T14:29:34.529381
7,Khosla PLC Constructions,2026-09-01T14:29:34.529401
8,Chada Ltd Constructions,2026-09-01T14:29:34.529426
9,Biswas-Walia Constructions,2026-09-01T14:29:34.529444
10,Dave Ltd Constructions,2026-09-01T14:29:34.529462
11,Gandhi-Lanka Constructions,2026-09-01T14:29:34.529479
12,"Sampath, Kakar and Zacharia Constructions",2026-09-01T14:29:34.529503
13,"Iyer, Muni and Rastogi Constructions",2026-09-01T14:29:34.529528
14,"Prakash, Sarma and Varughese Constructions",2026-09-01T14:29:34.529551
15,Dara-Kota Constructions,2026-09-01T14:29:34.529568
16,Bhatt LLC Constructions,2026-09-01T14:29:34.529585
17,Karpe PLC Constructions,2026-09-01T14:29:34.529602
18,Amble Inc Constructions,2026-09-01T14:29:34.529636
19,"Bhargava, Karnik and Bir Constructions",2026-09-01T14:29:34.529688
20,Narayanan Inc Constructions,2026-09-01T14:29:34.529734
21,"Khanna, Mallick and Sunder Constructions",2026-09-01T14:29:34.529776
22,Zacharia and Sons Constructions,2026-09-01T14:29:34.529796
23,"Solanki, Kibe and Solanki Constructions",2026-09-01T14:29:34.529821
24,Gupta-Chandra Constructions,2026-09-01T14:29:34.529841
25,Sankar LLC Constructions,2026-09-01T14:29:34.529859
26,Roy-Sibal Constructions,2026-09-01T14:29:34.529877
27,"Bhagat, Chaudhari and Bhat Constructions",2026-09-01T14:29:34.529929
28,Nori-Chopra Constructions,2026-09-01T14:29:34.529989
29,Handa and Sons Constructions,2026-09-01T14:29:34.530039
30,"Sen, Dey and Sami Constructions",2026-09-01T14:29:34.530093
31,Mallick Group Constructions,2026-09-01T14:29:34.530130
32,Borra Group Constructions,2026-09-01T14:29:34.530155
33,"Chaudhari, Bedi and Zachariah Constructions",2026-09-01T14:29:34.530188
34,Chander and Sons Constructions,2026-09-01T14:29:34.530215
35,Ray Group Constructions,2026-09-01T14:29:34.530234
36,Kala-Rattan Constructions,2026-09-01T14:29:34.530254
37,Gala Group Constructions,2026-09-01T14:29:34.530287
38,Ramakrishnan LLC Constructions,2026-09-01T14:29:34.530332
39,Mangal-Sampath Constructions,2026-09-01T14:29:34.530354
40,"Sur, Dubey and Gupta Constructions",2026-09-01T14:29:34.530397
41,Kalla-Bhardwaj Constructions,2026-09-01T14:29:34.530415
42,"Bhat, Murthy and Bhandari Constructions",2026-09-01T14:29:34.530439
43,Sood PLC Constructions,2026-09-01T14:29:34.530456
44,"Dugar, Bhandari and Trivedi Constructions",2026-09-01T14:29:34.530482
45,Grewal Inc Constructions,2026-09-01T14:29:34.530499
46,"Bir, Keer and Raval Constructions",2026-09-01T14:29:34.530520
47,Koshy PLC Constructions,2026-09-01T14:29:34.530537
48,"Baral, Bumb and Saini Constructions",2026-09-01T14:29:34.530559
49,"Virk, Mutti and Lal Constructions",2026-09-01T14:29:34.530580
50,Murthy and Sons Constructions,2026-09-01T14:29:34.530597
51,Randhawa-Deep Constructions,2026-09-01T14:29:34.530615
52,"Mital, Shankar and Mutti Constructions",2026-09-01T14:29:34.530659
53,Andra Group Constructions,2026-09-01T14:29:34.530678
54,"Chaudhry, Borah and Yogi Constructions",2026-09-01T14:29:34.530700
55,Toor LLC Constructions,2026-09-01T14:29:34.530717
56,Palla Inc Constructions,2026-09-01T14:29:34.530734
57,Pingle LLC Constructions,2026-09-01T14:29:34.530751
58,Sarma PLC Constructions,2026-09-01T14:29:34.530768
59,"Mittal, Wadhwa and Anand Constructions",2026-09-01T14:29:34.530790
60,"Mistry, Chawla and Desai Constructions",2026-09-01T14:29:34.530812
61,D’Alia-Chhabra Constructions,2026-09-01T14:29:34.530831
62,"Dugal, Magar and Manda Constructions",2026-09-01T14:29:34.530857
63,"Kade, Oza and Jani Constructions",2026-09-01T14:29:34.530916
64,"Lalla, Tiwari and Suresh Constructions",2026-09-01T14:29:34.530978
65,Behl-Chanda Constructions,2026-09-01T14:29:34.531027
66,"Sampath, Malhotra and Basu Constructions",2026-09-01T14:29:34.531093
67,Nath and Sons Constructions,2026-09-01T14:29:34.531128
68,"Lala, Edwin and Sathe Constructions",2026-09-01T14:29:34.531169
69,"Sane, Andra and Choudhury Constructions",2026-09-01T14:29:34.531212
70,Dixit PLC Constructions,2026-09-01T14:29:34.531248
71,Pingle PLC Constructions,2026-09-01T14:29:34.531290
72,"Divan, Sani and Datta Constructions",2026-09-01T14:29:34.531337
73,Morar LLC Constructions,2026-09-01T14:29:34.531360
74,Parmar and Sons Constructions,2026-09-01T14:29:34.531380
75,"Krish, Chauhan and Pandya Constructions",2026-09-01T14:29:34.531404
76,"Ray, Dubey and Khalsa Constructions",2026-09-01T14:29:34.531428
77,Goel Group Constructions,2026-09-01T14:29:34.531447
78,Gola Ltd Constructions,2026-09-01T14:29:34.531468
79,Sabharwal-Kothari Constructions,2026-09-01T14:29:34.531487
80,Dutta-Chokshi Constructions,2026-09-01T14:29:34.531504
81,Barad-Singhal Constructions,2026-09-01T14:29:34.531522
82,Iyengar Group Constructions,2026-09-01T14:29:34.531540
83,Mody-Kari Constructions,2026-09-01T14:29:34.531557
84,Bajwa Ltd Constructions,2026-09-01T14:29:34.531574
85,Rastogi LLC Constructions,2026-09-01T14:29:34.531590
86,Boase-Mallick Constructions,2026-09-01T14:29:34.531608
87,Upadhyay-Ratta Constructions,2026-09-01T14:29:34.531624
88,"Yadav, Narula and Bala Constructions",2026-09-01T14:29:34.531646
89,Lal and Sons Constructions,2026-09-01T14:29:34.531663
90,"Lanka, Barad and Chopra Constructions",2026-09-01T14:29:34.531684
91,"Saraf, Pai and Murthy Constructions",2026-09-01T14:29:34.531705
92,Vaidya-D’Alia Constructions,2026-09-01T14:29:34.531723
93,Gupta-Kumar Constructions,2026-09-01T14:29:34.531740
94,Sarin Inc Constructions,2026-09-01T14:29:34.531758
95,"Yohannan, Hegde and Patla Constructions",2026-09-01T14:29:34.531781
96,Boase-Narayanan Constructions,2026-09-01T14:29:34.531797
97,"Murthy, Dash and Mital Constructions",2026-09-01T14:29:34.531827
98,"More, Rege and Narain Constructions",2026-09-01T14:29:34.531849
99,Merchant-Datta Constructions,2026-09-01T14:29:34.531870
100,Salvi Ltd Constructions,2026-09-01T14:29:34.531887
101,Ghosh-Mitra Constructions,2026-09-01T14:29:34.531905
102,Acharya-Modi Constructions,2026-09-01T14:29:34.531922
103,Kade-Sani Constructions,2026-09-01T14:29:34.531939
104,"Nagy, Shroff and Sathe Constructions",2026-09-01T14:29:34.531960
105,Kala-Vaidya Constructions,2026-09-01T14:29:34.531977
106,Gara-Chad Constructions,2026-09-01T14:29:34.531994
107,Varma-Nayak Constructions,2026-09-01T14:29:34.532014
108,Keer Ltd Constructions,2026-09-01T14:29:34.532032
109,Kar-Issac Constructions,2026-09-01T14:29:34.532048
110,Bakshi Inc Constructions,2026-09-01T14:29:34.532066
111,Soman PLC Constructions,2026-09-01T14:29:34.532082
112,Shah Group Constructions,2026-09-01T14:29:34.532099
113,"Hayer, Rajagopalan and Talwar Constructions",2026-09-01T14:29:34.532122
114,Kohli-Divan Constructions,2026-09-01T14:29:34.532139
115,"Ahluwalia, Chhabra and Sandal Constructions",2026-09-01T14:29:34.532160
116,Goda Ltd Constructions,2026-09-01T14:29:34.532176
117,"Shetty, Bedi and Krish Constructions",2026-09-01T14:29:34.532197
118,Shan and Sons Constructions,2026-09-01T14:29:34.532214
119,Wali-Nadig Constructions,2026-09-01T14:29:34.532231
120,Thaman-Sandhu Constructions,2026-09-01T14:29:34.532247
121,"Sehgal, Dutt and Soman Constructions",2026-09-01T14:29:34.532269
122,Lad-Kota Constructions,2026-09-01T14:29:34.532286
123,"Malhotra, Verma and Sundaram Constructions",2026-09-01T14:29:34.532307
124,"Khare, Maharaj and Sarraf Constructions",2026-09-01T14:29:34.532329
125,Mangal and Sons Constructions,2026-09-01T14:29:34.532346
126,Nayak-Nagarajan Constructions,2026-09-01T14:29:34.532363
127,"Buch, Devi and Dora Constructions",2026-09-01T14:29:34.532383
128,Rajagopal Ltd Constructions,2026-09-01T14:29:34.532405
129,Kala Inc Constructions,2026-09-01T14:29:34.532422
130,Reddy-Narayanan Constructions,2026-09-01T14:29:34.532444
131,"Shukla, Sagar and Bhatia Constructions",2026-09-01T14:29:34.532466
132,Salvi Group Constructions,2026-09-01T14:29:34.532483
133,"Bahri, Rai and Sood Constructions",2026-09-01T14:29:34.532506
134,Pandey LLC Constructions,2026-09-01T14:29:34.532523
135,Saini-Yohannan Constructions,2026-09-01T14:29:34.532539
136,"Kannan, Sura and Kanda Constructions",2026-09-01T14:29:34.532561
137,Sarin-Sunder Constructions,2026-09-01T14:29:34.532577
138,Ramachandran LLC Constructions,2026-09-01T14:29:34.532594
139,"Ravel, Gandhi and Sibal Constructions",2026-09-01T14:29:34.532615
140,Walla Inc Constructions,2026-09-01T14:29:34.532633
141,Bala-Chacko Constructions,2026-09-01T14:29:34.532651
142,"Sangha, Deshmukh and Shenoy Constructions",2026-09-01T14:29:34.532672
143,Bedi LLC Constructions,2026-09-01T14:29:34.532689
144,Narang-Kakar Constructions,2026-09-01T14:29:34.532705
145,Narain-Nazareth Constructions,2026-09-01T14:29:34.532721
146,Mall-Sama Constructions,2026-09-01T14:29:34.532737
147,Bumb-Singhal Constructions,2026-09-01T14:29:34.532754
148,Zacharia Inc Constructions,2026-09-01T14:29:34.532770
149,Kapur-Biswas Constructions,2026-09-01T14:29:34.532786
150,"Baria, Balasubramanian and Kota Constructions",2026-09-01T14:29:34.532812
151,Bahri PLC Constructions,2026-09-01T14:29:34.532829
152,Khare and Sons Constructions,2026-09-01T14:29:34.532845
153,Contractor-Kamdar Constructions,2026-09-01T14:29:34.532862
154,Kunda-Pillay Constructions,2026-09-01T14:29:34.532878
155,Contractor and Sons Constructions,2026-09-01T14:29:34.532895
156,Chokshi-Bal Constructions,2026-09-01T14:29:34.532910
157,Prashad-Ranganathan Constructions,2026-09-01T14:29:34.532927
158,"Issac, Borra and Kibe Constructions",2026-09-01T14:29:34.532951
159,Mitra Ltd Constructions,2026-09-01T14:29:34.532968
160,"Dara, Barman and Palan Constructions",2026-09-01T14:29:34.532992
161,"Sangha, Prabhakar and Biswas Constructions",2026-09-01T14:29:34.533013
162,"Om, Arora and Salvi Constructions",2026-09-01T14:29:34.533033
163,Cherian-Sant Constructions,2026-09-01T14:29:34.533050
164,Sharaf-Dua Constructions,2026-09-01T14:29:34.533080
165,Goda-Vig Constructions,2026-09-01T14:29:34.533097
166,"Madan, Yohannan and Sule Constructions",2026-09-01T14:29:34.533118
167,Sarin-Loyal Constructions,2026-09-01T14:29:34.533136
168,Korpal-Chadha Constructions,2026-09-01T14:29:34.533152
169,Seshadri-Kohli Constructions,2026-09-01T14:29:34.533172
170,Raghavan-Nayar Constructions,2026-09-01T14:29:34.533188
171,Talwar LLC Constructions,2026-09-01T14:29:34.533205
172,Sura and Sons Constructions,2026-09-01T14:29:34.533222
173,Kuruvilla-Oak Constructions,2026-09-01T14:29:34.533238
174,Majumdar-Anne Constructions,2026-09-01T14:29:34.533255
175,"Halder, Chada and Khurana Constructions",2026-09-01T14:29:34.533276
176,"Ray, Suresh and Khosla Constructions",2026-09-01T14:29:34.533297
177,"Soni, Swaminathan and Sem Constructions",2026-09-01T14:29:34.533318
178,Chander LLC Constructions,2026-09-01T14:29:34.533334
179,Ravel Ltd Constructions,2026-09-01T14:29:34.533350
180,Mohan Ltd Constructions,2026-09-01T14:29:34.533368
181,"Pillay, Solanki and Wali Constructions",2026-09-01T14:29:34.533391
182,Sandal-Narayanan Constructions,2026-09-01T14:29:34.533408
183,Setty-Madan Constructions,2026-09-01T14:29:34.533425
184,Krishnamurthy-Kashyap Constructions,2026-09-01T14:29:34.533442
185,Hans LLC Constructions,2026-09-01T14:29:34.533458
186,Wason Ltd Constructions,2026-09-01T14:29:34.533477
187,Handa and Sons Constructions,2026-09-01T14:29:34.533496
188,"Sule, Malhotra and Vohra Constructions",2026-09-01T14:29:34.533517
189,"Mandal, Chaudhry and Hari Constructions",2026-09-01T14:29:34.533538
190,Karan-Patel Constructions,2026-09-01T14:29:34.533555
191,Mittal Inc Constructions,2026-09-01T14:29:34.533572
192,"Walla, Date and Mahal Constructions",2026-09-01T14:29:34.533597
193,Bhagat PLC Constructions,2026-09-01T14:29:34.533616
194,Date-Swaminathan Constructions,2026-09-01T14:29:34.533634
195,Arora PLC Constructions,2026-09-01T14:29:34.533650
196,Singh-Srinivas Constructions,2026-09-01T14:29:34.533666
197,Oak-Gour Constructions,2026-09-01T14:29:34.533682
198,Krishnan Group Constructions,2026-09-01T14:29:34.533699
199,Bhattacharyya Group Constructions,2026-09-01T14:29:34.533716
200,Borah-Bera Constructions,2026-09-01T14:29:34.533732
