work_id,completion_date,status,has_completion_evidence
1,2025-10-11,Completed,True
2,2025-01-13,Completed,False
3,2025-05-10,Completed,True
4,2025-11-13,Completed,True
5,2024-04-23,Completed,True
6,2025-07-21,Completed,True
7,2024-12-12,Completed,True
8,2025-08-21,Completed,True
10,2025-04-02,Completed,True
11,2025-05-20,Completed,True
12,2025-09-13,Completed,True
13,2024-04-26,Completed,True
14,2025-05-20,Completed,False
16,2025-10-03,Completed,True
17,2025-02-04,Completed,True
19,2025-05-17,Completed,True
21,2024-09-06,Completed,True
22,2025-12-26,Completed,True
23,2024-11-17,Completed,False
26,2024-09-21,Completed,True
27,2025-08-09,Completed,False
28,2026-01-21,Completed,True
29,2024-11-07,Completed,True
30,2025-02-22,Completed,True
31,2025-06-22,Completed,True
32,2024-07-04,Completed,True
34,2026-02-20,Completed,True
36,2025-09-10,Completed,True
37,2025-04-15,Completed,True
38,2024-06-10,Completed,True
39,2025-02-19,Completed,True
40,2025-01-12,Completed,True
41,2025-09-20,Completed,True
42,2025-11-20,Completed,True
44,2024-11-27,Completed,True
45,2025-10-13,Completed,True
47,2026-03-07,Completed,False
48,2025-11-02,Completed,True
49,2025-07-27,Completed,True
50,2025-12-17,Completed,True
51,2025-03-29,Completed,True
53,2025-02-22,Completed,True
54,2025-08-23,Completed,True
57,2024-11-21,Completed,True
59,2025-06-13,Completed,True
60,2025-11-30,Completed,True
61,2025-03-01,Completed,True
62,2025-09-22,Completed,True
64,2025-03-04,Completed,True
65,2026-05-08,Completed,True
67,2025-01-06,Completed,True
68,2026-02-02,Completed,True
69,2025-07-26,Completed,True
70,2025-06-10,Completed,True
71,2025-11-14,Completed,True
72,2024-05-17,Completed,True
73,2025-12-02,Completed,True
74,2024-03-11,Completed,True
75,2024-09-03,Completed,True
76,2025-01-06,Completed,True
77,2025-03-27,Completed,True
78,2024-07-25,Completed,False
81,2024-08-13,Completed,True
82,2025-03-09,Completed,True
83,2025-12-15,Completed,True
85,2024-04-18,Completed,True
86,2025-05-11,Completed,True
88,2026-02-01,Completed,True
89,2024-12-02,Completed,True
90,2024-08-10,Completed,True
94,2026-02-28,Completed,True
95,2025-11-16,Completed,True
97,2025-06-27,Completed,True
98,2025-09-09,Completed,False
100,2025-10-06,Completed,True
101,2025-04-26,Completed,True
103,2025-09-08,Completed,True
105,2026-01-22,Completed,True
107,2024-09-13,Completed,True
108,2025-10-02,Completed,True
109,2025-02-14,Completed,True
112,2024-03-27,Completed,False
113,2024-08-11,Completed,True
114,2024-12-24,Completed,True
119,2025-08-25,Completed,True
120,2026-02-07,Completed,False
121,2024-05-30,Completed,True
122,2024-03-16,Completed,True
123,2024-04-29,Completed,True
125,2024-12-15,Completed,True
126,2025-07-01,Completed,True
128,2025-08-21,Completed,True
129,2025-08-14,Completed,True
130,2024-02-11,Completed,True
133,2025-08-04,Completed,True
138,2024-03-22,Completed,True
140,2025-06-24,Completed,True
141,2024-10-18,Completed,False
142,2024-07-18,Completed,True
143,2025-05-04,Completed,True
144,2024-04-14,Completed,True
146,2025-06-27,Completed,True
148,2024-05-03,Completed,True
149,2024-05-02,Completed,True
151,2025-04-27,Completed,True
153,2025-10-04,Completed,True
154,2025-02-11,Completed,True
156,2025-08-25,Completed,True
157,2025-10-02,Completed,False
158,2026-03-03,Completed,True
161,2024-11-16,Completed,False
162,2024-10-09,Completed,True
165,2025-01-21,Completed,True
168,2024-09-22,Completed,True
171,2024-06-07,Completed,True
172,2025-01-06,Completed,True
173,2025-11-29,Completed,True
175,2025-09-26,Completed,True
177,2024-08-14,Completed,True
178,2024-11-10,Completed,True
179,2024-07-22,Completed,True
181,2025-12-23,Completed,True
182,2024-04-25,Completed,True
184,2025-07-14,Completed,True
185,2024-07-05,Completed,True
186,2026-04-13,Completed,True
187,2024-02-20,Completed,True
188,2025-05-06,Completed,True
189,2024-08-12,Completed,False
190,2025-09-15,Completed,True
192,2024-11-07,Completed,True
193,2024-10-17,Completed,True
194,2026-01-05,Completed,True
195,2024-08-18,Completed,True
196,2025-08-05,Completed,True
197,2024-12-25,Completed,True
199,2024-09-29,Completed,True
200,2024-05-30,Completed,True
201,2024-04-17,Completed,True
202,2025-04-15,Completed,False
207,2024-01-25,Completed,False
209,2025-06-14,Completed,True
210,2025-05-16,Completed,True
212,2024-03-10,Completed,True
213,2026-02-10,Completed,True
214,2025-04-29,Completed,True
217,2025-11-10,Completed,True
218,2025-10-01,Completed,True
221,2025-03-08,Completed,True
222,2026-02-22,Completed,True
223,2024-08-06,Completed,True
224,2024-03-31,Completed,True
225,2025-05-18,Completed,True
226,2026-03-20,Completed,True
228,2024-07-06,Completed,True
229,2024-07-26,Completed,True
230,2025-09-18,Completed,False
231,2025-10-29,Completed,True
232,2025-09-15,Completed,False
233,2025-09-17,Completed,True
234,2026-01-08,Completed,True
235,2025-02-03,Completed,True
236,2025-01-07,Completed,True
237,2025-06-16,Completed,True
239,2025-02-21,Completed,True
240,2024-04-09,Completed,True
241,2024-03-15,Completed,True
242,2025-01-05,Completed,True
244,2024-09-23,Completed,True
245,2025-03-18,Completed,True
246,2025-02-20,Completed,True
247,2025-07-15,Completed,True
250,2025-05-12,Completed,True
251,2024-09-22,Completed,False
252,2024-10-26,Completed,True
253,2025-07-08,Completed,True
254,2025-10-11,Completed,True
255,2024-10-19,Completed,True
258,2026-03-11,Completed,True
259,2025-07-04,Completed,True
260,2026-11-11,Completed,True
261,2025-04-27,Completed,False
262,2025-12-02,Completed,False
263,2024-05-10,Completed,True
264,2024-12-31,Completed,True
265,2026-06-01,Completed,True
266,2024-09-19,Completed,True
268,2024-04-19,Completed,True
269,2025-04-27,Completed,True
270,2024-04-05,Completed,True
271,2025-06-25,Completed,True
272,2024-08-06,Completed,True
273,2025-08-17,Completed,True
275,2024-12-26,Completed,False
276,2025-09-13,Completed,True
277,2025-03-10,Completed,True
278,2025-09-30,Completed,False
281,2025-03-16,Completed,True
282,2024-07-17,Completed,True
285,2025-05-19,Completed,True
286,2026-01-28,Completed,True
287,2024-02-20,Completed,True
289,2025-10-06,Completed,True
290,2026-03-19,Completed,True
291,2026-02-07,Completed,True
292,2025-02-04,Completed,True
294,2024-12-13,Completed,True
297,2025-09-10,Completed,True
301,2026-02-19,Completed,True
303,2025-05-11,Completed,True
306,2024-03-30,Completed,True
307,2025-08-21,Completed,True
308,2024-04-27,Completed,True
311,2025-09-21,Completed,True
313,2024-09-08,Completed,True
314,2024-06-20,Completed,True
315,2024-10-29,Completed,True
317,2025-05-24,Completed,True
319,2025-06-07,Completed,True
