work_id,sanctioned_amount,sanction_date
1,496400000,2025-05-31
2,325700000,2024-08-28
3,346200000,2025-01-28
4,348800000,2025-07-26
5,229900000,2023-12-15
6,222800000,2025-01-30
7,164300000,2024-09-02
8,175200000,2025-03-25
9,143800000,2024-04-26
10,265700000,2024-10-30
11,356300000,2025-02-05
12,246100000,2025-04-08
13,439300000,2023-11-03
14,473900000,2025-02-19
15,237500000,2025-05-01
16,437200000,2025-05-21
17,94300000,2024-10-24
18,489300000,2024-02-15
19,126400000,2025-01-26
20,267200000,2024-09-28
21,494100000,2024-05-29
22,105600000,2025-07-15
23,263600000,2024-08-10
24,110000000,2025-02-14
25,495000000,2024-10-09
26,160000000,2024-05-11
27,464000000,2025-05-06
28,264500000,2025-07-27
29,352400000,2024-08-04
30,254400000,2024-11-21
31,387200000,2025-01-23
32,336400000,2024-03-01
33,337600000,2025-10-04
34,81300000,2025-09-10
35,407200000,2023-11-06
36,307100000,2025-04-03
37,360500000,2024-12-20
38,430900000,2023-12-24
39,304200000,2024-09-04
40,423000000,2024-10-14
41,398200000,2025-04-24
42,412500000,2025-07-22
43,477000000,2024-04-15
44,587318707,2024-07-18
45,101000000,2025-05-31
46,393200000,2024-05-20
47,73700000,2025-09-30
48,72200000,2025-07-08
49,360500000,2025-04-22
50,233600000,2025-08-24
51,245400000,2024-12-08
52,184100000,2024-05-27
53,133400000,2024-10-11
54,106400000,2025-03-31
55,490800000,2024-04-25
56,249700000,2024-06-26
57,340600000,2024-08-13
58,450200000,2023-11-08
59,300800000,2025-01-16
60,238800000,2025-07-28
61,132300000,2024-11-15
62,289300000,2025-05-12
63,256800000,2025-07-22
64,119700000,2024-10-27
65,300100000,2025-01-13
66,192300000,2025-07-29
67,421900000,2024-07-18
68,166500000,2025-08-07
69,459900000,2025-02-09
70,237500000,2025-02-18
71,277800000,2025-05-23
72,320100000,2024-01-07
73,471500000,2024-02-16
74,92200000,2023-11-03
75,126300000,2024-05-02
76,436800000,2024-09-03
77,328400000,2024-10-27
78,423000000,2024-03-05
79,362300000,2025-02-06
80,132200000,2024-11-03
81,327300000,2024-03-14
82,106000000,2024-09-19
83,413400000,2025-08-10
84,169200000,2025-04-02
85,247200000,2023-11-21
86,110500000,2025-01-16
87,137300000,2025-04-05
88,456900000,2025-08-16
89,129500000,2024-07-24
90,214400000,2024-04-05
91,320954471,2025-01-12
92,422500000,2023-10-14
93,231300000,2023-10-16
94,299300000,2025-09-02
95,176500000,2025-07-19
96,350900000,2025-01-16
97,422500000,2025-02-26
98,106200000,2025-03-27
99,156400000,2025-08-19
100,315200000,2025-05-23
101,420200000,2024-12-06
102,451600000,2023-11-25
103,362000000,2025-05-12
104,376600000,2024-03-04
105,126300000,2025-08-14
106,386500000,2024-11-21
107,176700000,2024-04-03
108,71500000,2025-05-26
109,55000000,2024-10-20
110,329200000,2025-05-08
111,116800000,2025-07-29
112,140800000,2023-12-21
113,223000000,2024-04-21
114,459800000,2024-09-20
115,113700000,2025-01-13
116,190700000,2024-01-17
117,479200000,2023-11-16
118,484600000,2025-09-12
119,192100000,2025-03-08
120,314700000,2025-08-26
121,304200000,2023-12-28
122,418400000,2023-10-21
123,119000000,2023-12-25
124,92800000,2025-08-04
125,323000000,2024-07-30
126,154600000,2025-03-31
127,225400000,2024-12-22
128,465800000,2025-03-05
129,176300000,2025-02-19
130,283400000,2023-10-20
131,428200000,2024-09-21
132,354000000,2025-08-08
133,273400000,2025-03-23
134,93600000,2023-11-21
135,131100000,2024-03-26
136,163600000,2023-12-30
