state_id,state,parliament_type,tenure_id,tenure_caption,allocated_crore,expenditure_crore,works_recommended,works_sanctioned,works_completed,scraped_at
35,Andaman And Nicobar Islands,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:07:55.950277
2,Andhra Pradesh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:07:58.800384
3,Arunachal Pradesh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:01.403477
5,Assam,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:04.246297
6,Bihar,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:06.735989
7,Chandigarh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:09.302745
8,Chhattisgarh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:12.507222
11,Delhi,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:15.990040
12,Goa,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:19.066378
27,Gujarat,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:22.082366
14,Haryana,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:25.237917
15,Himachal Pradesh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:28.976151
16,Jammu And Kashmir,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:32.693275
17,Jharkhand,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:36.180281
18,Karnataka,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:39.995786
36,Kerala,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:42.602406
130,Ladakh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:45.302861
19,Lakshadweep,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:48.351562
20,Madhya Pradesh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:52.470209
21,Maharashtra,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:54.574032
22,Manipur,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:56.509909
23,Meghalaya,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:08:59.194754
13,Mizoram,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:02.201447
24,Nagaland,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:05.302100
25,Odisha,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:07.702781
26,Puducherry,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:10.737705
1,Punjab,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:12.953414
28,Rajasthan,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:15.649400
29,Sikkim,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:19.543222
30,Tamil Nadu,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:23.068759
129,Telangana,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:26.487045
10,The Dadra And Nagar Haveli And Daman And Diu,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:29.724547
31,Tripura,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:32.875137
33,Uttar Pradesh,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:36.021514
32,Uttarakhand,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:38.897934
34,West Bengal,LS,5,17th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:40.909833
35,Andaman And Nicobar Islands,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:42.686676
2,Andhra Pradesh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:45.255127
3,Arunachal Pradesh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:47.859620
5,Assam,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:50.738580
6,Bihar,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:53.777905
7,Chandigarh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:09:56.659029
8,Chhattisgarh,LS,7,18th Lok Sabha,0.0,0.0,0,0,0,2026-09-05T12:10:00.184393
